,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
76,Bruno Fernandes,24,179,69,Portugal,85,Right,4,4,High/High,RCM,77.0,83.0,87.0,85.0,65.0,74.0,"Avoids Using Weaker Foot, Selfish, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,79+2,79+2,79+2,83+2,83+2,83+2,83+2,83+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,77+2,77+2,77+2,77+2,77+2,74+2,68+2,68+2,68+2,74+2
81,S. Milinkovi?-Savi?,24,191,76,Serbia,85,Right,4,4,High/Medium,RDM,67.0,79.0,80.0,83.0,77.0,84.0,"Selfish, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Crowd Favourite",64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,81+2,81+2,81+2,78+2,81+2,81+2,81+2,78+2,82+2,82+2,82+2,79+2,83+2,83+2,83+2,79+2,76+2,80+2,80+2,80+2,76+2,76+2,79+2,79+2,79+2,76+2
83,Saúl,24,184,77,Spain,85,Left,4,3,High/High,LCM,70.0,78.0,79.0,81.0,78.0,78.0,"Beat Offside Trap, Argues with Officials",69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,80+3,80+3,80+3,79+3,80+3,80+3,80+3,79+3,81+3,81+3,81+3,79+3,82+3,82+3,82+3,79+3,78+3,80+3,80+3,80+3,78+3,78+3,78+3,78+3,78+3,78+3
85,Allan,28,175,74,Brazil,85,Right,3,4,Medium/High,RCM,75.0,71.0,78.0,84.0,85.0,84.0,Diver,70,74,59,86,56,84,65,49,79,84,79,71,82,89,86,73,69,94,79,69,90,89,79,80,53,85,88,88,86,76+2,76+2,76+2,79+2,80+2,80+2,80+2,79+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,84+2,86+2,86+2,86+2,84+2,83+2,83+2,83+2,83+2,83+2
87,F. de Jong,22,180,74,Netherlands,85,Right,3,4,Medium/High,LCM,79.0,64.0,84.0,87.0,76.0,76.0,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,82+3,82+3,82+3,82+3,83+3,83+3,83+3,82+3,81+3,82+3,82+3,82+3,81+3,79+3,76+3,76+3,76+3,79+3
89,A. Witsel,30,186,81,Belgium,85,Right,4,4,Medium/High,LDM,73.0,74.0,80.0,79.0,83.0,81.0,"Diver, Avoids Using Weaker Foot",69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83,77+3,77+3,77+3,77+3,78+3,78+3,78+3,77+3,80+3,80+3,80+3,78+3,82+3,82+3,82+3,78+3,80+3,83+3,83+3,83+3,80+3,80+3,82+3,82+3,82+3,80+3
93,Fabinho,25,188,78,Brazil,85,Right,2,3,Medium/High,CDM,68.0,69.0,78.0,77.0,85.0,83.0,"Diver, Injury Prone, Leadership",75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,73+3,73+3,73+3,74+3,75+3,75+3,75+3,74+3,76+3,76+3,76+3,76+3,80+3,80+3,80+3,76+3,81+3,84+3,84+3,84+3,81+3,81+3,83+3,83+3,83+3,81+3
120,Paulinho,30,183,80,Brazil,84,Right,3,4,High/High,LCM,72.0,81.0,77.0,80.0,78.0,85.0,"Long Throw-in, Injury Prone, Beat Offside Trap, Argues with Officials",64,81,85,83,75,80,66,72,80,84,74,71,70,82,72,83,92,92,82,80,81,80,84,79,71,81,75,79,75,81+3,81+3,81+3,78+3,81+3,81+3,81+3,78+3,80+3,80+3,80+3,79+3,82+3,82+3,82+3,79+3,78+3,80+3,80+3,80+3,78+3,78+3,79+3,79+3,79+3,78+3
126,Canales,28,176,65,Spain,84,Left,3,4,High/Medium,RCM,78.0,79.0,83.0,81.0,51.0,66.0,"Power Free-Kick, Selfish, Argues with Officials",79,80,46,84,63,82,81,79,82,83,77,78,77,81,70,78,35,77,67,81,55,50,83,87,72,80,60,47,43,76+2,76+2,76+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,81+2,79+2,79+2,79+2,81+2,68+2,67+2,67+2,67+2,68+2,64+2,56+2,56+2,56+2,64+2
128,Luis Alberto,26,183,74,Spain,84,Right,3,4,Medium/Medium,CM,71.0,76.0,84.0,85.0,49.0,59.0,"Beat Offside Trap, Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite",76,77,49,88,76,86,86,81,87,88,75,68,81,80,74,77,54,70,65,76,29,42,80,85,56,72,48,56,41,75+2,75+2,75+2,81+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,80+2,80+2,80+2,81+2,66+2,66+2,66+2,66+2,66+2,62+2,54+2,54+2,54+2,62+2
135,G. Wijnaldum,28,175,69,Netherlands,84,Right,3,4,High/High,LCM,77.0,73.0,78.0,84.0,76.0,78.0,Selfish,69,70,74,85,73,85,76,67,79,85,79,76,81,83,84,78,79,93,72,71,74,78,78,78,74,86,76,78,69,77+3,77+3,77+3,79+3,79+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,78+3,76+3,76+3,76+3,78+3
140,João Moutinho,32,170,61,Portugal,84,Right,4,3,High/High,LCM,56.0,75.0,85.0,82.0,71.0,67.0,Finesse Shot,81,73,70,87,76,81,84,81,85,85,60,53,75,76,85,76,72,78,60,79,71,72,74,86,70,88,71,72,67,73+3,73+3,73+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,81+3,81+3,81+3,78+3,74+3,77+3,77+3,77+3,74+3,72+3,70+3,70+3,70+3,72+3
142,Lucas Leiva,32,179,78,Brazil,84,Right,3,3,Medium/High,LDM,62.0,66.0,76.0,78.0,83.0,73.0,Injury Prone,63,62,72,82,59,77,74,47,81,79,64,61,77,82,80,77,81,82,63,66,83,87,66,81,61,86,82,84,81,70+3,70+3,70+3,72+3,73+3,73+3,73+3,72+3,75+3,75+3,75+3,73+3,79+3,79+3,79+3,73+3,77+3,81+3,81+3,81+3,77+3,77+3,79+3,79+3,79+3,77+3
183,Fabián,23,189,70,Spain,83,Left,4,4,Medium/Medium,LCM,65.0,78.0,78.0,83.0,74.0,69.0,Argues with Officials,72,79,67,81,67,85,75,59,81,85,68,63,72,83,66,75,46,73,69,83,68,77,82,84,67,77,70,78,75,77+2,77+2,77+2,79+2,80+2,80+2,80+2,79+2,81+2,81+2,81+2,79+2,81+2,81+2,81+2,79+2,76+2,77+2,77+2,77+2,76+2,74+2,73+2,73+2,73+2,74+2
188,Oscar,27,181,71,Brazil,83,Right,3,4,High/Medium,RCM,74.0,76.0,83.0,81.0,55.0,50.0,"Argues with Officials, Crowd Favourite",81,76,54,86,65,78,77,76,84,84,75,73,88,81,81,80,66,77,38,77,43,45,79,83,70,75,66,52,47,74+3,74+3,74+3,79+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,80+3,78+3,78+3,78+3,80+3,69+3,66+3,66+3,66+3,69+3,65+3,55+3,55+3,55+3,65+3
193,C. Tolisso,24,181,81,France,83,Right,3,3,High/Medium,RCM,69.0,77.0,79.0,78.0,76.0,79.0,"Leadership, Argues with Officials, Long Passer (CPU AI Only)",67,75,82,84,62,77,66,73,86,82,73,66,75,83,74,82,83,84,76,81,81,76,79,80,70,74,75,78,71,78+2,78+2,78+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,81+2,81+2,81+2,77+2,76+2,80+2,80+2,80+2,76+2,76+2,77+2,77+2,77+2,76+2
194,A. Rabiot,24,192,80,France,83,Left,3,3,High/Medium,LCM,73.0,74.0,79.0,80.0,77.0,80.0,,70,69,77,85,72,79,73,59,83,84,71,74,79,83,72,80,73,80,83,79,76,80,76,80,67,84,70,81,75,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,78+2,77+2,80+2,80+2,80+2,77+2,77+2,78+2,78+2,78+2,77+2
196,E. Banega,31,174,71,Argentina,83,Right,4,4,High/Medium,RCM,61.0,73.0,84.0,82.0,77.0,70.0,"Selfish, Leadership, Finesse Shot, Speed Dribbler (CPU AI Only)",80,68,55,86,65,83,83,81,85,85,64,59,74,78,79,76,57,70,67,80,83,79,75,84,78,80,80,79,78,72+3,72+3,72+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,81+3,81+3,81+3,78+3,77+3,80+3,80+3,80+3,77+3,76+3,75+3,75+3,75+3,76+3
198,C. Aránguiz,30,171,70,Chile,83,Right,4,3,Medium/Medium,LCM,63.0,72.0,82.0,81.0,74.0,73.0,"Injury Prone, Finesse Shot, Speed Dribbler (CPU AI Only)",78,66,53,85,68,79,75,76,84,83,72,55,80,86,86,80,61,87,64,77,80,82,76,81,76,81,76,74,72,72+2,72+2,72+2,77+2,77+2,77+2,77+2,77+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,78+2,78+2,80+2,80+2,80+2,78+2,76+2,73+2,73+2,73+2,76+2
199,K. Kampl,28,178,67,Slovenia,83,Right,4,3,High/High,CM,76.0,67.0,80.0,86.0,63.0,62.0,"Selfish, Crowd Favourite",72,63,34,84,68,86,78,75,79,84,83,70,90,84,82,69,67,90,47,73,64,75,73,82,64,83,65,64,59,69+2,69+2,69+2,78+2,77+2,77+2,77+2,78+2,80+2,80+2,80+2,79+2,80+2,80+2,80+2,79+2,75+2,74+2,74+2,74+2,75+2,72+2,63+2,63+2,63+2,72+2
203,J. Henderson,29,182,80,England,83,Right,3,3,High/High,RCM,64.0,70.0,83.0,77.0,78.0,80.0,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Giant Throw-in",82,67,65,84,71,76,80,74,84,81,65,64,69,84,70,77,77,90,74,71,82,80,75,83,64,78,79,80,76,73+2,73+2,73+2,76+2,76+2,76+2,76+2,76+2,77+2,77+2,77+2,78+2,81+2,81+2,81+2,78+2,79+2,81+2,81+2,81+2,79+2,78+2,77+2,77+2,77+2,78+2
204,Illarramendi,29,179,75,Spain,83,Right,3,3,Medium/High,RCM,54.0,71.0,80.0,79.0,80.0,71.0,Finesse Shot,68,72,51,85,58,78,76,68,82,83,62,47,69,84,73,69,62,73,68,76,76,87,79,86,50,79,83,83,80,71+2,71+2,71+2,75+2,76+2,76+2,76+2,75+2,79+2,79+2,79+2,76+2,82+2,82+2,82+2,76+2,77+2,82+2,82+2,82+2,77+2,76+2,76+2,76+2,76+2,76+2
206,Jorginho,27,180,67,Italy,83,Right,3,3,Medium/Medium,CDM,55.0,63.0,84.0,81.0,70.0,73.0,Finesse Shot,75,57,56,89,71,81,75,76,87,85,61,50,77,81,72,71,58,85,66,62,79,76,68,87,84,79,62,77,70,68+2,68+2,68+2,74+2,74+2,74+2,74+2,74+2,78+2,78+2,78+2,76+2,82+2,82+2,82+2,76+2,75+2,79+2,79+2,79+2,75+2,73+2,71+2,71+2,71+2,73+2
207,Danilo Pereira,27,188,83,Portugal,83,Right,3,3,Medium/High,LCM,65.0,63.0,72.0,74.0,82.0,85.0,Avoids Using Weaker Foot,55,60,77,83,55,76,48,53,81,78,62,68,57,75,60,74,62,82,89,63,83,83,69,73,57,84,83,84,71,71+3,71+3,71+3,69+3,72+3,72+3,72+3,69+3,73+3,73+3,73+3,72+3,77+3,77+3,77+3,72+3,75+3,81+3,81+3,81+3,75+3,75+3,80+3,80+3,80+3,75+3
208,D. Blind,29,180,72,Netherlands,83,Left,3,3,Medium/Medium,LDM,54.0,65.0,80.0,77.0,82.0,74.0,Giant Throw-in,80,62,75,83,66,75,84,62,83,82,61,48,71,85,72,73,72,76,74,65,70,86,66,77,54,83,82,84,79,70+3,70+3,70+3,72+3,72+3,72+3,72+3,72+3,74+3,74+3,74+3,74+3,79+3,79+3,79+3,74+3,78+3,81+3,81+3,81+3,78+3,78+3,79+3,79+3,79+3,78+3
212,William Carvalho,27,187,83,Portugal,83,Right,4,3,Medium/Medium,CDM,42.0,57.0,77.0,74.0,79.0,85.0,"Leadership, Finesse Shot",68,52,74,81,50,78,80,50,85,81,37,46,45,74,47,69,67,83,91,55,78,81,63,81,60,89,80,80,72,66+3,66+3,66+3,67+3,68+3,68+3,68+3,67+3,71+3,71+3,71+3,70+3,78+3,78+3,78+3,70+3,73+3,80+3,80+3,80+3,73+3,73+3,78+3,78+3,78+3,73+3
277,E. Forsberg,27,179,74,Sweden,82,Right,4,4,Medium/Medium,LCM,70.0,71.0,81.0,83.0,33.0,62.0,"Power Free-Kick, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",84,70,45,85,67,82,81,77,69,87,73,68,81,82,82,73,53,69,59,74,62,43,75,83,69,77,35,26,17,72+2,72+2,72+2,79+2,78+2,78+2,78+2,79+2,80+2,80+2,80+2,79+2,75+2,75+2,75+2,79+2,60+2,59+2,59+2,59+2,60+2,55+2,46+2,46+2,46+2,55+2
279,Ander Herrera,29,182,73,Spain,82,Right,4,3,High/High,LCM,70.0,72.0,78.0,80.0,82.0,77.0,"Injury Prone, Argues with Officials, Giant Throw-in",71,71,63,83,64,78,79,64,79,82,73,67,78,85,78,78,61,86,70,69,89,89,75,79,74,83,82,84,79,74+3,74+3,74+3,76+3,77+3,77+3,77+3,76+3,78+3,78+3,78+3,77+3,80+3,80+3,80+3,77+3,80+3,83+3,83+3,83+3,80+3,80+3,79+3,79+3,79+3,80+3
283,T. Partey,26,185,77,Ghana,82,Right,3,3,Medium/High,RCM,73.0,72.0,77.0,77.0,79.0,84.0,"Injury Prone, Argues with Officials",66,68,68,84,53,79,68,58,80,81,70,75,70,81,50,83,83,91,81,80,82,79,73,78,49,75,79,83,81,75+2,75+2,75+2,75+2,77+2,77+2,77+2,75+2,78+2,78+2,78+2,77+2,80+2,80+2,80+2,77+2,79+2,81+2,81+2,81+2,79+2,78+2,79+2,79+2,79+2,78+2
295,L. Torreira,23,168,64,Uruguay,82,Right,3,3,Medium/High,RDM,75.0,67.0,77.0,80.0,81.0,75.0,Argues with Officials,74,61,59,83,65,78,70,78,76,81,79,72,85,79,93,78,52,86,66,74,87,86,68,74,48,78,84,84,77,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,76+2,76+2,76+2,76+2,78+2,78+2,78+2,76+2,80+2,81+2,81+2,81+2,80+2,79+2,77+2,77+2,77+2,79+2
296,Rúben Neves,22,180,80,Portugal,82,Right,4,3,Medium/High,CM,62.0,74.0,83.0,76.0,70.0,73.0,"Leadership, Argues with Officials, Finesse Shot",77,64,53,85,81,75,84,83,86,82,64,60,65,78,70,86,68,78,67,83,82,75,65,85,76,83,69,74,69,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,77+2,77+2,77+2,75+2,80+2,80+2,80+2,75+2,74+2,78+2,78+2,78+2,74+2,72+2,71+2,71+2,71+2,72+2
300,Rosberto Dourado,31,175,70,Brazil,82,Right,4,2,High/Medium,RDM,81.0,57.0,74.0,77.0,82.0,74.0,"Beat Offside Trap, Leadership, Crowd Favourite",61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,75,82,58,77,77,81,83,86,80,67+2,67+2,67+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,74+2,77+2,77+2,77+2,74+2,79+2,80+2,80+2,80+2,79+2,80+2,78+2,78+2,78+2,80+2
301,L. Biglia,33,178,63,Argentina,82,Right,4,3,Medium/High,CM,55.0,63.0,81.0,81.0,77.0,68.0,"Power Free-Kick, Finesse Shot",74,50,54,86,78,80,71,76,82,84,55,55,74,80,78,77,60,71,61,75,83,82,50,80,72,80,80,78,74,65+3,65+3,65+3,71+3,70+3,70+3,70+3,71+3,74+3,74+3,74+3,72+3,78+3,78+3,78+3,72+3,76+3,80+3,80+3,80+3,76+3,74+3,74+3,74+3,74+3,74+3
302,D. De Rossi,35,184,83,Italy,82,Right,4,2,Medium/High,LCM,59.0,64.0,73.0,69.0,85.0,77.0,Giant Throw-in,57,50,81,81,74,64,62,71,80,77,60,58,62,80,72,81,74,70,78,72,83,87,55,73,80,92,90,82,80,67+3,67+3,67+3,65+3,67+3,67+3,67+3,65+3,69+3,69+3,69+3,67+3,75+3,75+3,75+3,67+3,75+3,81+3,81+3,81+3,75+3,76+3,82+3,82+3,82+3,76+3
341,M. Sabitzer,25,177,77,Austria,81,Right,4,3,High/High,RCM,74.0,80.0,76.0,80.0,57.0,77.0,"Power Free-Kick, Argues with Officials, Speed Dribbler (CPU AI Only)",72,79,56,78,78,79,74,72,72,81,75,73,75,84,80,86,71,84,75,82,73,57,80,79,65,75,60,56,53,77+2,77+2,77+2,78+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,78+2,76+2,76+2,76+2,78+2,69+2,69+2,69+2,69+2,69+2,67+2,63+2,63+2,63+2,67+2
345,M. Dembélé,31,185,85,Belgium,81,Left,2,4,Medium/Medium,CM,73.0,68.0,77.0,87.0,77.0,80.0,Crowd Favourite,65,64,70,85,73,89,65,55,79,88,72,73,81,81,76,79,77,60,90,68,79,81,69,80,63,90,75,80,70,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,79+3,79+3,79+3,77+3,79+3,79+3,79+3,77+3,75+3,79+3,79+3,79+3,75+3,75+3,78+3,78+3,78+3,75+3
351,F. Vázquez,30,186,82,Argentina,81,Left,3,4,Medium/Medium,LCM,56.0,78.0,80.0,81.0,58.0,72.0,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot",73,77,68,84,81,85,79,68,81,86,53,58,67,78,34,76,45,64,77,84,78,69,77,84,67,80,50,59,48,76+2,76+2,76+2,77+2,78+2,78+2,78+2,77+2,80+2,80+2,80+2,77+2,79+2,79+2,79+2,77+2,67+2,71+2,71+2,71+2,67+2,64+2,64+2,64+2,64+2,64+2
353,T. Ndombele,22,181,76,France,81,Right,3,4,Medium/Medium,LDM,80.0,65.0,78.0,87.0,70.0,78.0,"Selfish, Crowd Favourite",67,59,56,84,59,88,67,58,79,86,84,76,83,84,86,80,63,80,78,65,81,75,70,83,60,87,68,74,69,73+2,73+2,73+2,78+2,78+2,78+2,78+2,78+2,80+2,80+2,80+2,79+2,80+2,80+2,80+2,79+2,76+2,78+2,78+2,78+2,76+2,75+2,73+2,73+2,73+2,75+2
