,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
29,P. Aubameyang,30,187,80,Gabon,88,Right,4,4,Medium/Low,LM,94.0,85.0,75.0,80.0,37.0,69.0,"Diver, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,84+3,84+3,84+3,83+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,74+3,74+3,74+3,81+3,64+3,58+3,58+3,58+3,64+3,61+3,51+3,51+3,51+3,61+3
40,H. Son,26,183,78,Korea Republic,87,Right,5,4,High/High,LM,88.0,86.0,80.0,87.0,42.0,68.0,"Diver, Beat Offside Trap, Argues with Officials, Early Crosser",81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,83+3,83+3,83+3,86+3,86+3,86+3,86+3,86+3,85+3,85+3,85+3,85+3,78+3,78+3,78+3,85+3,67+3,63+3,63+3,63+3,67+3,63+3,53+3,53+3,53+3,63+3
44,Bernardo Silva,24,173,64,Portugal,87,Left,3,4,High/High,RW,81.0,76.0,83.0,92.0,51.0,67.0,"Selfish, Finesse Shot, Crowd Favourite",85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,77+2,77+2,77+2,85+2,84+2,84+2,84+2,85+2,85+2,85+2,85+2,86+2,82+2,82+2,82+2,86+2,72+2,69+2,69+2,69+2,72+2,67+2,57+2,57+2,57+2,67+2
59,A. Di María,31,180,69,Argentina,86,Left,2,5,High/Medium,LW,84.0,79.0,84.0,87.0,48.0,68.0,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,78+3,78+3,78+3,84+3,83+3,83+3,83+3,84+3,84+3,84+3,84+3,83+3,79+3,79+3,79+3,83+3,69+3,66+3,66+3,66+3,69+3,66+3,57+3,57+3,57+3,66+3
84,Koke,27,176,74,Spain,85,Right,4,3,High/High,RM,68.0,75.0,86.0,82.0,74.0,79.0,"Finesse Shot, Giant Throw-in",86,72,61,89,56,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85,59,84,74,78,64,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,82+3,85+3,85+3,85+3,82+3,80+3,81+3,81+3,81+3,80+3,77+3,74+3,74+3,74+3,77+3
110,M. Depay,25,176,78,Netherlands,84,Right,3,5,High/Low,LW,87.0,80.0,81.0,84.0,32.0,78.0,"Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",83,78,65,80,74,84,85,88,74,85,87,87,81,79,79,87,74,79,80,81,75,28,83,85,71,78,29,31,20,80+3,80+3,80+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,75+3,75+3,75+3,82+3,61+3,58+3,58+3,58+3,61+3,56+3,50+3,50+3,50+3,56+3
111,José Callejón,32,178,73,Spain,84,Right,3,3,High/High,RM,89.0,78.0,75.0,83.0,47.0,64.0,"Diver, Early Crosser",82,78,65,80,84,82,73,65,51,85,88,90,85,82,80,78,71,90,54,80,54,40,88,78,62,79,64,32,32,79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,81+3,81+3,81+3,81+3,73+3,73+3,73+3,81+3,67+3,60+3,60+3,60+3,67+3,63+3,53+3,53+3,53+3,63+3
113,N. Fekir,25,173,75,France,84,Left,3,4,High/Medium,RM,78.0,82.0,81.0,88.0,33.0,77.0,"Long Throw-in, Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",83,82,49,83,77,90,81,80,75,89,79,77,82,78,91,84,64,74,82,82,73,28,81,81,74,89,31,37,25,79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,61+3,60+3,60+3,60+3,61+3,56+3,50+3,50+3,50+3,56+3
117,S. Gnabry,23,175,75,Germany,84,Right,4,4,High/Medium,RW,90.0,82.0,75.0,86.0,43.0,69.0,"Power Free-Kick, Selfish, Argues with Officials, Early Crosser, Crowd Favourite",76,81,44,79,83,87,70,62,69,83,92,89,86,82,88,86,64,74,69,81,63,38,82,77,68,78,45,42,45,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,81+2,81+2,81+2,81+2,74+2,74+2,74+2,81+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2
119,K. Coman,23,179,75,France,84,Right,3,4,Medium/Low,LW,92.0,76.0,77.0,87.0,29.0,60.0,"Power Free-Kick, Early Crosser",79,76,52,78,77,87,84,70,72,87,94,91,88,84,85,80,73,69,64,73,36,23,83,79,70,76,29,27,21,78+2,78+2,78+2,83+2,82+2,82+2,82+2,83+2,82+2,82+2,82+2,82+2,73+2,73+2,73+2,82+2,59+2,54+2,54+2,54+2,59+2,55+2,43+2,43+2,43+2,55+2
124,Felipe Anderson,26,175,70,Brazil,84,Right,4,4,High/Medium,RM,89.0,77.0,79.0,89.0,55.0,61.0,"Beat Offside Trap, Selfish, Argues with Officials, Early Crosser",81,74,44,81,73,90,77,69,76,88,89,89,89,77,87,86,37,74,55,84,67,69,76,81,53,84,47,59,46,76+3,76+3,76+3,83+3,81+3,81+3,81+3,83+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,72+3,69+3,69+3,69+3,72+3,68+3,59+3,59+3,59+3,68+3
127,E. Viš?a,29,172,63,Bosnia Herzegovina,84,Right,4,4,High/Medium,RM,88.0,79.0,79.0,83.0,47.0,64.0,"Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Giant Throw-in",82,80,45,83,74,81,74,60,71,84,90,87,93,80,89,80,69,90,58,77,47,52,83,79,75,82,55,40,40,76+2,76+2,76+2,82+2,81+2,81+2,81+2,82+2,81+2,81+2,81+2,82+2,77+2,77+2,77+2,82+2,70+2,64+2,64+2,64+2,70+2,65+2,54+2,54+2,54+2,65+2
129,J. Sancho,19,180,76,England,84,Right,4,5,Medium/Low,RM,88.0,72.0,77.0,90.0,36.0,60.0,"Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",78,78,37,83,80,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83,57,80,32,45,34,75+2,75+2,75+2,83+2,81+2,81+2,81+2,83+2,82+2,82+2,82+2,83+2,75+2,75+2,75+2,83+2,64+2,58+2,58+2,58+2,64+2,59+2,47+2,47+2,47+2,59+2
131,Pizzi,29,177,72,Portugal,84,Right,4,3,High/Medium,RM,77.0,77.0,84.0,81.0,63.0,68.0,"Diver, Finesse Shot, Crowd Favourite",81,76,45,86,77,81,83,76,85,83,82,73,77,83,77,76,67,85,59,78,68,70,84,86,80,85,66,66,52,75+3,75+3,75+3,81+3,80+3,80+3,80+3,81+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,75+3,75+3,75+3,75+3,75+3,71+3,65+3,65+3,65+3,71+3
159,C. Vela,30,177,77,Mexico,83,Left,2,4,High/Low,RW,80.0,82.0,78.0,84.0,31.0,67.0,"Avoids Using Weaker Foot, Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",78,85,67,81,82,84,84,71,66,85,80,80,81,83,81,76,65,74,67,84,57,37,84,81,72,83,31,22,14,80+3,80+3,80+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,81+3,74+3,74+3,74+3,81+3,59+3,56+3,56+3,56+3,59+3,54+3,46+3,46+3,46+3,54+3
161,M. Rashford,21,186,70,England,83,Right,3,5,High/High,LM,92.0,82.0,73.0,84.0,45.0,77.0,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Giant Throw-in, Crowd Favourite",74,81,72,75,76,85,82,76,63,83,89,94,86,81,75,88,72,87,75,79,73,42,84,75,76,78,47,40,33,81+2,81+2,81+2,82+2,82+2,82+2,82+2,82+2,80+2,80+2,80+2,81+2,73+2,73+2,73+2,81+2,65+2,62+2,62+2,62+2,65+2,62+2,57+2,57+2,57+2,62+2
162,F. Thauvin,26,179,70,France,83,Left,3,4,High/Medium,RW,83.0,80.0,81.0,83.0,41.0,69.0,"Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite",82,80,72,83,75,82,84,72,76,84,87,80,86,83,71,83,77,83,66,80,56,42,84,80,78,82,46,29,31,80+2,80+2,80+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,76+2,76+2,76+2,82+2,65+2,62+2,62+2,62+2,65+2,61+2,53+2,53+2,53+2,61+2
163,Ronaldo Cabrais,27,177,75,Brazil,83,Right,4,4,High/Medium,RM,87.0,77.0,83.0,84.0,35.0,72.0,"Long Throw-in, Selfish, Argues with Officials, Crowd Favourite",83,74,64,83,76,85,86,78,82,83,88,87,85,84,76,82,64,86,70,78,62,40,82,83,77,81,24,35,33,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,83+2,78+2,78+2,78+2,83+2,65+2,61+2,61+2,61+2,65+2,60+2,50+2,50+2,50+2,60+2
166,Y. Carrasco,25,180,71,Belgium,83,Right,4,4,High/Medium,LM,90.0,80.0,75.0,87.0,39.0,64.0,"Injury Free, Selfish, Argues with Officials, Early Crosser",78,80,53,75,68,88,81,79,71,87,91,90,90,82,71,85,70,74,59,78,61,18,80,71,74,75,53,39,26,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,80+3,80+3,80+3,81+3,72+3,72+3,72+3,81+3,62+3,57+3,57+3,57+3,62+3,58+3,49+3,49+3,49+3,58+3
168,T. Lemar,23,171,62,France,83,Left,2,4,Medium/Medium,LM,83.0,76.0,82.0,85.0,59.0,67.0,"Beat Offside Trap, Crowd Favourite",83,75,54,84,76,85,85,81,75,86,83,83,87,79,86,79,69,77,64,78,63,66,78,84,68,80,55,59,63,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,74+3,71+3,71+3,71+3,74+3,71+3,64+3,64+3,64+3,71+3
171,Anderson Talisca,25,190,80,Brazil,83,Left,4,4,High/Low,RW,77.0,82.0,80.0,81.0,57.0,72.0,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot",75,80,77,81,76,82,86,87,79,84,78,76,76,79,70,84,58,79,72,88,67,55,86,81,75,74,53,59,42,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,80+2,68+2,69+2,69+2,69+2,68+2,66+2,63+2,63+2,63+2,66+2
174,N. Pépé,24,183,73,Ivory Coast,83,Left,3,4,High/Low,RM,91.0,81.0,75.0,85.0,33.0,67.0,"Injury Free, Beat Offside Trap, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",78,82,57,75,70,86,79,72,67,82,90,91,91,83,79,80,68,84,68,79,43,28,82,80,85,83,36,27,25,79+2,79+2,79+2,82+2,81+2,81+2,81+2,82+2,81+2,81+2,81+2,81+2,73+2,73+2,73+2,81+2,61+2,55+2,55+2,55+2,61+2,57+2,46+2,46+2,46+2,57+2
175,Gonçalo Guedes,22,179,68,Portugal,83,Right,4,4,High/Medium,LM,90.0,79.0,76.0,84.0,36.0,70.0,"Selfish, Argues with Officials, Early Crosser, Crowd Favourite",78,77,60,77,71,86,76,70,69,81,91,90,82,83,77,85,63,76,68,84,67,50,77,77,69,80,24,34,30,78+2,78+2,78+2,81+2,81+2,81+2,81+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,63+2,60+2,60+2,60+2,63+2,59+2,51+2,51+2,51+2,59+2
239,Morales,31,180,70,Spain,82,Right,4,4,High/Medium,LW,89.0,81.0,76.0,85.0,58.0,69.0,"Injury Free, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Giant Throw-in",79,83,64,78,77,88,82,72,68,84,88,90,78,83,83,79,61,82,67,81,58,58,84,76,78,85,63,54,45,80+2,80+2,80+2,83+2,82+2,82+2,82+2,83+2,81+2,81+2,81+2,82+2,77+2,77+2,77+2,82+2,71+2,67+2,67+2,67+2,71+2,69+2,62+2,62+2,62+2,69+2
251,Pedro,31,169,65,Spain,82,Right,5,4,High/High,RW,75.0,77.0,77.0,84.0,43.0,56.0,"Beat Offside Trap, Argues with Officials, Speed Dribbler (CPU AI Only)",78,78,55,80,70,84,81,57,71,85,78,73,81,81,82,77,66,70,47,79,56,49,82,78,66,77,49,32,31,75+3,75+3,75+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,79+3,63+3,61+3,61+3,61+3,63+3,59+3,50+3,50+3,50+3,59+3
254,Iñaki Williams,25,186,79,Spain,82,Right,2,4,High/High,RW,94.0,80.0,72.0,80.0,41.0,82.0,"Early Crosser, Speed Dribbler (CPU AI Only), Giant Throw-in, Outside Foot Shot",78,83,71,74,74,83,76,53,66,77,93,95,80,80,64,85,88,82,85,73,73,21,84,73,64,78,52,38,31,81+2,81+2,81+2,81+2,80+2,80+2,80+2,81+2,78+2,78+2,78+2,80+2,71+2,71+2,71+2,80+2,62+2,58+2,58+2,58+2,62+2,59+2,55+2,55+2,55+2,59+2
258,Oyarzabal,22,181,78,Spain,82,Left,3,3,High/Medium,LW,75.0,82.0,79.0,83.0,39.0,61.0,Early Crosser,82,86,44,81,64,85,69,71,73,84,74,76,77,81,75,80,56,78,57,81,52,29,80,79,76,70,55,32,30,76+2,76+2,76+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,80+2,75+2,75+2,75+2,80+2,63+2,59+2,59+2,59+2,63+2,58+2,48+2,48+2,48+2,58+2
259,L. Bailey,21,178,79,Jamaica,82,Left,4,4,Medium/Medium,LM,91.0,77.0,75.0,84.0,33.0,64.0,"Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",77,75,57,76,75,86,78,79,66,82,93,90,86,80,84,79,83,76,59,79,58,21,80,77,71,75,45,27,18,76+2,76+2,76+2,81+2,80+2,80+2,80+2,81+2,80+2,80+2,80+2,80+2,71+2,71+2,71+2,80+2,59+2,55+2,55+2,55+2,59+2,55+2,46+2,46+2,46+2,55+2
260,T. Hazard,26,175,71,Belgium,82,Right,4,4,High/Medium,LM,82.0,77.0,80.0,86.0,47.0,64.0,"Selfish, Leadership, Argues with Officials, Crowd Favourite",81,76,33,82,80,86,83,79,71,84,86,78,91,82,86,78,60,78,61,77,57,63,81,80,81,77,43,45,46,74+2,74+2,74+2,82+2,80+2,80+2,80+2,82+2,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,69+2,66+2,66+2,66+2,69+2,65+2,54+2,54+2,54+2,65+2
261,Rafa,26,172,66,Portugal,82,Right,3,4,High/Medium,LM,93.0,71.0,74.0,86.0,50.0,52.0,Early Crosser,78,73,46,75,68,87,76,56,64,83,92,94,89,84,89,75,64,79,40,64,47,58,83,78,59,81,52,47,39,74+2,74+2,74+2,81+2,80+2,80+2,80+2,81+2,80+2,80+2,80+2,81+2,74+2,74+2,74+2,81+2,69+2,63+2,63+2,63+2,69+2,65+2,53+2,53+2,53+2,65+2
262,H. Lozano,23,175,70,Mexico,82,Right,3,4,High/Low,RW,93.0,76.0,73.0,83.0,41.0,66.0,"Early Crosser, Speed Dribbler (CPU AI Only)",75,76,58,74,74,83,72,65,67,81,94,93,91,83,76,76,67,82,59,74,64,45,81,74,73,76,42,35,29,76+3,76+3,76+3,81+3,79+3,79+3,79+3,81+3,79+3,79+3,79+3,80+3,72+3,72+3,72+3,80+3,64+3,60+3,60+3,60+3,64+3,61+3,51+3,51+3,51+3,61+3
263,S. El Shaarawy,26,178,72,Italy,82,Right,3,5,Medium/High,LW,87.0,78.0,71.0,84.0,42.0,60.0,"Beat Offside Trap, Selfish, Early Crosser",75,80,51,74,83,84,85,63,57,86,86,87,86,72,82,74,59,73,56,79,54,36,82,73,67,72,59,30,25,76+3,76+3,76+3,80+3,79+3,79+3,79+3,80+3,78+3,78+3,78+3,78+3,70+3,70+3,70+3,78+3,61+3,57+3,57+3,57+3,61+3,57+3,49+3,49+3,49+3,57+3
265,Gelson Martins,24,173,74,Portugal,82,Right,3,5,High/Medium,RM,95.0,71.0,74.0,86.0,47.0,61.0,"Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",80,70,51,76,74,87,82,60,55,81,95,95,95,81,92,72,65,86,48,69,60,43,79,78,66,82,54,46,36,74+3,74+3,74+3,81+3,79+3,79+3,79+3,81+3,79+3,79+3,79+3,80+3,72+3,72+3,72+3,80+3,68+3,61+3,61+3,61+3,68+3,64+3,53+3,53+3,53+3,64+3
270,Muniain,26,170,66,Spain,82,Right,3,4,Medium/Low,LW,80.0,72.0,77.0,87.0,51.0,58.0,"Power Free-Kick, Selfish, Giant Throw-in, Crowd Favourite",73,76,43,82,63,87,76,69,70,86,83,77,92,80,94,66,71,73,45,72,66,45,77,82,61,82,58,55,38,72+2,72+2,72+2,81+2,79+2,79+2,79+2,81+2,81+2,81+2,81+2,80+2,76+2,76+2,76+2,80+2,67+2,65+2,65+2,65+2,67+2,63+2,55+2,55+2,55+2,63+2
275,F. Kosti?,26,184,82,Serbia,82,Left,2,3,High/High,LM,87.0,76.0,77.0,81.0,67.0,78.0,"Injury Prone, Selfish, Early Crosser",84,74,51,75,70,83,79,80,70,81,88,87,76,79,75,84,67,90,75,76,75,63,75,79,64,77,69,72,68,75+2,75+2,75+2,80+2,78+2,78+2,78+2,80+2,78+2,78+2,78+2,80+2,76+2,76+2,76+2,80+2,77+2,73+2,73+2,73+2,77+2,75+2,69+2,69+2,69+2,75+2
289,J. Roussillon,26,175,80,France,82,Left,3,3,High/Medium,LM,89.0,65.0,76.0,80.0,78.0,78.0,,85,63,72,78,57,80,75,56,72,81,87,90,77,78,78,75,71,84,76,65,75,78,71,73,51,77,76,82,80,73+2,73+2,73+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,78+2,76+2,76+2,76+2,78+2,81+2,78+2,78+2,78+2,81+2,80+2,77+2,77+2,77+2,80+2
293,Mário Fernandes,28,187,80,Russia,82,Right,3,3,High/High,RM,82.0,60.0,74.0,79.0,81.0,79.0,Giant Throw-in,74,56,72,82,52,80,66,39,71,79,79,85,79,80,61,71,84,87,75,58,77,78,76,73,53,76,83,82,84,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,80+2,79+2,79+2,79+2,80+2,80+2,79+2,79+2,79+2,80+2
330,E. Zahavi,31,182,71,Israel,81,Right,4,4,High/Low,LW,75.0,81.0,73.0,82.0,39.0,70.0,"Beat Offside Trap, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",60,86,69,78,77,82,74,78,69,83,76,74,89,79,72,79,75,74,68,78,68,38,83,81,65,74,30,41,34,79+2,79+2,79+2,79+2,80+2,80+2,80+2,79+2,80+2,80+2,80+2,77+2,74+2,74+2,74+2,77+2,59+2,60+2,60+2,60+2,59+2,56+2,52+2,52+2,52+2,56+2
334,J. Corona,26,173,62,Mexico,81,Right,5,5,Medium/Medium,RM,83.0,70.0,75.0,88.0,62.0,54.0,"Selfish, Crowd Favourite",79,72,67,76,75,90,85,67,65,85,88,79,91,80,87,66,72,74,39,67,64,59,80,78,68,85,64,63,54,74+3,74+3,74+3,81+3,79+3,79+3,79+3,81+3,79+3,79+3,79+3,80+3,75+3,75+3,75+3,80+3,72+3,67+3,67+3,67+3,72+3,70+3,62+3,62+3,62+3,70+3
335,P. Zieli?ski,25,180,75,Poland,81,Right,5,4,Medium/Medium,LM,81.0,72.0,81.0,84.0,70.0,61.0,"Argues with Officials, Crowd Favourite",77,68,52,84,75,85,80,65,80,85,80,82,79,76,76,76,53,73,57,82,56,75,77,83,51,75,69,72,71,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,80+3,80+3,80+3,80+3,76+3,75+3,75+3,75+3,76+3,74+3,68+3,68+3,68+3,74+3
342,M. Acuña,27,172,69,Argentina,81,Left,3,4,High/High,LW,76.0,74.0,81.0,86.0,76.0,84.0,"Selfish, Crowd Favourite",87,66,63,78,68,87,87,78,76,85,78,75,83,80,86,83,69,90,81,84,88,76,77,82,74,87,78,80,75,76+2,76+2,76+2,80+2,79+2,79+2,79+2,80+2,80+2,80+2,80+2,81+2,80+2,80+2,80+2,81+2,80+2,79+2,79+2,79+2,80+2,79+2,77+2,77+2,77+2,79+2
