,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
75,Iago Aspas,31,176,67,Spain,85,Left,3,3,High/High,RS,78.0,84.0,77.0,85.0,35.0,64.0,"Power Free-Kick, Beat Offside Trap, Speed Dribbler (CPU AI Only), Giant Throw-in, Outside Foot Shot",80,88,78,79,83,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79,82,85,39,21,18,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,82+2,82+2,82+2,81+2,74+2,74+2,74+2,81+2,60+2,57+2,57+2,57+2,60+2,56+2,49+2,49+2,49+2,56+2
82,Z. Ibrahimovi?,37,195,95,Sweden,85,Right,4,5,Medium/Low,ST,56.0,88.0,77.0,77.0,34.0,78.0,"Selfish, Argues with Officials, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Crowd Favourite",70,86,83,77,88,77,80,78,73,84,57,55,72,82,39,90,68,59,87,88,84,20,91,84,89,90,28,37,24,82+4,82+4,82+4,77+4,80+4,80+4,80+4,77+4,80+4,80+4,80+4,75+4,74+4,74+4,74+4,75+4,53+4,57+4,57+4,57+4,53+4,50+4,52+4,52+4,52+4,50+4
88,R. Lukaku,26,190,94,Belgium,85,Left,4,3,Medium/Medium,LS,75.0,82.0,73.0,72.0,35.0,84.0,"Early Crosser, Long Passer (CPU AI Only)",72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,81+3,81+3,81+3,76+3,78+3,78+3,78+3,76+3,75+3,75+3,75+3,75+3,70+3,70+3,70+3,75+3,57+3,56+3,56+3,56+3,57+3,54+3,53+3,53+3,53+3,54+3
108,J. Ili?i?,31,190,79,Slovenia,84,Left,4,4,Medium/Medium,RS,70.0,84.0,84.0,85.0,43.0,67.0,"Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite",82,81,58,86,80,88,85,85,74,88,72,69,71,83,61,88,33,70,72,89,58,46,83,87,78,80,53,32,26,80+3,80+3,80+3,82+3,83+3,83+3,83+3,82+3,84+3,84+3,84+3,82+3,78+3,78+3,78+3,82+3,64+3,63+3,63+3,63+3,64+3,59+3,52+3,52+3,52+3,59+3
112,D. Tadi?,30,181,76,Serbia,84,Left,3,4,Medium/Medium,ST,68.0,80.0,84.0,85.0,41.0,71.0,"Diver, Avoids Using Weaker Foot, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",83,83,66,85,79,85,85,76,80,88,68,68,79,84,84,77,61,85,70,73,56,37,83,88,84,87,48,34,26,79+3,79+3,79+3,82+3,82+3,82+3,82+3,82+3,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,64+3,63+3,63+3,63+3,64+3,59+3,52+3,52+3,52+3,59+3
116,K. Havertz,20,188,83,Germany,84,Left,4,4,Medium/Medium,RF,84.0,78.0,79.0,84.0,44.0,65.0,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,39,46,38,80+2,80+2,80+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,78+2,78+2,78+2,82+2,65+2,63+2,63+2,63+2,65+2,62+2,54+2,54+2,54+2,62+2
130,E. Džeko,33,193,80,Bosnia Herzegovina,84,Right,5,2,Medium/Medium,ST,60.0,84.0,71.0,75.0,46.0,73.0,"Avoids Using Weaker Foot, Beat Offside Trap",63,88,83,77,77,76,65,54,72,85,61,60,56,83,36,86,64,72,81,79,58,50,89,75,67,83,58,28,16,82+3,82+3,82+3,76+3,80+3,80+3,80+3,76+3,78+3,78+3,78+3,75+3,74+3,74+3,74+3,75+3,59+3,62+3,62+3,62+3,59+3,55+3,55+3,55+3,55+3,55+3
133,M. Mandžuki?,33,190,85,Croatia,84,Right,3,3,High/High,ST,68.0,80.0,71.0,75.0,65.0,86.0,"Injury Prone, Selfish, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Skilled Dribbling",72,85,90,75,86,76,64,49,67,79,61,73,65,88,55,83,85,81,87,61,88,66,90,74,76,80,59,64,60,82+3,82+3,82+3,76+3,79+3,79+3,79+3,76+3,76+3,76+3,76+3,76+3,75+3,75+3,75+3,76+3,71+3,72+3,72+3,72+3,71+3,70+3,72+3,72+3,72+3,70+3
157,W. Ben Yedder,28,170,68,France,83,Right,5,4,High/High,RS,84.0,82.0,77.0,85.0,39.0,61.0,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",74,88,74,80,83,85,80,76,66,84,88,81,90,83,89,81,78,68,59,69,55,44,89,80,76,84,34,33,26,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,82+2,82+2,82+2,81+2,74+2,74+2,74+2,81+2,61+2,58+2,58+2,58+2,61+2,58+2,51+2,51+2,51+2,58+2
158,A. Martial,23,184,76,France,83,Right,3,4,Medium/Low,ST,89.0,81.0,72.0,86.0,41.0,71.0,"Beat Offside Trap, Selfish, Early Crosser, Crowd Favourite",72,82,69,78,74,87,84,54,60,86,88,89,84,80,79,84,70,75,74,77,58,42,82,73,81,79,34,39,36,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,80+3,80+3,80+3,80+3,73+3,73+3,73+3,80+3,64+3,59+3,59+3,59+3,64+3,60+3,54+3,54+3,54+3,60+3
164,T. Werner,23,180,75,Germany,83,Right,4,3,High/Medium,LS,92.0,81.0,67.0,83.0,35.0,69.0,Early Crosser,69,86,77,77,84,83,63,56,55,84,93,92,81,86,76,79,71,83,65,70,63,37,85,61,72,74,39,20,19,82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,79+3,70+3,70+3,70+3,79+3,61+3,55+3,55+3,55+3,61+3,57+3,49+3,49+3,49+3,57+3
169,F. Quagliarella,36,180,79,Italy,83,Right,4,4,Medium/Medium,ST,69.0,89.0,75.0,80.0,30.0,65.0,"Avoids Using Weaker Foot, Beat Offside Trap, Leadership, Argues with Officials, Speed Dribbler (CPU AI Only)",66,89,69,79,88,79,78,78,73,84,70,68,71,84,76,90,68,65,74,89,44,26,87,77,85,84,35,21,15,82+2,82+2,82+2,79+2,81+2,81+2,81+2,79+2,80+2,80+2,80+2,77+2,73+2,73+2,73+2,77+2,54+2,54+2,54+2,54+2,54+2,50+2,45+2,45+2,45+2,50+2
170,Rodrigo,28,182,77,Spain,83,Left,3,4,High/Medium,LS,90.0,80.0,74.0,82.0,44.0,70.0,"Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",72,80,80,80,77,82,83,67,58,82,88,91,81,82,74,83,77,74,71,76,60,31,83,77,77,80,44,41,40,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,80+2,80+2,79+2,72+2,72+2,72+2,79+2,63+2,59+2,59+2,59+2,63+2,61+2,55+2,55+2,55+2,61+2
172,A. Kramari?,28,177,73,Croatia,83,Right,4,4,Medium/Medium,LS,73.0,85.0,73.0,85.0,30.0,71.0,"Injury Free, Selfish, Argues with Officials, Outside Foot Shot, Crowd Favourite",76,86,69,79,85,86,79,74,53,85,76,70,83,83,83,83,69,77,67,85,73,21,84,72,90,82,35,20,26,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,80+2,80+2,80+2,78+2,71+2,71+2,71+2,78+2,58+2,54+2,54+2,54+2,58+2,53+2,47+2,47+2,47+2,53+2
178,Morata,26,189,84,Spain,83,Right,4,3,High/High,LS,81.0,79.0,71.0,80.0,31.0,72.0,Early Crosser,73,81,86,78,80,83,76,44,51,82,75,85,66,80,58,80,84,70,79,72,56,24,85,76,70,76,37,14,20,81+3,81+3,81+3,79+3,80+3,80+3,80+3,79+3,78+3,78+3,78+3,77+3,69+3,69+3,69+3,77+3,56+3,52+3,52+3,52+3,56+3,53+3,48+3,48+3,48+3,53+3
181,Paco Alcácer,25,175,72,Spain,83,Right,4,3,Medium/Low,ST,79.0,84.0,68.0,80.0,36.0,63.0,"Power Free-Kick, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot",53,86,78,79,85,78,85,85,51,82,81,78,84,85,84,82,67,65,64,84,57,26,86,67,71,84,45,24,22,81+2,81+2,81+2,78+2,80+2,80+2,80+2,78+2,78+2,78+2,78+2,75+2,69+2,69+2,69+2,75+2,55+2,53+2,53+2,53+2,55+2,53+2,49+2,49+2,49+2,53+2
184,W. Zaha,26,180,66,Ivory Coast,83,Right,3,5,High/Low,LS,91.0,76.0,72.0,88.0,27.0,74.0,"Injury Free, Selfish, Crowd Favourite",78,78,47,75,64,90,57,51,65,87,88,93,87,77,81,81,58,76,74,70,73,23,78,76,66,81,22,29,28,77+2,77+2,77+2,82+2,80+2,80+2,80+2,82+2,80+2,80+2,80+2,81+2,71+2,71+2,71+2,81+2,59+2,55+2,55+2,55+2,59+2,55+2,45+2,45+2,45+2,55+2
190,Falcao,33,177,72,Colombia,83,Right,4,3,High/Medium,LS,65.0,82.0,69.0,77.0,43.0,72.0,"Beat Offside Trap, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",55,86,89,78,83,74,81,72,58,81,66,64,75,82,75,78,90,67,72,77,73,41,90,70,81,85,39,42,19,81+3,81+3,81+3,75+3,78+3,78+3,78+3,75+3,76+3,76+3,76+3,73+3,71+3,71+3,71+3,73+3,56+3,59+3,59+3,59+3,56+3,54+3,56+3,56+3,56+3,54+3
191,S. Haller,25,190,82,France,83,Right,2,3,High/Medium,ST,72.0,81.0,62.0,76.0,51.0,82.0,,40,85,86,76,82,76,57,46,45,80,68,76,68,84,53,81,80,72,89,67,76,36,84,75,91,82,39,61,55,81+2,81+2,81+2,74+2,78+2,78+2,78+2,74+2,76+2,76+2,76+2,72+2,70+2,70+2,70+2,72+2,61+2,62+2,62+2,62+2,61+2,61+2,63+2,63+2,63+2,61+2
192,Borja Iglesias,26,187,86,Spain,83,Right,3,3,High/Medium,ST,67.0,83.0,63.0,76.0,35.0,82.0,"Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only)",50,86,82,71,71,77,41,36,65,80,65,69,64,78,72,83,70,76,91,82,68,30,84,71,79,82,32,31,18,80+2,80+2,80+2,74+2,78+2,78+2,78+2,74+2,75+2,75+2,75+2,72+2,70+2,70+2,70+2,72+2,53+2,56+2,56+2,56+2,53+2,50+2,51+2,51+2,51+2,50+2
195,A. Milik,25,186,78,Poland,83,Left,3,4,Medium/Medium,RS,69.0,85.0,64.0,76.0,39.0,74.0,"Power Free-Kick, Speed Dribbler (CPU AI Only)",58,88,80,66,78,76,74,84,62,81,67,71,67,77,63,86,64,70,80,82,67,36,85,60,79,78,35,34,32,80+3,80+3,80+3,74+3,77+3,77+3,77+3,74+3,73+3,73+3,73+3,72+3,67+3,67+3,67+3,72+3,56+3,55+3,55+3,55+3,56+3,54+3,52+3,52+3,52+3,54+3
197,Louri Beretta,27,188,83,Brazil,83,Right,3,4,High/Low,ST,81.0,84.0,62.0,72.0,33.0,75.0,"Injury Free, Long Passer (CPU AI Only)",56,85,83,73,82,75,59,67,47,74,79,83,55,84,55,85,84,56,87,82,65,32,83,58,77,79,26,27,24,81+2,81+2,81+2,74+2,77+2,77+2,77+2,74+2,73+2,73+2,73+2,71+2,64+2,64+2,64+2,71+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,51+2,51+2
241,C. Bakambu,28,182,74,DR Congo,82,Right,4,3,Medium/Medium,RS,90.0,81.0,72.0,80.0,35.0,76.0,"Beat Offside Trap, Early Crosser",74,84,71,75,80,80,78,54,66,82,90,90,81,81,72,84,81,80,76,74,72,39,85,73,69,80,32,29,21,81+2,81+2,81+2,80+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,79+2,72+2,72+2,72+2,79+2,61+2,58+2,58+2,58+2,61+2,57+2,51+2,51+2,51+2,57+2
247,M. Arnautovi?,30,192,83,Austria,82,Right,4,4,High/Medium,ST,80.0,79.0,77.0,82.0,47.0,82.0,"Selfish, Crowd Favourite, Skilled Dribbling",78,78,74,78,79,84,79,72,74,85,77,83,69,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,79+3,79+3,80+3,75+3,75+3,75+3,80+3,65+3,65+3,65+3,65+3,65+3,62+3,60+3,60+3,60+3,62+3
253,Suso,25,176,70,Spain,82,Left,3,4,High/Medium,RS,78.0,76.0,83.0,87.0,33.0,53.0,"Beat Offside Trap, Argues with Officials, Crowd Favourite",84,70,50,86,72,88,87,80,75,89,82,74,86,78,84,78,50,75,55,87,23,20,76,83,72,76,50,23,18,74+3,74+3,74+3,82+3,80+3,80+3,80+3,82+3,82+3,82+3,82+3,81+3,76+3,76+3,76+3,81+3,60+3,56+3,56+3,56+3,60+3,54+3,42+3,42+3,42+3,54+3
255,K. Volland,26,179,83,Germany,82,Left,4,3,High/High,ST,76.0,84.0,79.0,79.0,41.0,83.0,"Diver, Avoids Using Weaker Foot",78,84,69,81,83,79,79,80,72,79,75,76,73,82,82,87,76,88,82,84,80,45,82,81,72,80,22,50,33,80+2,80+2,80+2,79+2,80+2,80+2,80+2,79+2,79+2,79+2,79+2,79+2,76+2,76+2,76+2,79+2,64+2,63+2,63+2,63+2,64+2,60+2,56+2,56+2,56+2,60+2
266,Willian José,27,189,93,Brazil,82,Right,4,4,Medium/Low,ST,69.0,82.0,68.0,75.0,40.0,81.0,"Argues with Officials, Long Passer (CPU AI Only)",54,84,84,78,70,76,68,60,50,80,66,71,66,81,38,84,79,70,90,76,75,35,87,78,80,78,40,32,30,81+2,81+2,81+2,75+2,79+2,79+2,79+2,75+2,77+2,77+2,77+2,73+2,70+2,70+2,70+2,73+2,56+2,58+2,58+2,58+2,56+2,54+2,56+2,56+2,56+2,54+2
267,K. Demirbay,25,182,72,Germany,82,Left,4,4,Medium/Medium,LF,67.0,74.0,82.0,84.0,64.0,70.0,"Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",72,74,46,85,59,86,85,81,82,85,67,67,78,84,78,77,71,77,67,77,69,71,78,86,70,84,72,59,54,74+2,74+2,74+2,79+2,79+2,79+2,79+2,79+2,81+2,81+2,81+2,79+2,81+2,81+2,81+2,79+2,72+2,74+2,74+2,74+2,72+2,69+2,66+2,66+2,66+2,69+2
271,Aduriz,38,182,78,Spain,82,Right,3,3,High/Medium,ST,61.0,82.0,64.0,75.0,49.0,74.0,"Long Passer (CPU AI Only), Giant Throw-in",54,83,92,72,80,76,61,54,52,82,60,61,56,85,53,82,89,50,82,78,82,23,87,73,86,87,58,44,49,81+3,81+3,81+3,74+3,78+3,78+3,78+3,74+3,75+3,75+3,75+3,71+3,68+3,68+3,68+3,71+3,56+3,58+3,58+3,58+3,56+3,56+3,61+3,61+3,61+3,56+3
272,J. Vardy,32,179,74,England,82,Right,3,3,High/High,ST,88.0,81.0,65.0,74.0,55.0,75.0,"Injury Prone, Giant Throw-in",68,85,78,67,81,74,65,57,48,74,87,88,72,83,75,85,78,79,68,64,87,49,86,72,83,81,56,50,53,80+3,80+3,80+3,76+3,78+3,78+3,78+3,76+3,74+3,74+3,74+3,75+3,68+3,68+3,68+3,75+3,66+3,62+3,62+3,62+3,66+3,65+3,63+3,63+3,63+3,65+3
273,M. Balotelli,28,189,88,Italy,82,Right,4,4,Medium/Low,RS,76.0,82.0,73.0,79.0,24.0,76.0,"Long Throw-in, Injury Free, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite, Skilled Dribbling",64,83,67,79,78,81,75,78,66,85,75,77,71,68,50,86,74,66,83,77,70,30,78,74,91,81,10,22,20,78+3,78+3,78+3,77+3,78+3,78+3,78+3,77+3,77+3,77+3,77+3,75+3,70+3,70+3,70+3,75+3,53+3,53+3,53+3,53+3,53+3,49+3,45+3,45+3,45+3,49+3
284,A. Belotti,25,181,72,Italy,82,Right,5,3,High/High,ST,77.0,81.0,57.0,77.0,41.0,82.0,"Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",42,88,84,68,82,78,64,56,42,75,77,77,78,76,75,81,83,81,82,67,83,31,85,61,77,75,55,23,32,80+3,80+3,80+3,73+3,76+3,76+3,76+3,73+3,72+3,72+3,72+3,70+3,64+3,64+3,64+3,70+3,55+3,54+3,54+3,54+3,55+3,54+3,55+3,55+3,55+3,54+3
287,D. Zapata,28,189,88,Colombia,82,Right,4,3,High/Medium,LS,71.0,81.0,56.0,76.0,37.0,83.0,"Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",44,87,83,70,77,77,48,62,43,81,70,72,64,76,60,86,79,70,94,64,72,20,86,56,70,78,52,24,22,81+2,81+2,81+2,72+2,76+2,76+2,76+2,72+2,72+2,72+2,72+2,70+2,63+2,63+2,63+2,70+2,52+2,52+2,52+2,52+2,52+2,50+2,53+2,53+2,53+2,50+2
291,L. de Jong,28,188,86,Netherlands,82,Right,3,2,Medium/High,ST,56.0,79.0,71.0,69.0,51.0,78.0,Long Passer (CPU AI Only),66,82,93,78,84,66,63,69,66,77,54,58,58,83,60,84,81,84,84,69,54,40,86,69,67,80,58,43,37,79+2,79+2,79+2,71+2,75+2,75+2,75+2,71+2,73+2,73+2,73+2,72+2,71+2,71+2,71+2,72+2,61+2,62+2,62+2,62+2,61+2,59+2,60+2,60+2,60+2,59+2
329,S. Giovinco,32,163,61,Italy,81,Right,4,4,High/Medium,RS,81.0,79.0,79.0,87.0,27.0,56.0,"Selfish, Argues with Officials, Finesse Shot, Crowd Favourite",72,78,34,80,75,86,90,92,76,86,84,78,94,83,93,80,34,75,42,81,75,26,83,78,73,82,23,29,28,74+2,74+2,74+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,80+2,75+2,75+2,75+2,80+2,59+2,56+2,56+2,56+2,59+2,53+2,41+2,41+2,41+2,53+2
332,K. Gameiro,32,172,70,France,81,Right,4,3,Medium/Medium,RS,85.0,79.0,74.0,77.0,43.0,67.0,Speed Dribbler (CPU AI Only),69,80,67,79,78,76,74,70,69,78,87,84,80,81,76,82,84,71,64,73,66,38,85,75,81,80,50,33,39,78+3,78+3,78+3,78+3,79+3,79+3,79+3,78+3,78+3,78+3,78+3,77+3,72+3,72+3,72+3,77+3,62+3,60+3,60+3,60+3,62+3,59+3,54+3,54+3,54+3,59+3
337,L. López,36,174,72,Argentina,81,Right,4,4,High/High,LS,75.0,82.0,73.0,80.0,50.0,70.0,"Avoids Using Weaker Foot, Speed Dribbler (CPU AI Only)",66,86,79,76,74,79,78,73,71,82,74,75,77,77,79,82,79,65,76,75,61,52,84,75,85,86,35,58,34,80+2,80+2,80+2,77+2,79+2,79+2,79+2,77+2,78+2,78+2,78+2,76+2,74+2,74+2,74+2,76+2,62+2,63+2,63+2,63+2,62+2,60+2,59+2,59+2,59+2,60+2
338,L. Martínez,21,174,81,Argentina,81,Right,4,4,High/Medium,RS,81.0,77.0,68.0,82.0,40.0,83.0,"Selfish, Long Passer (CPU AI Only), Crowd Favourite",56,82,82,72,69,82,76,33,73,82,81,81,86,78,73,79,88,78,84,69,84,31,82,76,66,77,56,22,25,80+2,80+2,80+2,77+2,79+2,79+2,79+2,77+2,78+2,78+2,78+2,76+2,71+2,71+2,71+2,76+2,58+2,59+2,59+2,59+2,58+2,55+2,55+2,55+2,55+2,55+2
339,A. Plea,26,181,79,France,81,Right,3,4,High/Medium,LS,76.0,81.0,76.0,78.0,39.0,74.0,Early Crosser,78,82,73,76,81,78,78,74,68,79,76,76,77,81,77,83,71,78,77,81,63,39,83,78,65,76,29,40,30,79+2,79+2,79+2,78+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,61+2,59+2,59+2,59+2,61+2,58+2,53+2,53+2,53+2,58+2
349,J. Martínez,26,170,69,Venezuela,81,Right,4,3,High/Medium,ST,89.0,79.0,61.0,79.0,25.0,73.0,"Selfish, Early Crosser, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",53,84,77,69,75,76,68,57,55,79,87,90,91,81,92,81,86,72,74,66,66,20,85,58,79,75,20,20,15,80+2,80+2,80+2,76+2,78+2,78+2,78+2,76+2,74+2,74+2,74+2,73+2,65+2,65+2,65+2,73+2,52+2,49+2,49+2,49+2,52+2,49+2,45+2,45+2,45+2,49+2
359,B. Gomis,33,184,77,France,81,Right,3,4,High/Low,LS,70.0,82.0,66.0,75.0,36.0,74.0,,61,84,84,75,79,78,61,62,46,79,69,70,59,78,58,84,74,73,83,75,52,38,79,71,83,82,22,32,35,79+3,79+3,79+3,74+3,77+3,77+3,77+3,74+3,74+3,74+3,74+3,73+3,68+3,68+3,68+3,73+3,57+3,54+3,54+3,54+3,57+3,54+3,51+3,51+3,51+3,54+3
360,Y. Poulsen,25,193,78,Denmark,81,Right,3,3,High/High,RS,83.0,74.0,67.0,75.0,56.0,82.0,Giant Throw-in,69,80,85,75,75,76,71,43,48,76,81,84,75,81,55,74,84,87,79,59,84,48,86,68,59,69,55,59,33,79+2,79+2,79+2,76+2,77+2,77+2,77+2,76+2,74+2,74+2,74+2,76+2,69+2,69+2,69+2,76+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,64+2,64+2
