,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
347,N. Gaitán,31,173,66,Argentina,81,Left,2,4,Medium/Medium,CAM,78.0,72.0,80.0,82.0,41.0,58.0,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",79,71,54,81,80,82,86,72,75,81,81,75,86,82,80,72,82,67,46,73,69,40,77,81,71,80,35,42,43,72+3,72+3,72+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,78+3,74+3,74+3,74+3,78+3,63+3,61+3,61+3,61+3,63+3,60+3,51+3,51+3,51+3,60+3
355,A. Ljaji?,27,182,74,Serbia,81,Right,4,4,High/Low,CAM,78.0,75.0,80.0,84.0,37.0,61.0,"Beat Offside Trap, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",82,70,48,80,74,85,80,85,77,86,81,76,81,74,81,82,63,72,59,81,54,32,73,80,75,78,39,35,35,73+2,73+2,73+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,79+2,74+2,74+2,74+2,79+2,62+2,59+2,59+2,59+2,62+2,57+2,48+2,48+2,48+2,57+2
372,Renato Augusto,31,186,86,Brazil,81,Right,4,4,Medium/Medium,LAM,67.0,73.0,79.0,79.0,71.0,72.0,"Avoids Using Weaker Foot, Selfish, Argues with Officials, Finesse Shot, Crowd Favourite",75,65,57,81,77,82,80,75,81,81,67,67,67,81,66,81,49,81,76,81,58,72,75,81,68,68,75,73,64,73+2,73+2,73+2,76+2,76+2,76+2,76+2,76+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,74+2,76+2,76+2,76+2,74+2,73+2,70+2,70+2,70+2,73+2
430,Raúl García,32,184,83,Spain,80,Right,3,3,High/Medium,CAM,47.0,82.0,80.0,77.0,72.0,81.0,"Avoids Using Weaker Foot, Leadership, Argues with Officials, Long Passer (CPU AI Only)",78,82,90,82,55,78,72,68,80,83,44,49,57,82,63,85,79,75,82,86,84,69,84,82,79,83,69,74,63,79+2,79+2,79+2,76+2,78+2,78+2,78+2,76+2,78+2,78+2,78+2,76+2,80+2,80+2,80+2,76+2,72+2,76+2,76+2,76+2,72+2,71+2,75+2,75+2,75+2,71+2
443,M. Valbuena,34,165,63,France,80,Right,3,3,High/Medium,CAM,77.0,75.0,80.0,82.0,34.0,48.0,"Beat Offside Trap, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",80,74,48,82,76,82,82,77,77,82,77,77,82,77,92,75,60,66,37,79,52,34,76,77,68,67,38,26,34,72+3,72+3,72+3,79+3,77+3,77+3,77+3,79+3,79+3,79+3,79+3,78+3,73+3,73+3,73+3,78+3,60+3,56+3,56+3,56+3,60+3,56+3,44+3,44+3,44+3,56+3
451,H. Vanaken,26,195,80,Belgium,80,Right,5,4,High/High,CAM,48.0,76.0,81.0,77.0,65.0,73.0,"Diver, Finesse Shot, Crowd Favourite",75,75,78,85,73,78,75,78,80,84,41,53,57,81,60,75,38,91,76,76,52,69,83,85,80,86,68,58,53,76+2,76+2,76+2,75+2,77+2,77+2,77+2,75+2,78+2,78+2,78+2,76+2,80+2,80+2,80+2,76+2,71+2,73+2,73+2,73+2,71+2,68+2,66+2,66+2,66+2,68+2
463,Pozuelo,27,170,73,Spain,80,Right,5,4,High/Medium,CAM,66.0,73.0,78.0,83.0,50.0,60.0,"Avoids Using Weaker Foot, Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",72,71,49,82,68,83,77,74,75,84,68,64,78,81,84,74,60,78,52,76,59,55,75,80,73,82,51,52,36,71+2,71+2,71+2,77+2,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,66+2,66+2,66+2,66+2,66+2,62+2,55+2,55+2,55+2,62+2
586,Lucas Paquetá,21,180,72,Brazil,79,Left,2,4,High/Medium,CAM,76.0,75.0,75.0,81.0,60.0,77.0,"Injury Prone, Selfish, Crowd Favourite",68,75,56,78,70,84,80,73,76,80,75,77,74,80,68,77,81,84,71,74,80,58,81,74,75,82,59,65,56,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,78+2,78+2,78+2,78+2,76+2,76+2,76+2,78+2,70+2,70+2,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2
598,D. Valeri,33,178,75,Argentina,79,Right,3,3,High/Medium,CAM,58.0,79.0,78.0,79.0,41.0,66.0,"Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Finesse Shot, Giant Throw-in",77,78,70,77,75,80,79,81,77,81,60,57,74,79,74,82,67,79,64,81,53,36,81,80,78,85,39,40,30,76+2,76+2,76+2,76+2,77+2,77+2,77+2,76+2,77+2,77+2,77+2,76+2,74+2,74+2,74+2,76+2,60+2,60+2,60+2,60+2,60+2,56+2,51+2,51+2,51+2,56+2
635,S. Kagawa,30,175,68,Japan,79,Right,4,4,Medium/Low,CAM,62.0,67.0,75.0,84.0,54.0,45.0,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",65,75,48,83,76,84,74,63,71,82,69,57,88,80,87,54,65,64,39,52,30,59,80,78,80,83,56,53,49,69+3,69+3,69+3,76+3,75+3,75+3,75+3,76+3,78+3,78+3,78+3,75+3,75+3,75+3,75+3,75+3,65+3,64+3,64+3,64+3,65+3,62+3,54+3,54+3,54+3,62+3
766,Alan Carvalho,29,184,72,Brazil,78,Right,4,4,High/Medium,CAM,83.0,75.0,68.0,82.0,33.0,71.0,Early Crosser,66,79,72,68,76,83,78,72,59,79,83,83,88,75,75,74,81,75,74,68,54,39,78,72,76,70,41,12,18,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,75+2,75+2,75+2,75+2,67+2,67+2,67+2,75+2,56+2,53+2,53+2,53+2,56+2,52+2,47+2,47+2,47+2,52+2
776,M. Ødegaard,20,178,68,Norway,78,Left,2,5,Medium/Medium,CAM,74.0,69.0,82.0,85.0,40.0,49.0,"Diver, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",86,64,52,82,68,86,78,79,76,87,76,72,78,74,78,76,46,72,40,75,41,48,62,84,63,78,38,35,32,69+3,69+3,69+3,78+3,76+3,76+3,76+3,78+3,78+3,78+3,78+3,78+3,75+3,75+3,75+3,78+3,64+3,60+3,60+3,60+3,64+3,59+3,46+3,46+3,46+3,59+3
784,D. Didavi,29,180,77,Germany,78,Left,3,3,Medium/Medium,CAM,67.0,79.0,76.0,79.0,49.0,70.0,"Power Free-Kick, Argues with Officials, Crowd Favourite",75,76,58,79,75,80,78,76,74,80,69,65,74,78,73,86,76,60,75,84,67,51,77,72,65,80,36,59,49,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,75+2,64+2,64+2,64+2,64+2,64+2,61+2,59+2,59+2,59+2,61+2
785,Y. Yaz?c?,22,183,74,Turkey,78,Left,4,4,High/Medium,CAM,75.0,74.0,78.0,81.0,47.0,74.0,"Beat Offside Trap, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",78,71,68,79,72,83,83,76,74,80,73,76,78,72,83,83,55,85,72,76,71,40,74,79,60,75,38,54,45,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,74+2,74+2,74+2,77+2,65+2,63+2,63+2,63+2,65+2,62+2,57+2,57+2,57+2,62+2
786,R. Soriano,28,182,76,Italy,78,Right,4,4,Medium/Medium,CAM,71.0,74.0,77.0,79.0,67.0,68.0,Crowd Favourite,77,72,67,79,73,80,78,56,77,79,72,71,78,73,72,77,64,65,68,77,71,68,75,78,62,75,67,66,65,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,71+2,71+2,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2
787,I. Fernández,29,182,67,Argentina,78,Left,2,4,High/Medium,RAM,74.0,72.0,78.0,79.0,65.0,71.0,"Beat Offside Trap, Finesse Shot",73,69,63,81,66,81,78,75,75,79,73,75,79,73,69,76,46,81,69,78,72,66,76,80,68,79,67,64,59,73+2,73+2,73+2,76+2,76+2,76+2,76+2,76+2,77+2,77+2,77+2,76+2,76+2,76+2,76+2,76+2,72+2,72+2,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2
791,J. Boëtius,25,178,76,Netherlands,78,Right,4,4,Medium/High,CAM,85.0,70.0,74.0,81.0,42.0,64.0,"Selfish, Early Crosser, Crowd Favourite",72,69,61,75,72,81,80,60,67,79,85,85,89,75,75,71,68,83,60,73,47,35,77,79,61,72,41,43,36,73+2,73+2,73+2,77+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,72+2,72+2,72+2,77+2,62+2,58+2,58+2,58+2,62+2,59+2,50+2,50+2,50+2,59+2
796,V. Grifo,26,180,75,Italy,78,Right,2,4,Medium/Medium,CAM,70.0,75.0,76.0,82.0,41.0,62.0,"Injury Free, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",83,73,47,75,70,83,85,80,66,84,74,67,79,75,81,81,52,71,62,76,52,45,76,73,68,70,50,31,30,72+2,72+2,72+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,76+2,71+2,71+2,71+2,76+2,62+2,59+2,59+2,59+2,62+2,57+2,49+2,49+2,49+2,57+2
798,G. Martínez,26,172,75,Argentina,78,Left,2,4,High/Low,CAM,88.0,75.0,71.0,83.0,34.0,62.0,"Selfish, Leadership, Argues with Officials, Crowd Favourite",74,71,32,70,74,83,78,73,68,80,90,86,90,78,85,80,53,75,61,80,48,26,75,72,80,78,47,28,30,72+2,72+2,72+2,78+2,76+2,76+2,76+2,78+2,76+2,76+2,76+2,77+2,69+2,69+2,69+2,77+2,60+2,55+2,55+2,55+2,60+2,55+2,44+2,44+2,44+2,55+2
807,M. Gregoritsch,25,193,87,Austria,78,Left,3,4,High/Low,CAM,64.0,78.0,74.0,74.0,40.0,71.0,"Long Throw-in, Beat Offside Trap, Argues with Officials, Speed Dribbler (CPU AI Only)",65,77,71,77,75,75,83,79,71,78,62,66,65,78,52,84,50,69,79,80,58,33,78,74,64,65,36,40,38,76+2,76+2,76+2,73+2,75+2,75+2,75+2,73+2,75+2,75+2,75+2,73+2,71+2,71+2,71+2,73+2,58+2,58+2,58+2,58+2,58+2,55+2,52+2,52+2,52+2,55+2
817,R. Boudebouz,29,177,74,Algeria,78,Left,4,4,High/Low,CAM,71.0,77.0,79.0,79.0,40.0,59.0,"Selfish, Crowd Favourite",80,77,45,78,73,80,83,82,75,78,69,72,78,73,74,77,61,61,60,75,53,35,74,82,90,75,51,35,30,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,77+2,77+2,77+2,76+2,72+2,72+2,72+2,76+2,59+2,58+2,58+2,58+2,59+2,55+2,48+2,48+2,48+2,55+2
821,M. Zaracho,21,171,64,Argentina,78,Right,3,4,High/Medium,CAM,87.0,66.0,74.0,83.0,63.0,62.0,Crowd Favourite,66,67,49,83,58,83,65,58,73,79,89,85,93,72,92,66,60,77,56,69,60,59,70,73,57,84,65,67,62,70+2,70+2,70+2,77+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,77+2,74+2,74+2,74+2,77+2,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2
822,F. Mollet,27,170,67,France,78,Right,4,4,High/Medium,CAM,76.0,74.0,78.0,79.0,50.0,59.0,"Long Throw-in, Injury Prone, Argues with Officials, Finesse Shot, Crowd Favourite",72,69,41,80,71,79,74,80,77,80,78,75,79,71,88,85,66,76,49,80,63,52,71,81,63,73,54,49,44,70+2,70+2,70+2,76+2,75+2,75+2,75+2,76+2,77+2,77+2,77+2,76+2,75+2,75+2,75+2,76+2,65+2,65+2,65+2,65+2,65+2,62+2,54+2,54+2,54+2,62+2
842,F. Neuhaus,22,183,74,Germany,78,Right,3,3,Medium/Medium,CAM,70.0,66.0,75.0,79.0,64.0,67.0,Argues with Officials,62,63,58,82,63,78,66,41,78,81,74,67,79,80,76,70,54,78,65,75,60,63,70,82,49,75,66,64,64,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,77+2,77+2,77+2,75+2,77+2,77+2,77+2,75+2,70+2,72+2,72+2,72+2,70+2,69+2,65+2,65+2,65+2,69+2
845,A. Miranchuk,23,182,74,Russia,78,Left,2,3,Medium/Medium,CAM,74.0,66.0,78.0,79.0,31.0,62.0,"Selfish, Finesse Shot, Crowd Favourite",72,67,57,81,62,80,74,78,74,80,73,75,77,75,74,65,58,75,64,65,43,36,72,82,64,76,22,28,29,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,76+2,76+2,76+2,76+2,72+2,72+2,72+2,76+2,58+2,56+2,56+2,56+2,58+2,54+2,44+2,44+2,44+2,54+2
847,N. Lodeiro,30,170,69,Uruguay,78,Left,4,4,High/Medium,CAM,68.0,70.0,79.0,79.0,49.0,70.0,"Avoids Using Weaker Foot, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",81,65,42,79,70,78,81,77,76,81,69,67,77,79,77,71,65,88,61,76,69,49,75,78,76,78,50,52,40,69+2,69+2,69+2,75+2,74+2,74+2,74+2,75+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,76+2,67+2,66+2,66+2,66+2,67+2,62+2,55+2,55+2,55+2,62+2
897,Fernando,27,175,80,Brazil,78,Right,3,3,Medium/Medium,RAM,73.0,66.0,76.0,73.0,74.0,75.0,"Leadership, Argues with Officials, Finesse Shot",60,63,62,81,45,70,82,84,82,76,70,76,74,73,81,76,80,80,69,76,80,80,47,75,61,70,69,78,77,66+2,66+2,66+2,69+2,69+2,69+2,69+2,69+2,72+2,72+2,72+2,70+2,75+2,75+2,75+2,70+2,74+2,77+2,77+2,77+2,74+2,74+2,74+2,74+2,74+2,74+2
1010,E. Vargas,29,174,81,Chile,77,Right,4,4,Medium/Low,CAM,80.0,76.0,70.0,80.0,39.0,67.0,"Injury Free, Selfish, Early Crosser, Speed Dribbler (CPU AI Only)",69,76,65,72,81,81,72,58,66,78,84,76,86,77,72,77,77,76,65,74,60,25,76,73,70,73,34,45,36,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,75+2,70+2,70+2,70+2,75+2,59+2,56+2,56+2,56+2,59+2,56+2,50+2,50+2,50+2,56+2
1016,O. Duda,24,181,75,Slovakia,77,Right,4,4,Medium/High,CAM,69.0,75.0,73.0,80.0,55.0,62.0,"Selfish, Finesse Shot, Crowd Favourite",64,79,52,77,71,80,77,77,71,81,70,68,77,75,75,76,70,75,55,68,60,26,77,75,56,81,63,66,58,72+2,72+2,72+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,73+2,73+2,73+2,75+2,64+2,64+2,64+2,64+2,64+2,62+2,58+2,58+2,58+2,62+2
1089,Simão Acunha,31,178,71,Brazil,77,Right,2,4,High/Low,CAM,80.0,68.0,77.0,77.0,36.0,63.0,Speed Dribbler (CPU AI Only),74,66,60,79,67,76,87,61,73,78,83,77,81,78,74,71,64,73,64,72,48,45,67,80,67,71,30,32,22,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,60+2,58+2,58+2,58+2,60+2,56+2,47+2,47+2,47+2,56+2
1266,G. dos Santos,30,175,71,Mexico,76,Left,4,4,High/Low,CAM,84.0,73.0,73.0,79.0,33.0,51.0,"Power Free-Kick, Injury Free, Beat Offside Trap",71,72,61,77,75,78,73,77,66,78,85,84,88,72,91,76,58,62,44,73,53,28,71,71,70,72,34,28,23,72+3,72+3,72+3,76+3,75+3,75+3,75+3,76+3,75+3,75+3,75+3,74+3,68+3,68+3,68+3,74+3,56+3,52+3,52+3,52+3,56+3,52+3,43+3,43+3,43+3,52+3
1289,D. Quintero,31,166,66,Colombia,76,Right,3,4,High/Medium,CAM,86.0,73.0,70.0,81.0,28.0,65.0,"Selfish, Outside Foot Shot",70,73,55,70,72,82,75,56,70,75,88,85,93,74,83,73,65,69,58,75,77,24,75,74,59,75,29,23,21,72+2,72+2,72+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,75+2,68+2,68+2,68+2,75+2,55+2,52+2,52+2,52+2,55+2,51+2,43+2,43+2,43+2,51+2
1316,E. Cardona,26,183,92,Colombia,76,Right,4,3,Medium/Low,CAM,56.0,78.0,78.0,76.0,40.0,79.0,"Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",76,73,60,79,74,77,80,83,78,80,54,58,70,66,68,86,45,72,86,85,79,50,76,76,64,70,30,39,34,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,73+2,73+2,73+2,73+2,59+2,62+2,62+2,62+2,59+2,55+2,53+2,53+2,53+2,55+2
