,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
21,21,Felipe Anderson,26,175.0,70.4,Brazil,Caucasian,84,Right,Excellent,Excellent,High/Medium,RM,80.67,74.27,80.88,90.16,77.3,68.88,75.77,88.05,89.35,88.97,89.05,77.47,86.96,14,11,16,13,13,15,16,10,16
22,22,,28,178.8,67.0,Algeria,Middle-eastern,84,Left,Excellent,Masterful,Medium/Medium,RW,81.18,77.36,78.45,89.82,83.56,78.12,75.06,90.1,87.29,81.64,91.64,76.59,87.42,15,10,16,9,7,15,16,14,16
23,23,E. Viš?a,29,171.5,62.7,Bosnia Herzegovina,Caucasian,84,Right,Excellent,Excellent,High/Medium,RM,82.26,79.66,82.75,80.65,74.03,59.95,70.57,84.27,89.64,87.13,93.23,79.84,88.93,18,11,15,9,10,16,15,15,16
24,24,J. Sancho,19,180.3,76.3,England,Black,84,Right,Excellent,Masterful,Medium/Low,RW,77.54,78.08,83.4,92.31,80.9,48.14,70.57,88.4,88.78,86.86,90.58,84.3,89.76,15,11,12,8,5,15,16,11,16
25,25,Pizzi,29,176.9,72.2,Portugal,Caucasian,84,Right,Excellent,Good,High/Medium,RM,81.49,75.74,86.46,81.01,83.15,76.12,84.56,83.07,82.34,76.81,76.66,83.15,77.06,17,11,15,13,14,16,17,16,17
26,26,C. Vela,30,176.6,76.8,Mexico,Caucasian,83,,Average,Excellent,High/Low,RW,78.17,84.68,81.46,84.02,84.04,71.23,66.36,85.04,79.73,80.25,80.55,82.52,86.27,14,13,16,11,7,16,16,14,16
27,27,J. Draxler,25,186.7,76.5,Germany,Caucasian,83,Right,Masterful,Excellent,Medium/Medium,LW,80.88,75.53,84.02,81.01,78.44,76.03,77.48,87.9,78.24,76.57,80.3,81.27,75.41,13,13,16,9,13,15,16,13,16
28,28,F. Thauvin,26,179.1,69.8,France,Caucasian,83,Left,Good,Excellent,High/Medium,RW,82.47,71.58,83.37,82.23,78.44,72.48,75.57,83.95,87.31,79.87,85.87,82.88,70.52,16,13,16,11,8,16,16,15,16
29,29,Ronaldo Cabrais,27,176.6,75.1,Brazil,Caucasian,83,Right,Excellent,Excellent,High/Medium,RM,83.0,73.91,82.68,84.89,85.82,78.19,81.53,83.09,87.31,87.29,85.17,83.6,76.32,17,14,15,12,8,16,16,15,16
30,30,Y. Carrasco,25,180.3,70.8,Belgium,Black,83,Right,Excellent,Excellent,High/Medium,LM,77.99,79.99,75.46,87.68,81.25,79.22,70.72,87.08,90.59,90.05,90.52,82.1,70.66,14,11,15,12,3,16,14,14,15
31,31,Lucas Moura,26,173.6,70.3,Brazil,Black,83,Right,Excellent,Excellent,High/Medium,RW,74.67,81.79,77.36,88.23,71.38,74.21,73.93,83.2,95.47,89.04,92.52,80.51,92.27,15,11,15,14,10,16,15,14,16
32,32,T. Lemar,23,171.5,62.1,France,Black,83,Left,Average,Excellent,,LM,83.05,74.72,83.84,84.62,84.6,80.76,74.59,85.8,83.16,83.02,86.54,78.6,86.27,15,12,15,12,13,15,16,13,16
33,33,Anderson Talisca,25,190.1,80.0,Brazil,Caucasian,83,Left,Excellent,Excellent,High/Low,RW,74.99,79.73,80.79,81.55,85.82,87.26,78.6,83.61,78.37,82.15,75.97,79.34,70.45,15,14,17,13,11,17,16,15,14
34,34,N. Pépé,24,182.9,71.9,Ivory Coast,Black,83,Left,Good,Excellent,High/Low,RW,78.28,81.9,74.74,86.11,78.65,71.87,66.76,81.79,90.43,91.19,90.52,83.27,79.39,16,13,15,8,5,16,16,17,16
35,35,Gonçalo Guedes,22,178.7,67.6,Portugal,Caucasian,83,Right,Excellent,Excellent,High/Medium,LM,77.52,77.04,77.11,86.34,76.26,70.23,69.2,80.68,90.87,89.69,81.55,83.4,76.52,15,13,16,13,10,15,15,13,16
36,36,Morales,31,180.4,70.3,Spain,Caucasian,82,,Excellent,Excellent,High/Medium,LW,78.61,83.27,78.1,88.27,81.93,72.36,68.18,87.08,87.64,89.84,77.87,82.56,76.52,16,13,16,11,11,16,15,15,17
37,37,S. Bergwijn,21,177.9,77.5,Netherlands,Black,82,Right,Average,Excellent,Medium/Medium,LW,74.26,74.03,83.05,87.32,76.73,66.27,62.19,85.47,90.87,88.52,79.32,81.04,88.85,16,16,14,8,6,15,15,12,15
38,38,A. Sánchez,30,168.8,62.3,Chile,Caucasian,82,Right,Good,Excellent,,RW,76.64,75.6,75.67,84.61,78.7,78.44,74.33,83.89,83.19,78.62,85.93,78.89,87.38,14,14,15,15,9,16,15,14,15
39,39,Pedro,31,169.1,65.2,Spain,Caucasian,82,Right,Masterful,Excellent,High/High,RW,77.55,77.83,80.28,84.15,80.82,56.62,71.01,85.32,77.56,89.69,81.29,81.46,81.9,14,9,15,11,9,16,15,13,15
40,40,Willian,30,181.3,77.8,Brazil,Black,82,Right,Excellent,Excellent,High/High,RW,75.89,76.78,80.49,88.4,82.99,84.18,77.26,81.96,87.75,82.15,86.89,80.28,79.01,15,11,16,8,11,15,16,14,15
41,41,Oyarzabal,22,180.5,78.2,Spain,Caucasian,82,Left,Good,Good,High/Medium,LW,82.37,85.67,80.7,84.75,68.97,71.04,72.6,83.86,74.12,75.9,76.8,81.27,75.04,15,11,16,10,5,16,15,15,14
42,42,L. Bailey,21,178.4,78.9,Jamaica,Black,82,,Excellent,Excellent,Medium/Medium,LM,77.41,74.78,75.67,86.36,78.34,79.18,65.58,87.08,93.08,90.04,85.91,79.69,70.66,15,11,15,11,4,16,15,14,15
43,43,T. Hazard,26,174.6,71.1,Belgium,Caucasian,82,Right,Excellent,Excellent,High/Medium,LM,80.83,76.14,81.86,84.61,82.79,79.34,71.14,84.17,86.13,78.02,90.79,82.17,86.13,15,12,15,11,12,16,16,16,15
44,44,Rafa,26,171.8,66.2,Portugal,Black,82,Right,Good,Excellent,High/Medium,LM,78.38,72.63,75.19,86.55,76.12,55.62,64.12,82.75,91.77,94.45,89.05,81.15,88.54,15,8,12,9,11,16,15,11,16
45,45,H. Lozano,23,175.4,70.0,Mexico,Caucasian,82,Right,Good,Excellent,High/Low,RW,74.55,71.58,74.17,82.71,76.26,64.6,66.76,81.26,93.6,92.59,91.03,83.35,75.79,16,11,14,12,9,16,14,14,15
46,46,S. El Shaarawy,26,177.9,72.2,Italy,Caucasian,82,Right,Good,Masterful,Medium/High,LW,75.07,80.28,74.17,84.49,85.17,63.12,57.03,86.43,77.56,86.89,85.73,72.14,81.8,14,11,15,10,7,16,14,13,14
47,47,,24,172.6,73.5,Portugal,Caucasian,82,Right,Good,Masterful,High/Medium,RM,80.31,70.49,75.97,87.4,81.51,59.71,55.4,81.33,95.38,94.64,94.63,81.15,92.12,17,9,13,12,8,15,15,13,16
48,48,Muniain,26,169.8,65.9,Spain,Caucasian,82,Right,Good,Excellent,Medium/Low,LW,73.05,76.14,82.03,86.96,76.18,79.34,70.49,85.93,82.56,77.48,92.33,80.26,94.02,14,9,14,13,9,15,16,12,16
49,49,F. Kosti?,26,183.7,82.1,Serbia,Caucasian,82,Left,Average,Good,High/High,LM,83.59,73.82,75.1,82.65,78.66,79.95,69.66,81.4,88.08,86.93,75.87,79.03,75.13,18,15,15,15,12,15,15,12,15
50,50,J. Roussillon,26,174.6,79.9,France,Black,82,Left,Good,Good,High/Medium,LM,85.29,63.28,77.71,79.71,74.85,55.85,79.99,80.86,87.47,90.03,77.29,78.24,78.12,16,15,13,15,15,14,14,10,15
51,51,Mário Fernandes,28,187.3,80.3,Russia,Caucasian,82,Right,Good,Good,High/High,RM,74.12,56.37,77.71,80.17,66.36,39.42,70.95,78.88,78.81,85.11,79.4,80.31,60.73,17,15,11,15,15,15,14,10,15
52,52,E. Zahavi,31,181.6,71.1,Israel,Middle-eastern,81,Right,Excellent,Excellent,High/Low,LW,60.4,86.15,78.31,81.63,73.9,79.34,68.82,83.15,76.46,74.04,88.72,79.26,71.57,14,13,15,13,7,16,16,13,14
53,53,P. Zieli?ski,25,180.2,75.5,Poland,Caucasian,81,Right,Masterful,Excellent,Medium/Medium,LM,76.96,68.45,83.75,84.92,79.78,65.37,79.99,85.13,80.28,82.39,78.8,75.65,75.65,14,11,16,11,15,15,16,10,15
54,54,M. Acuña,27,172.5,68.6,Argentina,Caucasian,81,Left,Good,Excellent,High/High,LW,86.95,71.58,77.66,86.7,94.34,78.4,76.18,85.23,77.85,75.27,82.85,79.87,86.35,18,16,16,17,15,15,16,14,17
55,55,D. Payet,32,175.4,77.1,France,Caucasian,81,Right,Excellent,Excellent,High/Low,LW,84.23,76.23,81.79,80.59,83.91,75.11,80.01,83.55,70.44,70.96,85.18,72.89,80.2,14,14,15,11,7,15,16,14,15
56,56,Quaresma,35,175.1,67.4,Portugal,Black,81,Right,Excellent,Masterful,,RM,91.28,67.42,79.11,86.96,94.34,70.91,74.6,85.97,77.35,76.89,85.96,75.04,84.17,12,11,15,14,4,15,16,14,16
57,57,Laure Santeiro,31,170.8,62.7,Brazil,Caucasian,81,Left,Masterful,Excellent,Medium/Medium,LM,72.62,71.58,79.09,82.07,55.59,75.36,80.46,82.1,86.19,78.16,88.55,79.73,87.82,13,9,15,8,6,16,16,14,15
58,58,R. Fraser,25,162.7,70.4,Scotland,Caucasian,81,Right,Excellent,Good,High/Medium,LM,82.25,75.43,77.87,82.37,82.51,72.34,71.41,81.13,91.72,88.2,95.01,77.45,96.37,15,10,14,13,9,15,16,13,15
59,59,Hulk,32,179.0,91.9,Brazil,Caucasian,80,Left,Good,Excellent,High/Medium,RW,75.16,81.39,77.55,85.04,78.08,81.33,72.42,78.88,79.39,62.84,71.42,82.47,58.11,16,18,18,16,9,16,15,15,15
60,60,Nani,32,176.9,69.6,,,80,Right,Masterful,Masterful,High/Medium,LW,80.41,67.65,79.59,88.18,85.99,79.51,77.04,87.34,78.27,66.67,85.18,75.25,77.51,13,11,16,15,6,15,15,14,16
61,61,E. Lamela,27,184.4,79.8,Argentina,Caucasian,80,Left,Average,Excellent,High/High,RW,76.59,74.19,80.57,84.46,83.48,79.57,72.72,83.22,75.12,75.1,74.62,77.45,74.1,15,13,16,17,9,15,16,15,15
62,62,,37,178.6,75.0,Spain,Caucasian,80,Right,Good,Excellent,High/Medium,LM,83.87,79.52,82.86,85.39,85.83,77.18,81.66,82.65,69.24,62.84,67.76,82.15,70.34,9,12,15,10,7,16,16,15,15
63,63,S. Feghouli,29,176.5,74.7,Algeria,Middle-eastern,80,Right,Good,Excellent,High/Low,RM,78.26,68.14,75.32,84.88,66.88,67.9,66.62,82.16,85.04,85.56,84.51,77.81,75.62,14,11,15,12,6,15,15,12,13
64,64,S. Berghuis,27,182.4,74.7,Netherlands,Caucasian,80,Left,Average,Good,Medium/Low,RW,81.72,74.84,79.04,82.26,86.06,73.67,82.08,83.09,82.03,74.58,83.76,78.22,69.98,14,11,16,12,7,14,16,13,14
65,65,R. Pereyra,28,181.6,77.2,Argentina,Caucasian,80,Right,Excellent,Excellent,High/Medium,LM,77.89,73.52,82.36,85.96,77.84,72.34,74.76,84.28,75.12,75.07,76.02,74.38,75.71,15,12,14,13,14,15,16,14,15
66,66,Rony Lopes,23,174.3,68.2,Portugal,Caucasian,80,Left,Good,Excellent,High/Medium,LW,76.64,76.96,78.44,83.59,75.94,72.87,71.29,82.29,82.55,76.4,84.43,72.3,87.88,14,11,14,7,5,15,15,13,14
67,67,Carlos Soler,22,179.9,75.7,,,80,Right,Excellent,Good,Medium/Medium,RM,80.53,74.06,83.91,77.79,68.79,81.67,78.16,80.38,74.63,77.83,74.22,79.86,71.91,14,13,14,13,13,15,16,14,15
68,68,Melendo,21,167.4,63.0,Spain,Black,80,Left,Good,Good,Medium/Medium,RM,76.37,73.75,82.6,80.75,74.25,34.98,77.54,81.73,82.8,81.83,85.97,71.47,90.09,14,11,13,11,11,15,15,7,13
69,69,Pedro León,32,182.7,73.1,Spain,Black,80,,Good,Excellent,Medium/Low,RM,91.11,75.71,82.71,83.43,87.38,85.22,85.59,79.92,61.11,58.94,68.91,74.82,70.34,12,12,16,11,8,15,16,14,14
70,70,Bernard,26,163.6,60.1,Brazil,Caucasian,80,Right,Excellent,Excellent,High/Medium,LM,80.16,69.18,77.28,84.1,77.96,68.73,67.56,83.72,90.24,83.69,94.21,77.45,94.86,14,6,13,8,8,14,15,11,14
71,71,M. Lanzini,26,167.4,59.3,Argentina,Caucasian,80,Right,Good,Excellent,Medium/Medium,LM,73.68,69.52,80.31,85.58,75.76,76.46,76.98,84.78,78.73,74.6,84.02,72.3,89.47,13,7,15,9,5,14,15,14,15
72,72,Jony,27,178.6,76.0,Spain,Black,80,Left,Good,Good,High/Medium,LM,81.23,69.55,75.06,79.06,81.05,78.14,74.97,80.2,88.49,86.76,83.02,75.74,79.37,15,13,14,12,11,15,15,11,15
73,73,M. Lazzari,25,173.6,67.5,Italy,Caucasian,80,Right,Good,Good,High/High,RM,80.41,66.77,77.44,80.41,68.4,57.57,75.15,80.49,90.33,86.58,94.21,74.78,87.61,16,11,11,11,11,14,15,11,15
74,74,L. Bender,30,185.2,81.2,Germany,Caucasian,80,Right,Good,Average,Medium/High,RM,68.66,58.56,77.84,70.52,49.32,46.75,74.32,74.84,65.23,65.12,64.76,83.36,63.73,15,15,14,15,16,13,15,10,16
75,75,S. Kalou,33,185.2,78.7,Ivory Coast,Black,79,Right,Good,Excellent,Medium/Low,LM,67.18,82.9,78.92,87.25,78.27,62.5,77.02,85.71,66.4,64.73,77.19,83.04,76.21,12,13,13,6,6,16,15,17,17
76,76,Richarlison,22,180.5,70.8,Brazil,Caucasian,79,Right,Masterful,Excellent,High/Medium,RM,72.37,81.01,80.14,84.22,73.96,64.81,59.67,79.57,82.37,85.94,78.46,78.5,71.79,15,15,13,16,7,16,14,14,16
77,77,Munir,23,174.9,69.2,Spain,Caucasian,79,Left,Good,Excellent,High/Low,RW,72.77,78.46,80.14,80.89,81.14,67.04,62.2,82.45,85.25,84.06,84.02,76.61,81.77,14,13,15,11,5,15,15,13,16
78,78,M. Gradel,31,177.4,69.6,Ivory Coast,Black,79,Right,Excellent,Excellent,High/High,LW,71.38,79.51,74.27,81.82,66.67,73.37,66.91,81.6,83.97,83.75,83.35,78.09,69.66,14,11,15,11,10,15,15,14,16
79,79,,23,177.1,73.2,Kosovo,Black,79,Right,Excellent,Good,High/Medium,LW,72.7,77.58,74.02,84.27,74.29,68.17,67.33,79.8,93.44,86.84,90.21,77.98,76.54,14,11,15,13,7,15,13,13,14
80,80,L. Trossard,24,172.4,66.6,Belgium,Caucasian,79,Right,Excellent,Excellent,High/Medium,LW,74.92,80.4,75.77,82.48,81.18,69.42,78.6,80.09,90.92,76.08,91.84,69.83,86.19,14,12,17,9,3,15,15,15,16
81,81,Raphinha,22,175.9,68.0,Brazil,Caucasian,79,Left,Good,Excellent,,RW,76.04,69.74,75.06,82.99,80.55,72.03,66.93,79.61,89.72,88.77,86.9,79.58,78.92,16,12,14,14,11,15,15,14,15
82,82,Ricardo Horta,24,173.0,63.4,Portugal,Caucasian,79,Right,Good,Good,Medium/Medium,LW,78.22,76.44,76.98,79.55,78.28,70.0,68.9,80.56,77.96,88.77,83.51,81.54,85.24,16,7,14,12,11,16,15,14,13
83,83,F. Orellana,33,168.5,64.2,Chile,Caucasian,79,Right,Excellent,Excellent,High/Low,LM,78.37,78.09,78.61,84.27,80.17,79.03,77.02,79.5,76.25,67.93,77.64,79.09,72.54,11,6,16,10,6,15,15,15,13
84,84,F. Chiesa,21,175.5,69.6,Italy,Caucasian,79,Right,Excellent,Excellent,High/High,RW,72.43,70.46,75.83,84.18,73.54,47.71,59.53,81.29,85.82,84.3,85.67,77.57,76.59,15,12,15,12,6,15,14,12,15
85,85,Vinícius Jr.,18,176.3,72.6,Brazil,Caucasian,79,Right,Excellent,Masterful,High/Medium,RW,70.54,68.14,73.46,85.6,77.13,62.22,67.03,82.03,91.67,93.53,92.94,77.05,83.23,15,12,13,9,5,15,14,13,15
86,86,,21,176.5,68.5,Ukraine,Caucasian,79,Left,Excellent,Excellent,High/Medium,RM,76.18,74.85,79.8,79.83,68.58,72.97,68.71,80.5,82.11,83.83,80.03,78.29,72.53,14,9,14,11,7,15,16,14,15
87,87,A. Januzaj,24,185.7,76.2,Belgium,Caucasian,79,Left,Excellent,Excellent,Medium/Low,RW,81.67,79.05,72.21,85.37,80.04,64.85,73.58,81.59,79.08,73.8,77.64,76.04,69.36,12,11,15,8,7,15,14,12,14
88,88,C. Pulisic,20,176.5,69.0,United States,Caucasian,79,Right,Excellent,Excellent,Medium/Medium,LW,69.37,68.11,75.14,84.55,68.9,62.22,58.78,83.16,93.05,87.01,86.85,76.84,86.0,15,10,11,9,6,14,14,12,13
89,89,K. Toko-Ekambi,26,184.7,74.1,Cameroon,Black,79,Right,Excellent,Good,High/Medium,LM,74.41,80.74,68.85,77.94,66.03,63.02,58.09,79.05,78.89,79.23,74.97,76.33,70.69,13,15,14,9,5,16,13,13,15
90,90,J. Maddison,22,175.5,73.4,England,Caucasian,79,Right,Excellent,Excellent,,LW,81.2,68.55,82.81,77.64,78.7,81.67,77.0,81.88,75.51,73.55,84.35,69.42,78.18,14,9,14,11,9,15,16,14,15
91,91,D. da Costa,25,187.4,85.4,Germany,Caucasian,79,Right,Good,Good,High/High,RM,78.68,58.56,70.74,73.11,77.23,49.12,69.94,74.39,77.08,83.99,65.26,77.45,63.31,18,16,11,14,15,13,13,8,13
92,92,R. Babel,32,184.9,84.6,Netherlands,Caucasian,78,Right,Good,Excellent,Medium/Low,LM,72.29,77.06,73.0,81.87,76.57,49.67,65.52,79.83,80.06,84.69,77.47,73.44,73.06,15,15,16,11,6,15,15,14,15
93,93,Ayoze Pérez,25,178.4,72.0,,,78,Right,Excellent,Excellent,High/High,RW,55.91,79.86,74.52,82.47,79.14,60.5,50.75,79.75,77.18,76.01,82.26,82.49,78.44,16,10,13,14,9,16,14,14,14
94,94,B. Traoré,23,181.3,73.4,Burkina Faso,Black,78,Left,Poor,Excellent,High/Medium,RW,63.75,74.69,73.74,83.05,77.78,73.62,68.76,85.94,84.7,88.75,88.07,71.87,68.72,14,12,13,12,9,15,14,13,14
95,95,J. Bamba,23,175.4,71.9,France,Caucasian,78,Right,Good,Excellent,High/High,LM,66.08,75.96,69.62,80.02,75.22,64.23,65.16,82.04,89.54,88.02,82.17,75.06,79.7,14,11,14,12,6,15,14,14,14
96,96,Denis Suárez,25,176.2,68.8,Spain,Caucasian,78,Right,Good,Good,Medium/Medium,LM,77.1,58.56,81.38,83.22,78.7,70.21,77.87,82.99,76.99,76.15,82.0,82.2,75.67,13,11,14,9,12,15,16,12,14
97,97,,28,180.6,77.8,Peru,Caucasian,78,Right,Excellent,Excellent,Medium/Medium,RM,78.04,73.44,73.0,85.34,77.88,55.16,62.16,81.89,85.82,86.07,81.35,73.62,74.55,13,14,15,10,6,14,14,13,14
98,98,B. Verbi?,25,179.0,69.8,Slovenia,Caucasian,78,Right,Good,Excellent,High/Medium,LM,70.13,74.29,75.45,80.94,62.55,65.45,69.34,80.36,85.03,80.55,77.81,79.09,80.94,15,14,14,14,6,16,15,12,15
99,99,D. Berardi,24,182.8,71.7,Italy,Caucasian,78,Left,Good,Excellent,High/Low,RW,74.16,74.38,74.77,79.72,70.42,73.17,67.55,84.83,76.79,76.64,86.98,72.99,73.32,13,12,15,17,5,15,14,14,14
100,100,Gervinho,32,179.3,65.2,Ivory Coast,Black,78,Right,Good,Good,High/Low,LW,75.46,72.05,73.15,80.16,69.39,42.94,67.22,77.84,90.73,89.97,87.78,75.88,75.84,15,10,12,10,7,15,14,12,13
101,101,N. Amrabat,32,179.8,85.1,Morocco,Black,78,Right,Average,Excellent,High/Medium,RM,78.59,72.9,77.9,79.64,77.3,67.62,67.41,78.2,80.75,77.16,86.49,73.66,78.11,14,15,14,14,10,14,15,15,14
102,102,V. Fischer,25,183.9,79.7,Denmark,Caucasian,78,Right,Excellent,Excellent,High/Medium,LM,70.03,71.07,74.72,80.02,72.09,64.86,67.55,81.29,80.75,82.94,82.3,71.53,76.69,16,13,13,13,6,15,15,12,15
103,103,A. Townsend,27,178.1,72.9,England,Caucasian,78,Left,Excellent,Excellent,High/High,RM,77.51,72.74,76.87,81.46,80.47,78.42,66.68,80.44,78.87,77.88,78.36,75.87,76.61,17,12,16,15,7,14,15,15,14
104,104,C. Ünder,21,173.4,66.0,Turkey,Middle-eastern,78,Left,Excellent,Good,Medium/Medium,RM,83.32,70.72,71.92,82.8,79.54,67.87,65.18,82.29,84.84,78.67,83.8,70.73,81.63,13,10,16,5,5,14,14,12,13
105,105,Bruma,24,173.4,70.2,Portugal,Middle-eastern,78,Right,Excellent,Excellent,High/Medium,LW,71.82,71.33,75.46,85.26,77.03,69.68,60.2,82.23,93.41,87.07,91.91,68.42,87.12,15,10,14,12,7,14,14,13,14
106,106,M. Sulejmani,30,178.8,73.0,Serbia,Caucasian,78,,Good,Excellent,Medium/Medium,LM,79.25,74.92,75.49,80.1,82.14,83.74,68.04,79.92,81.38,85.36,83.82,74.63,76.61,12,11,15,6,5,14,14,14,14
107,107,J. Ikoné,21,175.2,72.9,France,Caucasian,78,Left,Excellent,Excellent,High/Medium,RM,67.56,69.74,73.3,85.26,78.08,72.13,65.09,79.62,90.25,89.33,92.06,78.01,78.6,14,10,13,13,5,15,15,13,15
108,108,Daniel Podence,23,163.0,65.3,Portugal,Caucasian,78,Right,Excellent,Excellent,High/Medium,LM,62.81,68.82,73.67,84.15,69.39,42.12,65.76,81.49,93.72,91.61,92.49,76.71,93.71,15,6,11,13,4,15,15,12,15
109,109,V. Moses,28,176.6,77.4,Nigeria,Black,78,Right,Excellent,Excellent,Medium/Medium,RM,75.99,67.04,75.53,81.54,75.12,61.1,70.43,81.22,78.1,82.94,74.88,75.81,82.43,16,13,13,12,14,14,14,15,15
