,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle
67,67,Aarón Martín,22,178.3,67.6,Spain,Black,78,Left,Good,Good,,LB,85.29,35.86,76.73,74.91,67.37,76.91,75.7,69.23,76.43,77.19,72.1,16,12,15,12,12,8,76.67,78.1,77.08
68,68,Hugo Mallo,28,172.8,69.2,Spain,Caucasian,78,Right,Good,Good,,RB,78.23,28.45,71.0,69.04,67.59,78.45,67.24,68.54,73.98,79.68,65.09,16,13,15,9,12,4,69.01,81.37,81.55
69,69,Y. Atal,23,175.5,69.8,Algeria,Middle-eastern,77,,Masterful,Excellent,High/High,RB,76.9,72.07,75.23,84.23,72.88,78.74,90.31,86.73,81.07,78.91,81.91,15,13,14,15,14,11,67.92,74.28,73.95
70,70,Renan Lodi,21,172.7,67.8,Brazil,Caucasian,77,Left,Good,Excellent,High/Medium,LB,79.52,63.73,75.3,77.6,74.7,78.74,85.9,82.64,81.72,77.64,81.91,16,13,14,13,14,10,69.97,74.22,73.09
71,71,F. Bustos,23,167.3,65.6,Argentina,Caucasian,77,Right,Good,Excellent,High/Low,RB,77.63,63.16,75.8,79.14,69.25,79.38,85.9,86.82,78.22,74.99,77.0,17,13,13,14,14,8,66.57,76.4,74.75
72,72,M. Layún,31,177.8,71.2,Mexico,Caucasian,77,Right,Masterful,Good,High/High,RB,79.93,66.8,76.25,74.76,73.62,76.4,74.58,76.44,69.3,73.7,76.86,14,13,15,14,14,14,69.97,74.97,74.17
73,73,M. Casco,31,170.2,69.3,Argentina,Caucasian,77,Right,Excellent,Good,High/Medium,LB,77.32,62.72,73.77,75.74,66.7,73.88,82.71,87.86,84.69,75.07,82.61,18,14,14,14,13,11,69.09,72.27,73.84
74,74,N. Mazraoui,21,183.2,61.9,Morocco,Black,77,Right,Good,Good,High/Low,RB,69.7,60.79,81.31,83.49,73.24,78.74,79.49,82.69,87.39,76.95,55.09,16,12,15,14,14,7,69.2,73.33,72.74
75,75,,27,180.0,72.4,FYR Macedonia,,77,Right,Good,Good,Medium/Medium,RB,75.19,56.53,72.13,72.3,68.07,76.15,90.01,88.49,73.75,74.0,75.8,17,14,14,13,13,9,75.52,74.82,73.28
76,76,S. Lainer,26,175.2,72.5,Austria,Caucasian,77,Right,Excellent,Good,High/High,RB,73.62,59.18,72.29,71.67,69.8,70.81,84.63,85.4,76.5,74.66,74.94,18,13,13,13,12,9,64.76,74.67,74.75
77,77,J. Mæhle,22,184.2,80.2,Denmark,Caucasian,77,Right,Good,Good,High/High,RB,73.14,49.7,72.51,76.23,68.18,74.23,89.34,91.7,67.11,71.58,71.16,19,15,13,14,13,6,70.0,77.36,71.59
78,78,Emerson,24,174.9,77.5,,,77,Left,Good,Good,High/Medium,LB,78.44,42.96,74.77,78.41,65.99,80.32,80.78,78.31,75.22,76.54,73.06,14,10,15,14,10,11,76.2,73.61,72.98
79,79,M. Plattenhardt,27,180.5,78.3,Germany,Caucasian,77,Left,Average,Good,Medium/Medium,LB,86.94,66.8,78.45,74.57,69.34,76.55,68.88,73.37,67.99,76.51,73.13,15,14,14,13,13,12,76.37,77.71,77.02
80,80,Gazzolisco,31,185.6,72.6,Brazil,Black,77,Left,Masterful,Good,High/High,LB,76.47,54.37,76.68,71.07,67.0,71.77,80.73,81.76,67.4,72.21,65.54,17,16,13,11,11,15,74.02,76.8,74.85
81,81,Reguilón,22,178.3,67.7,Spain,Caucasian,77,Left,Good,Average,High/Medium,LB,74.59,42.65,72.29,73.02,65.26,73.81,94.65,96.64,92.31,88.89,86.65,15,13,15,13,13,8,76.85,75.11,73.28
82,82,G. Clichy,33,176.4,65.3,France,Caucasian,77,Left,Excellent,Excellent,Medium/Medium,LB,73.73,34.08,78.16,75.15,73.27,75.21,76.47,80.0,76.2,72.16,73.05,16,13,15,13,11,9,74.0,77.42,75.42
83,83,Nacho,30,174.5,75.7,Spain,Caucasian,77,Left,Good,Good,High/Medium,LB,74.69,42.55,63.56,65.32,67.27,71.64,84.07,83.75,81.71,88.89,78.92,16,12,15,11,11,8,75.26,78.43,74.6
84,84,M. De Sciglio,26,182.1,78.5,Italy,Caucasian,77,Right,Excellent,Good,Medium/Medium,RB,77.91,33.06,74.22,74.26,68.4,75.13,73.31,76.07,79.13,71.59,77.09,16,13,15,12,12,9,78.97,77.73,78.17
85,85,S. Zuber,27,182.4,78.7,Switzerland,Caucasian,76,Right,Excellent,Good,High/Medium,LWB,73.69,71.52,73.6,78.32,68.62,76.89,76.24,79.27,74.17,74.91,67.13,15,15,15,15,14,12,68.82,73.04,68.47
86,86,Léo Matos,33,183.3,80.5,Brazil,Caucasian,76,Right,Good,Excellent,High/Medium,RB,77.24,69.57,73.49,75.93,71.35,75.41,83.6,83.84,76.19,72.1,74.73,16,15,14,15,13,12,69.8,75.22,73.82
87,87,Pedraza,23,184.4,73.0,Spain,Caucasian,76,Left,Average,Good,High/Medium,LB,78.44,72.06,73.07,78.3,69.83,77.25,81.17,84.14,72.24,70.83,62.53,15,14,13,13,13,12,71.7,67.16,68.56
88,88,P. van Aanholt,28,176.0,66.8,Netherlands,Caucasian,76,Left,Excellent,Good,High/Low,LB,67.6,66.09,73.06,76.43,74.46,76.77,85.74,87.22,77.75,71.53,76.25,16,12,13,14,13,9,72.48,74.61,76.34
89,89,Andeson Trigo,31,175.4,68.3,Brazil,Caucasian,76,Left,Good,Good,High/Medium,LB,75.03,60.2,75.28,75.81,71.69,72.7,88.05,82.34,87.36,76.71,83.0,16,13,12,14,14,13,75.75,73.68,76.77
90,90,,28,170.9,66.2,Mexico,Caucasian,76,Right,Excellent,Excellent,High/Medium,RWB,73.38,64.99,72.29,80.24,66.72,79.78,86.82,90.35,90.26,67.96,78.17,15,13,8,13,13,12,40.36,49.72,41.97
91,91,S. Widmer,26,182.7,78.6,Switzerland,Caucasian,76,Right,Good,Good,Medium/Medium,RB,78.85,58.49,76.44,76.61,71.86,76.34,76.9,81.93,74.67,73.54,64.89,17,15,14,13,13,11,72.55,73.12,71.9
92,92,Alberto Moreno,26,171.3,64.7,Spain,Caucasian,76,Left,Average,Good,High/Low,LB,78.47,59.0,73.8,75.9,63.77,79.47,83.83,86.06,82.81,71.84,87.37,15,12,14,13,11,10,67.09,72.62,76.22
93,93,Diogo Viana,29,173.6,69.5,Portugal,Caucasian,76,Right,Good,Excellent,,RB,77.02,58.1,75.0,77.53,67.42,76.5,83.66,83.6,81.32,76.71,79.13,15,11,13,13,13,13,73.08,74.25,74.57
94,94,Toño García,29,178.8,68.6,Spain,Middle-eastern,76,Left,Good,Good,High/Medium,LB,80.06,62.2,77.49,74.72,67.42,76.12,83.42,84.4,76.7,74.48,80.98,15,13,14,15,13,12,71.06,73.74,75.25
95,95,O. Wendt,33,181.4,81.9,Sweden,Caucasian,76,Left,Good,Good,,LB,78.29,56.17,75.51,73.08,70.14,75.58,72.49,67.97,68.33,78.08,69.24,15,13,15,14,14,13,71.74,76.88,72.82
96,96,R. Rosales,30,173.5,70.1,Venezuela,Black,76,Right,Good,Good,High/Medium,RWB,76.54,59.13,73.42,71.58,66.69,74.61,72.16,69.81,75.8,80.03,76.67,13,13,15,13,13,9,77.03,75.83,76.51
97,97,Kiko Femenía,28,173.7,61.4,Spain,Caucasian,76,Right,Good,Good,,RB,78.26,55.01,77.15,79.71,55.99,77.74,76.11,75.31,78.94,70.49,81.63,15,12,14,13,13,12,72.23,77.68,77.18
98,98,Júnior Caiçara,30,173.1,70.4,Brazil,Caucasian,76,Right,Excellent,Good,High/Medium,RB,74.17,43.41,78.86,76.28,68.73,73.07,84.47,76.85,76.2,74.18,88.25,16,10,14,14,13,15,71.54,76.68,75.0
99,99,A. Smith,28,180.3,78.3,England,Black,76,Right,Good,Good,High/Medium,RB,74.66,52.11,73.67,75.39,64.28,74.67,68.76,72.58,71.9,80.03,69.39,14,13,15,13,13,11,75.83,76.95,76.49
100,100,D. Yedlin,25,171.6,75.2,United States,Caucasian,76,Right,Good,Good,High/Medium,RWB,69.46,39.6,69.86,74.6,53.38,73.14,83.66,92.23,85.4,75.03,77.1,17,11,13,13,13,7,72.31,75.04,72.09
101,101,L. Augustinsson,25,181.2,72.0,Sweden,Caucasian,76,Left,Average,Good,High/Medium,LB,78.86,55.05,74.19,73.13,75.39,74.99,76.05,76.25,75.07,72.07,72.22,17,13,14,13,14,12,70.71,75.08,76.35
102,102,J. Bo?il,28,174.8,74.6,Czech Republic,Caucasian,76,Right,Excellent,Good,High/High,LB,76.61,59.99,69.74,71.14,68.73,73.99,75.6,78.77,74.31,71.72,78.01,17,15,14,13,13,10,76.26,73.65,71.52
103,103,V. Coufal,26,179.4,75.0,Czech Republic,Caucasian,76,Right,Average,Good,High/High,RB,80.04,58.81,70.04,71.22,69.93,73.19,75.74,78.38,73.68,72.43,78.09,17,15,14,12,13,9,72.28,73.93,71.89
104,104,Montoya,28,174.7,72.6,,,76,Right,Excellent,Good,High/Medium,RWB,77.14,49.71,73.06,70.39,68.73,73.9,77.41,77.04,75.99,73.43,79.49,15,13,15,12,12,10,71.86,72.64,76.83
105,105,A. Cresswell,29,175.0,65.9,England,Caucasian,76,,Good,Good,High/Medium,LB,79.17,53.19,75.44,76.03,69.32,78.74,74.31,69.34,73.28,73.34,72.22,14,12,15,12,13,11,71.67,78.24,79.28
106,106,Victildinho,35,177.6,74.6,Brazil,Black,76,Right,Good,Good,Medium/Medium,RB,72.36,59.99,73.35,71.29,70.99,77.37,80.92,81.97,71.57,73.84,76.92,15,12,14,12,14,12,80.09,73.8,73.01
107,107,H. Kald?r?m,29,178.3,74.7,Turkey,Middle-eastern,76,Left,Average,Good,Medium/High,LB,76.33,41.62,72.85,69.9,70.24,71.68,73.38,74.13,66.68,73.79,71.42,16,13,15,13,11,8,77.11,75.41,73.95
108,108,M. Çelik,22,180.3,77.9,Turkey,Middle-eastern,76,Right,Good,Good,High/Medium,RB,74.35,36.64,73.07,68.99,66.73,74.62,80.12,81.68,66.76,70.89,66.93,16,14,15,14,13,9,73.77,73.6,72.68
109,109,Miguel Lopes,32,182.1,82.7,,,76,Right,Excellent,Good,High/Medium,RB,76.51,39.55,70.44,71.61,65.12,71.63,77.04,77.45,68.25,69.34,66.91,17,15,15,13,12,10,75.11,74.05,72.68
110,110,Sequeira,28,183.7,79.4,Portugal,Caucasian,76,,Good,Good,Medium/Medium,LB,73.73,48.6,69.65,69.3,73.91,73.43,67.4,72.0,64.62,74.98,71.42,16,14,15,11,8,12,74.19,75.78,74.15
111,111,Alexo Baia,31,174.9,71.5,Brazil,Caucasian,76,Right,Good,Good,High/Medium,RB,71.9,51.02,77.15,77.24,74.14,71.15,77.41,76.74,81.39,75.22,72.14,16,12,14,11,11,13,77.35,76.41,76.65
112,112,M. Sarr,20,181.7,73.1,France,Caucasian,76,Left,Excellent,Average,Low/High,LB,68.28,48.91,73.6,62.37,68.94,66.84,71.32,69.72,74.07,73.18,69.77,14,15,15,11,12,8,74.0,78.2,75.12
