,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,attacking_short_passing,skill_long_passing,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
51,51,B. Höwedes,31,187.8,77.0,Germany,Caucasian,81,Right,Good,Average,Medium/Medium,RCB,84.35,69.7,65.75,51.78,51.94,59.64,77.77,61.31,15,12,15,15,16,10,11,16,81.61,82.97,80.99
52,52,L. Koscielny,33,186.4,75.4,France,Caucasian,81,Right,Good,Average,Low/High,CB,74.73,75.94,70.1,58.05,61.45,57.84,77.48,61.46,15,12,15,17,16,8,11,15,83.02,83.25,82.74
53,53,José Fonte,35,187.4,80.8,Portugal,Caucasian,81,,Good,Average,Medium/High,RCB,81.8,67.7,57.55,34.34,38.31,57.73,73.02,61.31,14,12,16,16,16,8,11,14,81.1,83.39,80.36
54,54,W. Orban,26,186.3,83.1,Hungary,Caucasian,81,Right,Good,Average,Medium/High,LCB,86.07,68.94,56.58,51.36,52.98,47.78,77.77,56.44,18,13,17,16,15,7,8,14,79.49,85.17,79.87
55,55,A. Izzo,27,183.0,78.1,Italy,Caucasian,81,Right,Excellent,Average,Medium/Medium,RCB,80.64,64.0,63.94,69.19,67.36,63.63,79.9,65.61,15,13,15,16,16,3,6,15,82.65,83.92,81.6
56,56,K. Vogt,27,194.0,85.5,Germany,Caucasian,80,Right,Good,Average,High/Medium,CB,79.24,79.39,82.59,65.88,79.47,58.5,77.59,46.32,10,14,17,16,16,11,13,15,80.55,80.29,77.63
57,57,J. Guilavogui,28,187.6,76.8,France,Caucasian,80,Right,Good,Average,Medium/High,CB,82.81,77.57,75.19,63.84,55.2,53.08,79.36,50.5,15,15,16,16,16,12,13,15,82.5,81.85,81.98
58,58,N. Aké,24,180.0,75.0,Netherlands,Caucasian,80,Left,Good,Average,Medium/High,LCB,74.73,77.47,73.29,74.8,74.77,73.19,78.58,68.72,17,15,15,14,16,10,13,15,82.05,81.61,81.26
59,59,M. Hasebe,35,179.6,71.6,Japan,Asian,80,Right,Good,Good,Medium/Medium,CB,67.0,79.69,77.08,51.78,54.46,69.16,75.56,71.92,14,13,13,15,15,12,15,17,86.18,82.64,80.16
60,60,Sidnei,29,185.1,80.1,Brazil,Caucasian,80,Right,Average,Average,High/Medium,LCB,75.83,71.84,67.22,58.9,70.4,45.61,74.81,37.76,15,13,18,15,16,10,10,14,75.45,80.15,77.37
61,61,L. Perrin,33,180.6,79.8,France,Black,80,Right,Good,Average,Medium/High,LCB,81.37,74.24,77.44,51.84,51.68,61.96,75.56,71.24,16,14,15,15,16,11,12,16,77.48,84.01,81.56
62,62,M. Hinteregger,26,183.7,83.0,Austria,Caucasian,80,Left,Good,Average,High/Medium,LCB,80.3,63.35,80.53,62.6,71.72,55.39,72.98,62.05,17,14,16,16,15,12,13,14,80.34,84.24,81.2
63,63,S. Sané,28,196.1,84.8,Senegal,Black,80,Right,Good,Average,Medium/High,RCB,88.54,72.99,73.27,58.9,65.21,54.65,77.97,35.57,9,13,18,16,15,9,12,14,74.87,84.64,76.63
64,64,M. Musacchio,28,180.3,72.7,Argentina,Caucasian,80,Right,Good,Good,,RCB,75.76,69.49,66.94,68.06,64.71,71.78,75.97,67.69,16,13,14,15,16,10,12,15,84.23,83.83,79.9
65,65,Iñigo Martínez,28,182.5,77.3,Spain,Caucasian,80,Left,Good,Average,Medium/Medium,LCB,72.42,73.5,69.11,68.83,70.63,67.1,75.2,62.99,17,13,15,17,16,9,10,13,78.53,81.18,83.61
66,66,S. Bender,30,186.4,80.9,Germany,Caucasian,80,Right,Excellent,Average,Medium/High,CB,77.8,76.22,69.11,62.83,67.5,62.92,78.2,61.03,15,15,15,16,16,9,13,16,83.02,83.4,81.15
67,67,Sergi Gómez,27,184.9,79.9,Spain,Caucasian,80,Right,Average,Average,Medium/Medium,LCB,77.46,79.61,77.19,65.01,70.49,56.89,77.58,51.78,17,13,15,14,16,10,11,13,80.49,82.42,78.52
68,68,J. Gomez,22,184.9,76.5,England,Caucasian,80,Right,Good,Good,Medium/Medium,RCB,71.38,73.58,61.92,75.53,84.97,64.48,79.46,65.77,13,14,15,14,16,10,11,14,78.72,82.24,77.98
69,69,K. Zouma,24,189.9,95.7,France,Caucasian,80,Right,Good,Average,Medium/Medium,LCB,79.01,73.46,63.91,58.02,69.12,51.03,74.61,51.99,18,12,18,16,15,9,12,13,76.13,81.39,82.15
70,70,A. Christensen,23,186.9,80.8,Denmark,Caucasian,80,Right,Good,Average,Low/Medium,RCB,80.46,77.09,71.33,65.37,70.49,60.55,78.16,60.84,14,13,14,14,16,6,12,15,80.41,84.24,82.15
71,71,D. Vida,30,183.8,76.2,Croatia,Caucasian,80,Right,Good,Average,Medium/High,RCB,74.73,66.45,60.27,68.02,79.88,64.14,74.73,63.33,15,15,15,16,16,8,10,15,78.72,79.15,82.95
72,72,Yeray,24,182.5,78.1,Spain,Black,80,,Good,Average,Medium/Medium,RCB,75.18,73.51,66.39,61.18,62.6,52.64,75.92,51.99,15,13,15,16,16,7,6,15,80.42,79.94,85.04
73,73,Rúben Dias,22,185.7,82.2,Portugal,Caucasian,80,Right,Excellent,Average,Medium/High,RCB,82.21,71.34,57.56,63.17,63.81,48.19,76.39,56.42,15,17,15,18,15,7,6,15,83.52,82.95,76.75
74,74,M. Nastasi?,26,188.4,83.3,Serbia,Caucasian,80,Left,Average,Average,Low/High,LCB,76.9,73.19,67.72,65.37,75.49,63.56,79.52,58.99,16,12,15,15,15,6,11,16,82.55,83.46,83.58
75,75,F. Fazio,32,195.2,84.6,Argentina,Caucasian,80,Right,Average,Average,Medium/Medium,RCB,90.29,64.18,59.93,33.18,32.54,29.55,75.7,31.52,8,13,17,16,16,6,9,16,80.6,82.87,76.82
76,76,,31,189.6,80.0,Poland,Caucasian,80,Right,Average,Average,Low/Medium,RCB,81.64,62.96,58.54,42.11,46.82,32.66,76.74,51.13,16,12,18,17,15,4,4,15,78.87,79.46,77.46
77,77,D. Criscito,32,182.6,75.3,Italy,Caucasian,79,Left,Good,Good,High/Medium,LCB,68.76,78.38,78.78,64.15,73.82,67.39,74.75,65.0,15,16,14,15,15,13,14,15,82.25,79.7,80.5
78,78,F. Schär,27,188.3,83.7,Switzerland,Caucasian,79,,Excellent,Average,High/High,RCB,80.73,74.23,74.89,60.72,62.18,64.07,78.68,67.73,17,14,15,14,16,11,13,16,80.13,80.99,76.05
79,79,N. Stark,24,190.2,87.8,Germany,Caucasian,79,Right,Good,Average,,RCB,82.12,76.05,66.66,76.46,79.11,64.67,74.45,64.21,13,14,15,14,15,10,14,13,79.23,82.35,76.61
80,80,N. Moisander,33,182.9,76.2,Finland,Black,79,Left,Masterful,Good,High/Medium,LCB,76.55,78.11,74.89,52.61,47.64,63.77,79.47,64.11,15,12,15,14,16,12,14,15,83.29,79.43,74.7
81,81,J. Veltman,27,181.8,74.7,Netherlands,Caucasian,79,Right,Excellent,Average,Medium/Medium,RCB,76.06,73.9,72.83,64.15,67.73,66.9,76.97,67.73,15,16,15,16,15,11,11,15,78.03,82.25,77.88
82,82,J. Denayer,24,183.6,80.3,,,79,Right,Good,Average,Medium/High,LCB,74.73,73.47,68.32,74.21,74.99,68.43,78.68,61.82,15,15,15,15,15,7,12,15,76.65,79.82,81.14
83,83,J. Tarkowski,26,191.6,80.9,England,Caucasian,79,Right,Excellent,Average,Medium/Medium,RCB,80.34,72.11,72.07,55.22,61.38,57.46,74.61,53.41,16,13,16,15,15,8,13,15,79.31,80.06,78.86
84,84,Dante,35,188.0,85.3,Brazil,Caucasian,79,Left,Excellent,Average,Medium/High,LCB,71.1,73.63,75.6,33.65,37.04,52.09,75.84,60.85,12,13,16,14,15,8,12,15,83.29,82.19,80.38
85,85,O. Toprak,29,186.1,83.3,Turkey,Middle-eastern,79,,Excellent,Average,Medium/Medium,RCB,78.91,74.42,69.32,67.43,74.85,63.98,78.78,61.82,16,13,15,14,15,7,11,15,81.45,82.13,80.66
86,86,J. Brooks,26,193.4,78.3,United States,Middle-eastern,79,Left,Good,Average,Medium/High,LCB,82.02,72.75,74.85,65.77,75.34,57.52,73.35,50.7,14,12,16,15,15,8,11,16,78.61,82.31,75.88
87,87,J. Murillo,27,181.8,78.2,Colombia,Black,79,Right,Good,Average,Medium/High,RCB,74.57,66.93,65.97,74.21,76.33,76.0,73.04,71.56,17,14,16,17,16,9,11,15,76.87,80.28,81.21
88,88,Marcano,32,188.9,77.3,Spain,Black,79,Left,Good,Average,Medium/Medium,LCB,81.66,73.9,63.45,64.48,64.73,57.02,76.18,56.33,18,13,15,16,15,6,9,14,78.69,79.53,77.79
89,89,,30,190.6,89.5,Brazil,Black,79,Right,Good,Average,Medium/High,RCB,83.06,66.77,74.58,49.6,55.47,32.94,66.35,42.44,14,14,18,17,15,8,10,14,74.75,82.07,75.65
90,90,W. Boly,28,195.0,97.3,France,Caucasian,79,Right,Excellent,Average,Medium/Medium,LCB,78.31,76.14,68.91,57.04,68.86,75.84,70.57,47.4,13,13,18,15,15,8,11,16,72.57,80.06,78.19
91,91,G. Pezzella,28,186.0,81.3,Argentina,Caucasian,79,Right,Good,Average,Medium/Medium,LCB,81.68,63.85,55.96,57.28,54.62,34.26,77.02,47.73,16,12,16,16,16,9,4,14,78.44,81.54,77.91
92,92,Víctor Ruiz,30,185.3,77.8,Spain,Caucasian,79,Left,Average,Average,,LCB,77.19,70.69,69.8,49.75,53.34,51.74,74.86,55.27,15,13,15,16,15,7,11,13,80.09,80.1,82.16
93,93,I. Konaté,20,191.6,93.4,France,Caucasian,79,Right,Average,Good,High/High,CB,76.73,74.96,74.85,71.1,84.41,65.36,71.03,55.17,14,13,16,15,15,6,8,14,75.78,85.13,79.04
94,94,L. Sigali,32,181.3,72.1,Argentina,Caucasian,79,Right,Good,Average,High/High,LCB,79.48,54.57,49.01,69.11,67.52,59.35,75.37,61.12,18,10,16,16,16,9,6,12,81.01,81.43,79.23
95,95,N. Pallois,31,188.8,89.4,France,Caucasian,79,Left,Average,Average,Medium/High,LCB,74.71,68.82,68.13,44.5,37.32,54.03,68.72,34.2,15,13,18,18,15,4,10,14,78.56,80.62,77.23
96,96,Antônio Chiamuloira,31,185.1,79.4,Brazil,Caucasian,79,Left,Good,Average,Medium/Medium,RCB,75.98,67.66,72.42,66.97,72.33,49.05,79.22,49.27,17,12,16,17,15,4,9,14,80.73,78.22,81.08
97,97,Laguardia,29,184.5,79.8,Spain,Caucasian,79,Right,Good,Average,Medium/High,RCB,74.38,69.56,61.77,47.35,58.32,43.71,76.38,56.6,15,14,15,17,16,8,9,14,82.27,80.12,76.46
98,98,J. Evans,31,188.1,77.4,Northern Ireland,Caucasian,79,Right,Excellent,Average,Medium/High,RCB,78.01,71.67,64.03,57.26,55.2,46.06,79.31,56.72,15,12,15,15,16,5,11,14,77.81,82.57,79.47
99,99,F. Balbuena,27,187.7,84.6,Paraguay,Caucasian,79,Right,Good,Average,Medium/Medium,RCB,68.53,70.73,56.39,53.13,58.71,39.08,77.32,42.4,14,13,17,16,16,5,9,14,77.81,80.83,75.35
100,100,L. Cabrera,27,187.2,80.4,Uruguay,Black,79,,Good,Average,Low/Medium,LCB,79.35,64.36,62.75,55.66,59.32,63.65,67.6,65.83,18,14,16,16,15,6,9,12,77.82,78.96,81.74
101,101,N. Domínguez,29,184.2,81.3,Argentina,Caucasian,78,Right,Good,Good,Medium/Medium,RCB,68.21,76.84,80.2,58.23,55.69,59.96,73.29,59.93,14,16,15,13,15,11,16,14,76.57,77.33,78.44
102,102,J. Gouweleeuw,27,188.0,78.4,Netherlands,Caucasian,78,Right,Good,Average,High/Medium,RCB,72.31,67.64,79.83,67.51,69.51,65.51,77.83,63.96,13,13,15,15,16,12,14,14,80.36,81.79,75.59
103,103,Calero,23,183.4,71.0,Spain,Black,78,Right,Excellent,Good,High/Medium,LCB,71.1,76.43,76.18,69.9,73.34,73.94,78.11,67.83,17,15,15,14,15,10,13,15,80.36,79.64,76.34
104,104,M. Ngadeu,28,189.8,92.7,Cameroon,Black,78,Right,Masterful,Average,Medium/High,LCB,73.16,68.91,67.03,65.64,68.77,67.5,72.69,67.16,14,14,18,15,15,11,12,15,75.62,80.26,77.09
105,105,G. Dzhikiya,25,188.4,85.8,Russia,Caucasian,78,Left,Good,Average,High/High,LCB,64.28,65.48,67.35,89.63,75.13,55.39,72.26,65.3,14,14,17,16,15,13,10,14,81.87,76.58,84.76
106,106,T. Vermaelen,33,183.3,79.9,Belgium,Caucasian,78,Left,Good,Average,Medium/Medium,LCB,82.18,80.26,67.9,64.04,64.03,60.62,70.41,57.65,17,7,15,15,15,8,11,14,74.32,79.46,79.62
107,107,Rúben Vezo,25,182.7,79.7,Portugal,Caucasian,78,Right,Average,Average,Medium/Medium,RCB,74.18,69.46,68.49,74.25,75.75,67.73,72.69,70.3,16,13,15,15,15,9,11,14,77.67,81.34,79.82
108,108,S. Deli,27,191.6,85.6,,,78,Left,Good,Average,Medium/High,LCB,77.67,65.42,62.86,73.77,78.35,70.18,74.22,63.74,14,14,16,15,15,7,8,16,77.54,78.71,77.89
109,109,C. Hérelle,26,188.3,75.4,France,Caucasian,78,Right,Good,Average,Medium/Medium,RCB,80.22,77.49,67.9,61.46,66.77,61.92,74.04,61.68,16,15,14,14,15,9,9,14,77.08,79.5,78.34
110,110,Ferro,22,192.4,78.2,Portugal,Black,78,,Average,Average,Medium/Medium,LCB,76.58,73.84,72.86,44.12,63.24,40.81,76.76,56.6,13,15,14,16,15,10,9,15,81.32,81.93,73.8
111,111,Hilton,41,179.9,77.6,Brazil,Caucasian,78,Right,Excellent,Good,Low/Medium,CB,79.35,73.64,73.01,35.33,35.67,54.05,70.35,59.54,15,10,15,15,16,10,13,15,82.76,77.08,76.08
112,112,Y. Mina,24,195.1,94.1,Colombia,Black,78,Right,Good,Average,Medium/Medium,LCB,86.18,69.72,51.55,44.82,55.66,50.05,72.1,32.06,14,13,17,16,15,9,10,15,75.75,78.6,75.15
113,113,,28,184.9,74.7,Brazil,Caucasian,78,Right,Average,Average,High/Medium,CB,76.39,65.66,67.95,62.7,63.84,62.4,77.61,65.83,15,11,13,15,16,8,10,15,77.11,81.97,80.25
114,114,K. Rekik,24,186.2,84.4,Netherlands,Caucasian,78,Left,Average,Average,Medium/High,LCB,76.95,71.7,68.59,65.22,68.15,64.26,73.85,64.19,15,13,15,17,14,8,11,14,77.01,81.97,83.59
115,115,A. Granqvist,34,192.3,84.4,Sweden,Caucasian,78,Right,Good,Average,Medium/High,LCB,80.88,69.58,67.17,38.09,37.32,55.1,72.65,35.52,11,11,17,16,16,10,9,15,81.05,80.36,77.34
116,116,D. Abraham,32,187.8,83.5,Argentina,Caucasian,78,Right,Average,Average,,RCB,78.99,73.46,74.85,71.55,77.89,59.44,75.78,55.42,16,13,16,15,15,6,9,15,77.67,80.89,72.3
117,117,B. Mee,29,182.6,82.0,England,Middle-eastern,78,Left,Good,Average,Medium/High,LCB,77.82,61.19,63.01,60.44,60.64,63.38,75.12,66.52,18,14,16,16,15,8,12,14,78.17,79.2,77.69
118,118,Bastos,27,180.5,77.0,Angola,Black,78,Right,Good,Average,Medium/High,LCB,73.86,70.28,65.25,79.02,75.75,61.98,72.27,76.09,14,12,16,15,15,6,5,13,79.96,80.15,77.46
119,119,Bruno Viana,24,183.6,78.7,Brazil,Black,78,Right,Good,Average,Medium/High,RCB,80.39,72.91,62.65,64.53,65.84,52.8,76.01,57.51,14,15,14,15,15,6,8,13,82.0,79.08,73.98
120,120,L. Dunk,27,191.6,88.0,England,Caucasian,78,Right,Good,Average,Medium/High,CB,75.56,74.02,73.75,42.07,50.28,44.5,79.36,36.8,14,12,16,16,15,6,9,14,79.36,76.32,72.68
