,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
24,24,Canales,28,175.9,64.7,Spain,Caucasian,84,Left,Good,Excellent,High/Medium,RCM,84.35,82.19,82.42,82.68,76.6,77.83,80.63,81.25,69.56,15,7,15,13,16,11,10,16,17,16,59.94,52.13,43.42
25,25,Luis Alberto,26,182.7,73.8,Spain,Caucasian,84,Right,Good,Excellent,,CM,87.9,85.71,87.05,87.86,74.6,68.24,80.6,79.64,74.01,15,10,14,13,15,5,8,16,17,14,48.4,56.43,40.55
26,26,A. Vidal,32,180.2,78.2,Chile,Caucasian,84,Right,Excellent,Good,High/High,CDM,82.0,76.16,81.19,82.66,68.14,67.37,72.94,86.26,74.97,16,17,17,16,16,18,17,16,16,16,82.47,87.23,87.89
27,27,G. Wijnaldum,28,174.6,69.3,Netherlands,Black,84,Right,Good,Excellent,High/High,LCM,84.99,84.81,79.39,84.69,79.46,75.92,80.83,82.94,84.38,15,15,18,14,14,14,15,15,15,17,75.91,78.37,68.91
28,28,Arthur,22,171.3,72.8,Brazil,Black,84,,Good,Excellent,Medium/Medium,CM,88.45,86.05,81.89,87.74,70.86,67.35,79.1,82.57,84.38,14,13,14,13,14,15,15,15,17,16,75.59,75.71,69.94
29,29,João Moutinho,32,169.6,60.8,Portugal,Caucasian,84,Right,Excellent,Good,High/High,LCM,87.25,86.05,84.98,84.65,59.77,53.2,75.04,75.8,84.56,15,14,15,12,15,14,14,14,17,17,70.53,71.62,67.41
30,30,Lucas Leiva,32,178.7,78.2,Brazil,Caucasian,84,Right,Good,Good,Medium/High,LDM,81.83,76.77,81.25,78.96,63.74,61.37,76.77,81.53,80.15,15,16,16,12,13,16,17,13,16,17,81.78,83.63,80.72
31,31,Fabián,23,188.7,70.0,Spain,Caucasian,83,Left,Excellent,Excellent,Medium/Medium,LCM,80.75,85.24,80.68,84.96,70.77,63.24,71.8,83.09,66.29,15,9,14,13,16,13,15,16,16,15,70.43,77.76,75.28
32,32,Oscar,27,180.7,70.6,Brazil,Black,83,Right,Good,Excellent,,RCM,85.51,77.73,84.2,84.0,75.48,73.0,88.25,80.52,81.0,16,13,15,7,15,8,9,15,16,15,65.79,52.13,46.76
33,33,C. Tolisso,24,181.0,80.6,France,Black,83,Right,Good,Good,High/Medium,RCM,92.24,76.6,85.68,81.77,73.34,65.66,74.72,83.12,73.57,16,16,16,15,16,16,15,15,16,14,74.73,77.83,75.19
34,34,A. Rabiot,24,192.4,88.1,France,Caucasian,83,Left,Good,Good,High/Medium,CM,84.77,78.9,82.64,83.66,70.77,74.06,79.31,83.37,71.75,16,14,16,16,15,15,16,15,16,16,70.43,80.78,75.19
35,35,E. Banega,31,174.4,71.0,,,83,Right,Excellent,Excellent,High/Medium,RCM,86.47,83.26,84.94,84.9,63.5,59.34,73.56,78.25,78.61,15,11,14,13,16,16,15,15,16,16,79.54,79.34,78.09
36,36,C. Aránguiz,30,170.6,70.0,Chile,Caucasian,83,Right,Excellent,Good,Medium/Medium,LCM,85.24,78.95,84.02,83.3,71.83,54.73,80.15,86.46,86.19,16,12,17,12,15,16,16,15,16,16,75.59,73.53,71.66
37,37,K. Kampl,28,177.6,66.9,Slovenia,Caucasian,83,,Excellent,Good,High/High,CM,84.31,85.97,79.11,80.28,82.7,69.79,89.58,83.99,81.0,13,13,18,9,14,12,15,14,16,16,65.01,63.82,59.38
38,38,J. Henderson,29,182.3,80.0,England,Caucasian,83,Right,Good,Good,High/High,RCM,83.78,76.19,83.63,80.95,73.34,63.56,68.75,83.55,69.98,15,15,18,14,14,16,16,15,16,15,79.0,79.5,76.1
39,39,Illarramendi,29,179.3,75.2,Spain,Caucasian,83,Right,Good,Good,Medium/High,RCM,84.81,77.52,82.11,83.14,61.98,46.53,69.05,84.28,72.75,13,12,14,13,15,15,17,15,17,15,82.65,82.86,79.76
40,40,Jorginho,27,180.2,67.1,Italy,Caucasian,83,Right,Good,Good,Medium/Medium,CDM,88.59,80.77,87.34,84.65,60.59,49.81,80.63,80.58,72.32,14,11,17,13,12,15,15,13,17,15,61.87,71.62,70.22
41,41,Danilo Pereira,27,187.7,82.7,Portugal,Black,83,Right,Good,Good,Medium/High,LCM,83.33,75.64,81.4,77.51,62.4,68.39,56.95,75.0,60.42,14,12,16,17,12,16,16,13,14,16,82.57,84.44,70.64
42,42,D. Blind,29,180.1,71.9,Netherlands,Caucasian,83,Left,Good,Good,,LDM,82.91,75.02,82.58,81.98,60.87,48.23,71.2,85.34,71.65,14,14,15,14,13,14,17,13,15,16,81.8,83.9,79.02
43,43,I. Gueye,29,174.0,65.6,Senegal,Black,83,Right,Good,Good,Medium/High,CDM,78.66,76.5,77.44,78.92,74.42,71.79,82.12,83.22,80.26,16,17,18,13,13,17,17,13,13,16,83.51,90.09,82.71
44,44,William Carvalho,27,184.9,83.4,Portugal,Caucasian,83,Right,Excellent,Good,Medium/Medium,CDM,80.86,78.2,85.47,81.44,36.57,46.27,44.75,73.78,47.44,13,13,16,18,11,15,16,12,16,17,80.5,80.24,72.19
45,45,E. Forsberg,27,178.8,74.4,Sweden,Caucasian,82,Right,Excellent,Excellent,Medium/Medium,LCM,84.79,81.93,68.87,86.84,72.68,67.91,80.63,81.53,81.76,14,10,13,11,14,12,8,15,16,15,34.98,25.96,17.49
46,46,Ander Herrera,29,181.9,72.8,Spain,Caucasian,82,,Excellent,Good,High/High,LCM,83.15,78.14,78.82,80.28,72.78,66.55,78.34,84.89,80.26,15,12,17,14,13,17,17,15,15,16,81.77,83.93,78.91
47,47,T. Partey,26,185.4,77.4,Ghana,Black,82,Right,Good,Good,Medium/High,RCM,83.85,78.95,80.5,80.72,73.57,74.82,70.29,80.8,50.36,16,16,18,16,16,16,15,14,15,15,78.65,82.73,81.26
48,48,L. Torreira,23,167.9,64.3,Uruguay,Caucasian,82,Right,Good,Good,Medium/High,RDM,83.31,78.43,76.38,80.55,79.45,72.39,85.23,79.29,93.02,15,10,17,13,14,17,17,13,14,15,84.1,83.92,77.34
49,49,Rúben Neves,22,179.6,80.4,,,82,Right,Excellent,Good,Medium/High,CM,84.77,75.41,85.77,81.69,64.31,59.5,64.81,77.96,70.41,17,13,15,13,16,16,15,13,17,16,68.73,73.51,69.42
50,50,Rosberto Dourado,31,175.0,69.6,Brazil,Middle-eastern,82,Right,Excellent,Average,High/Medium,RDM,81.67,78.14,77.97,75.96,79.71,80.86,72.29,80.12,80.08,12,8,18,13,11,15,16,11,15,16,82.98,86.39,79.73
51,51,L. Biglia,33,178.5,62.6,Argentina,Caucasian,82,Right,Excellent,Good,Medium/High,CM,86.44,80.14,82.05,84.15,55.37,55.1,73.95,85.34,77.55,15,12,14,12,15,16,16,10,16,16,80.19,77.73,74.16
52,52,D. De Rossi,35,184.2,83.4,Italy,Caucasian,82,Right,Excellent,Average,Medium/High,LCM,81.49,63.93,80.01,77.01,60.48,57.57,62.37,79.83,72.24,16,14,14,15,14,16,17,11,14,18,90.19,82.03,79.62
53,53,M. Sabitzer,25,177.3,76.7,Austria,Caucasian,81,Right,Excellent,Good,High/High,RCM,77.54,78.51,71.71,81.12,75.2,73.15,74.73,83.99,80.12,17,14,16,15,16,14,11,16,15,15,60.31,55.68,52.87
54,54,,31,184.7,84.7,Belgium,Caucasian,81,Left,Average,Excellent,Medium/Medium,CM,84.86,89.19,78.58,87.93,71.75,73.33,80.64,80.68,76.29,15,15,12,18,13,15,16,13,16,18,75.02,79.66,69.63
55,55,F. Vázquez,30,185.7,82.5,Argentina,Caucasian,81,Left,Good,Excellent,Medium/Medium,LCM,84.48,85.37,81.5,86.41,53.38,67.19,67.47,78.05,34.0,15,9,12,15,16,15,13,15,16,16,50.37,59.21,48.15
56,56,T. Ndombele,22,180.6,76.5,France,Black,81,Right,Good,Excellent,Medium/Medium,LCM,84.79,87.87,79.43,86.13,83.89,76.28,83.44,83.5,85.66,16,12,16,15,13,16,15,14,16,17,68.0,73.81,52.87
57,57,M. Sissoko,29,186.8,91.2,France,Black,81,Right,Good,Good,High/High,CM,81.65,84.39,76.49,80.28,73.57,84.63,64.25,81.96,58.36,17,15,18,18,13,17,16,15,15,15,75.83,82.44,81.42
58,58,A. Guardado,32,168.8,66.9,Mexico,Caucasian,81,Left,Average,Excellent,Medium/Medium,LCM,82.62,80.36,81.56,84.96,71.2,65.8,79.2,81.16,86.62,14,14,15,12,14,14,14,14,16,15,73.73,74.38,74.08
59,59,A. Doucouré,26,184.3,75.8,France,Black,81,Right,Good,Good,High/Medium,RDM,82.1,77.94,74.66,80.11,65.09,72.48,62.21,78.04,68.31,16,14,18,16,15,15,16,14,15,14,79.44,83.38,75.82
60,60,E. Can,25,184.5,81.8,Germany,Caucasian,81,Right,Excellent,Good,Medium/Medium,RCM,82.9,79.76,80.89,82.99,67.84,72.48,72.22,77.78,69.36,16,15,17,16,15,17,16,15,15,16,81.76,82.03,79.51
61,61,Thiago Mendes,27,176.8,79.8,Brazil,Caucasian,81,Right,Good,Excellent,High/Medium,RCM,84.79,77.54,80.81,81.01,72.72,81.76,78.22,81.16,73.59,16,13,17,13,15,16,16,14,16,15,79.25,76.53,79.51
62,62,M. Brozovi?,26,181.4,68.3,Croatia,Caucasian,81,Right,Excellent,Good,Medium/High,CDM,82.42,79.68,83.4,82.51,62.5,63.61,72.89,77.98,73.61,16,13,17,12,16,16,16,13,16,15,74.5,77.81,77.04
63,63,Beñat,32,177.4,76.2,Spain,Caucasian,81,Right,Good,Good,Low/Medium,LCM,87.26,80.13,80.05,83.96,65.16,35.51,71.04,77.64,76.0,17,11,15,13,15,14,14,15,17,14,69.75,69.79,65.31
64,64,G. Xhaka,26,184.7,81.9,Switzerland,Caucasian,81,Left,Good,Good,Medium/Medium,LDM,84.59,69.76,85.02,79.51,52.83,51.54,48.54,74.77,60.95,18,6,15,15,15,18,14,15,16,14,66.13,71.5,69.34
65,65,,29,180.3,79.5,Spain,Black,81,Right,Good,Good,Medium/High,RCM,82.05,73.12,78.76,80.18,52.17,34.3,67.4,78.92,69.77,14,12,17,14,14,17,16,15,15,14,79.86,83.76,76.67
66,66,W. Ndidi,22,183.3,74.2,Nigeria,Black,81,Right,Excellent,Good,Medium/High,CDM,77.24,74.32,73.07,76.42,69.54,71.92,68.84,79.23,67.21,16,18,18,14,13,17,16,13,13,15,84.42,84.79,83.04
67,67,L. Milivojevi?,28,185.9,79.7,Serbia,Caucasian,81,Right,Average,Average,,RCM,80.58,61.74,78.67,76.25,52.83,56.16,62.47,78.02,62.78,16,12,18,16,15,17,16,13,14,15,77.94,77.79,73.22
68,68,Fernando,31,183.3,75.6,Brazil,Caucasian,81,Right,Average,Good,Medium/Medium,CDM,80.32,67.62,78.67,75.17,60.48,62.02,69.51,76.91,57.37,15,14,16,16,13,16,16,11,13,15,80.37,83.06,81.17
69,69,Luiz Gustavo,31,186.5,77.6,Brazil,Middle-eastern,81,Left,Good,Good,Medium/High,CDM,75.19,68.23,75.99,72.82,60.83,62.02,62.21,82.72,62.13,15,15,17,16,14,16,16,10,13,16,82.23,78.65,81.81
70,70,D. Klaassen,26,178.6,70.1,Netherlands,Caucasian,80,Right,Good,Good,High/High,LCM,80.84,73.0,76.04,81.5,67.11,63.7,67.72,80.35,65.94,16,13,17,13,15,15,14,16,15,16,65.32,74.33,65.23
71,71,Y. Belhanda,29,178.6,74.7,Morocco,Black,80,Right,Excellent,Excellent,Medium/Medium,LCM,84.79,84.17,76.58,82.72,75.02,71.99,85.26,78.75,77.78,15,15,16,12,15,15,13,14,15,14,50.05,53.55,52.87
72,72,Y. Tielemans,22,175.9,71.7,Belgium,Caucasian,80,Right,Masterful,Excellent,Medium/Medium,RCM,84.34,78.41,81.25,80.61,65.01,60.84,68.7,74.57,76.55,17,12,14,12,16,14,13,15,16,16,66.44,72.93,68.04
73,73,,25,188.2,84.0,Portugal,Black,80,Right,Excellent,Excellent,Medium/Medium,LDM,83.75,82.88,81.97,82.28,63.31,67.19,65.55,78.17,64.13,16,11,15,16,14,16,15,14,16,16,72.82,74.34,66.94
74,74,Gabriel,25,187.0,82.3,Brazil,Middle-eastern,80,Left,Masterful,Good,Medium/High,RCM,78.67,81.2,82.96,82.09,65.52,67.19,65.24,77.47,66.96,17,16,16,16,16,17,16,14,15,16,74.8,76.84,72.55
75,75,Manu Trigueros,27,177.7,74.7,Spain,Caucasian,80,Right,Excellent,Excellent,Medium/Medium,LDM,79.56,77.24,79.93,80.06,62.07,58.88,72.49,78.24,68.75,15,13,13,12,15,13,13,15,16,15,68.58,73.0,61.57
76,76,M. Eggestein,22,181.3,74.6,,,80,Right,Excellent,Good,High/High,RCM,80.57,77.82,77.57,80.81,66.97,76.52,75.39,78.91,68.44,16,10,19,15,16,13,14,14,15,15,73.7,77.03,64.77
77,77,Campaña,26,179.4,70.5,Spain,Caucasian,80,Right,Good,Excellent,Medium/Medium,CDM,82.95,78.26,80.02,82.19,63.07,60.44,65.35,74.16,73.21,15,12,15,14,15,13,14,13,16,16,75.15,75.31,68.11
78,78,F. Coquelin,28,177.2,74.3,France,Caucasian,80,Right,Good,Good,Medium/High,LCM,81.09,77.27,78.53,80.78,71.13,68.51,74.7,82.05,79.39,14,15,14,15,13,17,16,15,15,15,80.05,81.77,79.09
79,79,V. Rongier,24,171.7,69.8,France,Caucasian,80,Right,Excellent,Good,Medium/High,LCM,81.68,70.25,80.79,81.66,66.68,61.0,77.62,75.48,90.33,15,14,14,11,15,10,15,14,15,15,76.3,84.09,71.43
80,80,N. Barella,22,175.0,67.8,Italy,Caucasian,80,Right,Good,Good,Medium/High,RCM,81.86,80.16,78.36,81.69,78.43,73.68,75.03,82.05,82.76,14,11,16,11,13,16,15,14,15,16,75.36,79.77,75.61
81,81,,25,179.9,70.5,Spain,Black,80,Right,Good,Excellent,Medium/Low,LCM,83.66,80.13,81.12,83.12,54.2,36.68,72.5,78.41,74.69,16,10,13,13,15,14,13,15,16,16,63.56,68.11,69.18
82,82,E. Capoue,30,189.6,87.3,France,Caucasian,80,Right,Good,Good,,LDM,79.22,76.19,78.46,80.49,49.74,52.58,36.16,81.3,60.91,15,14,15,15,14,15,16,14,14,15,76.44,78.82,77.38
83,83,H. Winks,23,176.5,73.8,England,Caucasian,80,Right,Good,Good,Medium/High,RDM,84.11,84.26,79.65,82.47,71.85,73.68,81.41,79.85,81.77,12,10,16,12,12,13,15,12,16,16,73.43,74.04,67.1
84,84,M. Díaz,32,165.9,63.3,,,80,Right,Good,Good,Medium/High,CDM,84.5,70.25,82.81,79.65,63.1,55.33,75.49,75.51,90.66,16,14,16,13,15,16,15,13,15,15,75.58,74.48,70.18
85,85,Y. M'Vila,29,182.4,79.7,France,Black,80,Right,Good,Good,Medium/Medium,LDM,82.7,73.41,80.7,76.21,72.46,68.64,72.61,77.62,64.8,13,14,16,15,13,16,16,11,14,16,75.33,76.28,72.33
86,86,I. Marcone,29,183.0,83.3,Argentina,Caucasian,80,Right,Good,Excellent,Medium/High,RCM,80.61,81.15,81.4,81.75,58.9,51.68,62.19,76.13,64.32,14,11,17,17,13,16,15,11,15,17,73.94,80.39,72.8
87,87,,35,176.9,75.0,Brazil,Caucasian,80,Right,Excellent,Average,High/High,CDM,78.19,75.01,75.34,77.49,69.45,67.77,77.84,77.8,77.46,14,13,17,14,12,16,15,10,14,13,80.05,81.14,76.57
88,88,T. Stepanenko,29,181.2,76.1,Ukraine,Caucasian,80,Left,Good,Good,Medium/High,RDM,80.88,64.43,77.18,78.41,71.22,63.88,62.57,78.35,73.04,15,14,16,15,14,17,16,12,13,16,78.62,79.33,76.99
89,89,J. Weigl,23,185.6,72.0,,,80,Right,Good,Good,Medium/Medium,RDM,85.35,73.57,83.3,78.88,68.34,55.34,76.16,79.99,64.59,9,13,15,12,10,12,16,11,15,16,78.81,78.54,72.77
90,90,J. Mascherano,35,174.3,73.0,Argentina,Caucasian,80,Right,Good,Average,Low/High,CDM,79.21,57.96,78.5,80.12,68.89,64.47,72.27,78.41,80.13,15,16,15,14,11,17,17,10,13,16,77.28,80.74,80.1
91,91,Dani Olmo,21,178.6,72.2,Spain,Caucasian,79,Right,Excellent,Excellent,High/Medium,LCM,75.7,82.22,77.18,83.04,78.14,81.62,80.01,72.96,88.92,15,11,15,10,15,12,11,16,15,16,43.17,50.25,44.0
92,92,D. Baselli,27,181.6,69.9,Italy,Caucasian,79,Right,Good,Excellent,High/Medium,RCM,82.3,81.57,77.83,82.65,73.3,70.49,77.99,75.49,74.53,15,13,15,13,16,13,13,15,16,14,67.12,65.26,63.12
93,93,Merino,23,185.6,82.8,Spain,Caucasian,79,Left,Good,Good,Medium/Medium,LCM,82.48,81.31,73.55,83.19,69.91,68.38,75.97,75.67,56.6,15,13,14,15,15,14,15,14,16,14,64.63,73.56,65.21
94,94,M. Arnold,25,184.2,73.7,Germany,Caucasian,79,Left,Average,Good,High/High,LCM,79.67,77.67,80.36,80.17,73.85,65.37,66.03,79.73,65.53,17,10,15,13,17,13,15,15,15,15,75.08,69.31,65.78
95,95,,24,179.9,73.1,France,Black,79,Right,Excellent,Excellent,Medium/Medium,LCM,80.19,75.93,82.39,79.36,77.21,73.91,79.04,75.67,68.94,15,15,15,15,13,13,14,15,15,15,65.4,73.01,70.17
96,96,A. Golovin,23,179.7,68.5,Russia,Caucasian,79,Right,Excellent,Excellent,High/High,RCM,78.65,83.38,77.83,81.76,76.53,84.0,82.28,74.37,77.41,15,12,16,11,15,15,14,14,15,16,66.52,68.58,63.51
97,97,F. Kessié,22,183.2,75.7,Ivory Coast,Black,79,Right,Excellent,Good,High/High,RCM,78.65,78.48,74.65,79.05,69.45,73.93,68.01,77.5,79.16,16,15,19,17,15,17,16,15,14,15,80.01,78.18,73.79
98,98,L. Pellegrini,23,186.1,76.8,Italy,Caucasian,79,Right,Good,Good,High/Medium,RDM,84.17,76.59,79.93,79.96,74.64,73.95,81.07,72.92,69.55,15,13,14,13,14,14,14,15,16,15,70.26,73.01,71.83
99,99,E. Pérez,33,178.4,77.2,Argentina,Caucasian,79,Right,Excellent,Good,Medium/Medium,RDM,80.55,73.53,76.49,76.69,68.8,65.75,76.5,78.04,66.68,15,14,15,15,14,17,15,15,15,15,76.75,74.67,71.83
100,100,R. Zobnin,25,182.0,75.1,Russia,Caucasian,79,Right,Good,Excellent,High/High,RDM,80.64,81.5,79.23,81.72,73.85,78.14,69.95,79.06,64.78,13,12,18,13,13,14,15,12,14,15,80.75,78.91,75.62
101,101,A. Fernández,33,176.8,70.9,,,79,Right,Good,Excellent,Medium/Medium,LDM,81.32,76.72,80.11,81.3,68.57,67.77,75.23,74.92,79.92,14,11,15,14,14,16,15,14,15,16,68.21,76.05,64.25
102,102,J. Ward-Prowse,24,172.9,66.3,England,Caucasian,79,Right,Good,Good,Medium/Medium,RCM,85.16,74.75,82.45,81.9,65.8,54.51,75.14,74.39,76.79,14,13,15,11,14,13,12,14,16,15,68.21,63.79,60.47
103,103,R. Vormer,31,178.0,78.6,Netherlands,Caucasian,79,,Excellent,Good,High/High,RCM,81.27,67.1,76.83,86.41,65.71,54.72,65.13,77.94,62.57,15,13,18,14,14,15,15,16,15,15,76.35,74.74,69.64
104,104,,23,186.6,76.6,Austria,Caucasian,79,Right,Good,Good,Medium/Medium,LCM,84.29,77.93,80.6,81.15,63.25,64.59,67.19,82.4,64.89,13,9,14,14,11,10,14,14,16,16,70.34,71.44,50.99
105,105,Melvin Parrela,31,188.2,87.9,Brazil,Caucasian,79,Right,Good,Average,,RDM,77.96,72.25,71.78,74.17,61.97,77.64,66.62,74.69,69.06,15,14,17,16,14,16,14,13,14,15,82.15,83.91,77.42
106,106,Rubén Alcaraz,28,182.8,80.5,Spain,Caucasian,79,Right,Excellent,Good,Medium/High,LCM,80.39,70.28,74.28,75.65,63.42,63.98,62.33,79.2,67.25,17,15,16,15,16,17,16,12,15,15,77.43,83.06,76.35
107,107,T. Sou?ek,24,192.0,85.8,Czech Republic,Caucasian,79,Right,Good,Good,High/High,LDM,77.77,72.74,74.28,74.97,65.69,73.37,66.02,76.44,59.91,14,14,18,16,14,14,16,14,14,15,79.21,79.26,77.73
108,108,Petros,30,181.7,77.4,Brazil,Black,79,Right,Good,Good,Medium/Medium,RDM,81.08,75.94,77.85,77.67,68.89,69.58,69.95,75.78,70.47,16,12,18,14,13,16,16,12,15,15,67.79,80.08,77.67
109,109,Roque Mesa,30,171.2,73.8,Spain,Caucasian,79,Right,Good,Good,Medium/High,RCM,79.07,75.95,76.93,78.56,71.3,70.52,73.18,80.47,88.12,13,15,16,14,11,17,15,13,15,16,74.52,74.53,64.25
110,110,J. Gbamin,23,186.3,82.9,Ivory Coast,Black,79,Right,Good,Good,Medium/High,RDM,77.7,75.48,74.35,77.31,74.19,85.06,66.58,75.99,64.71,16,15,16,16,14,17,15,13,14,14,78.51,80.48,71.45
111,111,S. Berge,21,195.4,94.4,Norway,Caucasian,79,Right,Good,Good,Medium/High,LCM,81.55,76.76,74.35,79.35,70.75,75.65,58.43,75.2,44.5,15,14,17,18,11,14,15,13,14,16,75.04,76.6,66.61
