,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_penalties,mentality_composure
35,35,Louri Beretta,27,187.7,83.2,Brazil,Caucasian,83,Right,Good,Excellent,High/Low,ST,84.62,82.77,72.97,81.63,75.07,58.79,66.83,74.45,79.49,82.92,54.62,83.56,54.72,17,16,11,17,16,15,15
36,36,C. Bakambu,28,182.1,74.2,DR Congo,Black,82,Right,Excellent,Good,Medium/Medium,RS,84.15,71.48,75.2,79.85,79.71,77.7,53.96,81.98,90.49,90.01,80.91,81.99,72.16,16,16,16,15,14,13,16
37,37,M. Arnautovi?,30,192.5,82.6,Austria,Caucasian,82,Right,Excellent,Excellent,High/Medium,ST,77.67,73.58,78.08,78.8,83.77,78.69,72.15,85.39,77.34,83.17,68.67,78.06,66.43,16,13,15,16,15,15,16
38,38,Suso,25,176.2,70.0,Spain,Caucasian,82,Left,Good,Excellent,High/Medium,RS,69.86,50.48,84.52,72.27,88.43,86.52,80.13,88.56,81.84,74.27,86.33,77.9,84.18,15,10,15,11,17,14,15
39,39,K. Volland,26,179.0,83.0,Germany,Caucasian,82,Left,Excellent,Good,High/High,ST,83.68,68.85,80.75,83.37,78.91,78.73,79.77,78.75,75.3,76.47,73.3,82.46,82.4,17,15,17,16,16,14,16
40,40,Willian José,27,188.6,92.5,Brazil,Caucasian,82,Right,Excellent,Excellent,Medium/Low,ST,83.54,84.12,78.13,82.24,75.99,67.62,60.26,80.13,66.16,70.58,67.95,80.94,38.28,16,15,14,18,15,16,15
41,41,K. Demirbay,25,181.6,71.7,Germany,Caucasian,82,Left,Excellent,Excellent,Medium/Medium,LF,74.37,46.01,84.52,59.18,86.42,84.88,81.07,85.19,66.82,66.52,78.44,84.14,78.42,15,14,15,13,15,14,16
42,42,Aduriz,38,181.6,78.0,Spain,Caucasian,82,Right,Good,Good,High/Medium,ST,82.69,92.26,71.88,80.07,76.33,61.24,54.37,81.59,60.37,72.66,56.12,84.97,52.71,16,17,10,16,15,17,17
43,43,J. Vardy,32,178.9,73.5,England,Caucasian,82,Right,Good,Good,High/High,ST,84.81,78.34,67.41,81.02,74.01,65.04,57.23,74.28,87.34,88.42,72.02,82.74,74.59,17,15,15,13,12,16,16
44,44,M. Balotelli,28,188.6,87.9,Italy,Black,82,Right,Excellent,Excellent,Medium/Low,RS,83.3,67.49,78.08,78.22,81.15,75.06,78.34,85.44,74.86,77.35,71.2,67.74,49.8,17,14,13,16,15,18,16
45,45,A. Belotti,25,180.7,72.0,Italy,Caucasian,82,Right,Masterful,Good,High/High,ST,87.89,84.33,68.39,81.72,77.68,64.15,56.01,75.1,77.37,77.06,78.25,76.24,74.88,16,16,16,16,13,15,15
46,46,D. Zapata,28,189.3,87.7,Colombia,Black,82,Right,Excellent,Good,High/Medium,LS,87.35,83.31,69.64,76.88,77.28,47.98,61.9,81.08,70.37,71.55,63.63,75.84,60.28,17,15,14,18,12,14,15
47,47,L. de Jong,28,188.1,86.2,Netherlands,Caucasian,82,Right,Good,Average,Medium/High,ST,82.14,93.09,77.58,84.19,66.19,62.67,68.65,76.57,53.75,72.66,58.31,83.37,60.43,16,16,16,16,13,13,16
48,48,S. Giovinco,32,163.0,60.5,Italy,Caucasian,81,Right,Excellent,Excellent,High/Medium,RS,77.84,34.01,80.35,75.36,85.82,90.47,91.85,85.62,84.4,77.51,93.73,82.77,93.33,16,6,15,8,16,14,16
49,49,K. Gameiro,32,175.0,70.2,France,Caucasian,81,Right,Excellent,Good,Medium/Medium,RS,80.22,67.02,79.19,78.2,76.22,73.6,70.3,77.7,87.06,84.35,79.83,80.57,75.7,16,16,14,12,14,16,16
50,50,L. López,36,174.1,72.1,Argentina,Caucasian,81,Right,Excellent,Excellent,High/High,LS,85.73,79.0,76.08,74.24,79.49,78.4,73.08,81.54,74.29,75.3,76.73,76.6,78.88,16,15,13,15,15,17,17
51,51,L. Martínez,21,174.2,81.1,Argentina,Caucasian,81,Right,Excellent,Excellent,High/Medium,RS,82.46,76.48,72.44,69.47,82.16,75.83,32.6,82.28,81.12,80.79,86.03,77.78,72.89,15,17,15,16,13,13,15
52,52,A. Plea,26,180.8,78.8,France,Black,81,,Good,Excellent,High/Medium,LS,82.41,73.42,76.25,81.06,77.93,77.98,73.56,80.13,76.07,76.14,77.49,80.53,78.88,16,14,15,15,16,13,15
53,53,J. Martínez,26,170.2,69.0,Venezuela,Black,81,Right,Excellent,Good,High/Medium,ST,84.46,76.7,68.92,74.91,75.53,67.61,57.21,79.36,86.83,89.67,91.38,81.38,92.16,16,17,14,14,13,15,15
54,54,B. Gomis,33,184.0,76.9,France,Black,81,,Good,Excellent,High/Low,LS,83.97,84.41,74.9,79.4,77.68,60.99,62.48,80.13,68.69,69.75,59.38,77.63,60.28,16,14,14,16,15,16,16
55,55,Y. Poulsen,25,193.5,77.6,Denmark,Caucasian,81,Right,Good,Good,High/High,RS,80.38,84.84,74.81,75.13,77.8,70.87,42.78,76.11,81.31,84.1,75.06,81.33,54.53,14,16,17,15,11,11,13
56,56,Gerard Moreno,27,179.9,76.8,Spain,Caucasian,81,Left,Excellent,Good,High/Medium,ST,80.32,80.0,75.42,80.97,78.75,70.19,55.8,79.57,75.05,77.18,72.44,76.24,67.24,16,15,14,14,15,15,14
57,57,W. Weghorst,26,197.2,84.3,,,81,Right,Good,Good,High/High,ST,84.36,87.5,75.64,78.66,64.77,40.28,37.33,78.06,56.52,67.66,63.33,82.0,43.55,16,15,17,17,13,15,16
58,58,João Félix,19,180.9,70.4,Portugal,Black,80,Right,Excellent,Masterful,High/Medium,RS,79.26,68.8,75.93,79.29,82.35,81.4,58.35,80.45,78.88,85.46,83.02,82.65,79.96,16,15,15,12,16,13,16
59,59,J. Correa,24,188.4,77.3,Argentina,Caucasian,80,Right,Excellent,Excellent,High/Medium,CF,77.34,68.11,78.29,75.12,87.09,79.24,63.43,86.32,82.23,85.84,83.57,76.83,66.64,15,12,14,14,14,11,14
60,60,Deulofeu,25,176.6,72.6,Spain,Caucasian,80,Right,Excellent,Excellent,High/Low,RS,74.12,39.64,78.46,70.4,89.22,83.95,77.33,86.36,89.49,88.02,92.53,75.13,76.97,15,14,14,10,13,15,15
61,61,F. Smolov,29,186.6,79.7,Russia,Caucasian,80,,Excellent,Excellent,High/Medium,ST,81.64,66.68,77.16,78.99,75.95,77.2,69.33,80.13,87.66,85.34,74.99,73.73,75.7,16,13,14,15,16,14,14
62,62,Diogo Jota,22,178.1,73.0,Portugal,Caucasian,80,Right,Masterful,Excellent,High/High,LS,77.53,52.24,71.85,75.27,84.33,72.97,58.23,84.19,88.18,78.92,87.44,80.93,85.6,16,13,16,14,14,12,16
63,63,W. Rooney,33,176.5,83.4,England,Caucasian,80,Right,Excellent,Good,Medium/High,ST,79.68,75.11,81.19,82.24,73.86,82.0,83.08,80.17,64.08,64.05,77.49,81.99,77.35,17,14,14,15,16,16,17
64,64,A. Rebi?,25,184.8,78.0,Croatia,Caucasian,80,Right,Excellent,Excellent,High/Medium,ST,79.14,70.76,73.03,81.57,79.7,75.92,58.33,78.27,84.47,85.34,74.08,78.08,68.39,17,13,15,16,15,12,15
65,65,C. Wilson,27,179.5,66.3,England,Black,80,Right,Good,Excellent,High/Medium,ST,82.55,78.19,72.1,71.97,77.8,63.37,44.92,76.71,84.12,89.12,74.68,78.43,73.49,15,14,15,15,13,15,15
66,66,M. Almirón,25,174.3,63.0,Paraguay,Caucasian,80,Left,Average,Excellent,High/High,LS,73.36,68.11,79.56,75.12,82.87,73.75,69.98,81.37,88.63,88.68,86.92,79.27,64.28,15,9,16,10,14,13,15
67,67,R. Jiménez,28,187.7,81.0,Mexico,Caucasian,80,Right,Excellent,Good,High/High,RS,84.36,81.32,73.51,76.91,76.92,70.87,44.67,76.01,73.19,81.96,72.35,77.53,49.32,16,13,16,15,13,18,15
68,68,L. Pratto,31,186.6,91.0,Argentina,Caucasian,80,Right,Good,Excellent,High/Medium,LS,78.26,78.61,72.08,74.13,76.86,69.48,55.89,79.22,67.86,73.71,60.12,79.34,56.41,17,14,15,18,15,15,16
69,69,Santi Mina,23,180.6,77.1,Spain,Caucasian,80,Right,Excellent,Good,High/Medium,LS,81.65,77.48,71.81,82.24,79.06,69.43,54.67,79.0,75.17,77.86,72.44,79.24,72.34,16,14,15,14,14,13,13
70,70,Mata,30,185.1,78.8,Spain,Black,80,Right,Good,Good,High/Medium,RS,84.14,75.38,65.03,72.06,78.87,54.9,48.2,78.11,70.69,73.2,62.96,84.0,40.91,15,13,14,15,14,15,15
71,71,M. Dembélé,22,182.6,73.9,France,Caucasian,80,Right,Good,Excellent,,ST,81.44,76.48,71.09,68.91,75.12,68.86,40.66,79.43,78.54,85.38,77.68,77.49,67.82,16,16,14,17,13,16,15
72,72,Sergi Enrich,29,181.3,77.0,Spain,Caucasian,80,Right,Excellent,Excellent,,RS,82.41,80.89,79.44,82.49,73.6,55.42,46.91,80.92,59.91,59.52,67.51,81.74,64.59,15,15,15,16,14,13,14
73,73,Jorge Molina,37,188.3,72.0,Spain,Caucasian,80,Right,Excellent,Good,Medium/Medium,LS,84.7,82.11,79.58,82.24,72.55,62.22,58.75,81.18,37.85,39.38,31.83,84.7,34.71,16,9,6,17,16,16,16
74,74,M. Marega,28,186.3,83.0,Mali,Black,80,Right,Good,Good,High/Medium,RS,79.91,76.57,67.43,74.53,64.07,57.65,37.21,66.38,73.19,89.38,65.94,76.51,49.96,16,15,18,18,14,14,14
75,75,K. Pi?tek,24,182.8,77.4,Poland,Caucasian,80,Right,Good,Good,Medium/Medium,LS,85.69,80.47,64.38,75.48,71.57,60.15,40.26,76.12,78.37,74.71,73.66,75.93,61.06,16,16,14,15,13,15,14
76,76,Éder,32,178.8,71.6,Italy,Caucasian,79,Right,Excellent,Excellent,High/Medium,LS,78.18,59.79,75.98,76.16,82.53,80.31,49.28,82.99,86.31,86.31,83.48,77.7,80.55,15,10,15,12,15,15,15
77,77,Alex Teixeira,29,178.9,72.4,Brazil,Black,79,Right,Excellent,Excellent,High/Medium,RS,76.98,53.53,79.0,78.18,80.03,72.97,49.28,81.18,93.82,90.01,90.77,81.95,82.94,14,16,17,14,15,14,16
78,78,Luimo Boas Santos,31,175.9,72.9,,,79,Right,Excellent,Excellent,High/Medium,ST,79.46,72.65,73.69,75.93,82.17,78.67,60.14,77.81,86.5,81.95,83.37,81.93,69.32,15,16,16,13,16,14,14
79,79,David Villa,37,175.1,69.5,Spain,Caucasian,79,Right,Excellent,Excellent,High/Low,LS,83.31,66.53,75.85,76.66,73.86,82.49,76.91,83.35,62.82,66.14,67.38,79.92,70.27,15,13,13,13,15,17,16
80,80,Iago Falqué,29,174.4,68.9,Spain,Caucasian,79,Left,Good,Excellent,High/Medium,RF,75.42,52.73,81.94,68.98,84.48,79.53,74.92,85.25,78.01,72.27,84.05,78.55,85.28,14,7,14,10,15,15,15
81,81,Wu Lei,27,174.3,65.7,China PR,Asian,79,Right,Excellent,Good,Medium/Medium,LS,77.53,71.91,75.66,72.22,78.53,78.67,68.96,81.12,90.46,84.82,78.49,78.77,80.38,15,17,13,12,13,10,14
82,82,Leo Baptistao,26,180.9,70.9,Brazil,Caucasian,79,Right,Good,Excellent,Medium/Medium,ST,73.79,75.54,78.51,77.07,78.62,70.32,58.65,79.05,86.5,78.58,77.21,82.29,70.7,15,14,15,14,14,13,15
83,83,W. Khazri,28,176.4,82.5,Tunisia,Black,79,Right,Excellent,Excellent,High/High,ST,78.84,53.9,77.35,69.12,79.36,79.52,78.6,81.28,74.18,77.04,80.24,78.55,67.17,17,8,13,13,16,15,16
84,84,Elkeson,29,180.3,82.9,Brazil,Caucasian,79,Right,Excellent,Excellent,High/Medium,ST,75.5,78.85,75.11,75.62,75.89,75.62,80.26,77.13,88.34,76.06,79.53,75.43,73.91,17,15,16,15,14,17,15
85,85,C. Stuani,32,185.8,76.3,Uruguay,Black,79,Right,Good,Excellent,Medium/Low,ST,80.4,84.84,73.64,73.41,76.48,65.92,57.05,76.7,68.64,73.71,65.49,81.3,62.44,15,18,17,16,14,18,15
86,86,D. Benedetto,29,180.7,80.0,Argentina,Caucasian,79,Right,Masterful,Good,High/Low,ST,81.44,75.76,71.23,72.88,74.07,68.65,59.58,78.36,77.64,81.48,74.43,74.02,71.91,16,17,13,15,15,15,16
87,87,Wesley,22,191.4,93.9,Brazil,Black,79,Right,Good,Good,High/High,ST,74.13,74.65,76.02,73.92,75.03,57.29,49.27,80.2,69.1,83.11,53.25,74.39,44.75,16,14,16,19,14,13,15
88,88,Kike García,29,185.8,79.0,,,79,Right,Excellent,Good,Medium/Medium,LS,77.83,81.41,75.59,81.22,76.97,41.86,46.15,79.53,59.99,61.84,63.01,77.46,50.94,16,14,13,15,15,14,16
89,89,B. Y?lmaz,33,187.7,77.0,Turkey,Middle-eastern,79,Right,Good,Good,High/Low,ST,82.34,71.66,65.95,77.23,69.12,59.93,70.44,68.94,81.12,78.98,72.07,81.24,48.19,17,13,13,15,14,15,16
90,90,H. Seferovi?,27,189.3,84.8,Switzerland,Caucasian,79,,Average,Good,High/Medium,RS,78.23,77.88,67.71,75.62,70.6,72.48,64.33,74.48,66.63,74.44,66.31,82.13,62.44,16,15,17,17,13,13,16
91,91,M. Samatta,26,182.9,79.9,Tanzania,Black,79,Right,Excellent,Good,High/High,ST,82.89,76.6,76.14,75.52,74.07,64.91,56.52,72.43,82.87,86.04,74.61,72.71,68.86,15,17,16,14,13,14,15
92,92,A. Hamdallah,28,181.7,81.0,Morocco,Black,79,Right,Good,Good,Medium/Low,ST,77.53,78.15,69.83,76.44,71.43,68.65,65.15,76.34,77.26,76.26,77.77,75.46,69.86,15,16,16,15,13,15,15
93,93,A. Modeste,31,187.4,84.4,France,Caucasian,79,Right,Good,Good,Medium/Medium,LS,80.39,82.89,67.0,79.55,71.05,65.88,64.33,75.27,71.4,76.26,66.61,82.45,62.25,16,17,13,17,14,15,16
94,94,S. Rondón,29,185.6,84.6,Venezuela,Black,79,Right,Excellent,Good,High/Medium,ST,77.79,84.21,72.56,75.15,69.9,58.61,65.21,75.56,66.76,76.26,63.92,75.35,46.2,17,14,15,17,13,13,15
95,95,De Tomás,24,175.4,72.0,Spain,Black,79,Right,Good,Good,Medium/Medium,LS,81.46,75.46,72.23,77.71,71.68,52.72,73.19,75.26,69.56,73.19,71.67,77.96,74.74,16,15,13,15,16,15,15
96,96,Dyego Sousa,29,190.1,83.2,Portugal,Black,79,Right,Good,Good,High/Medium,CF,82.8,86.25,64.44,77.96,74.16,46.45,33.6,77.44,58.41,53.48,53.05,76.78,38.73,16,14,16,17,15,15,13
97,97,C. Tévez,35,171.2,76.6,Argentina,Caucasian,78,Right,Good,Excellent,High/Low,CF,77.99,53.55,73.32,73.51,77.86,74.35,68.43,78.32,70.55,66.28,75.99,74.28,79.42,16,10,12,15,14,14,16
98,98,D. Mbokani,33,184.7,72.6,DR Congo,Black,78,Right,Good,Good,Medium/Low,ST,77.21,78.14,75.48,71.79,75.19,67.79,57.2,81.85,69.21,66.53,78.41,74.45,66.04,15,14,14,16,13,14,17
99,99,A. Finnbogason,30,184.4,79.5,Iceland,Caucasian,78,Right,Excellent,Good,Medium/Medium,ST,82.98,78.7,70.62,79.39,75.09,56.31,51.01,75.27,65.85,65.79,65.23,82.31,66.07,15,13,10,15,15,17,16
100,100,Djaniny,28,190.5,78.2,Cape Verde,Black,78,Right,Excellent,Excellent,Medium/Low,RS,78.74,73.4,70.31,65.72,77.89,64.02,52.74,78.34,80.43,84.89,77.02,72.71,66.88,15,14,16,16,12,13,15
101,101,Júnior Moraes,32,175.9,69.8,Ukraine,Caucasian,78,Right,Excellent,Good,High/Medium,ST,77.53,69.03,74.13,70.99,74.13,64.02,34.6,75.27,78.39,78.99,72.01,79.97,73.23,14,13,14,13,15,14,13
102,102,F. Tait,26,175.0,70.0,France,Caucasian,78,Right,Good,Good,High/Medium,LS,72.45,41.84,77.88,63.23,82.59,73.98,68.16,78.89,76.86,74.04,76.22,74.28,81.16,14,10,15,10,14,10,15
103,103,Joelinton,22,185.9,80.6,Brazil,Caucasian,78,Right,Excellent,Good,High/Medium,RS,80.44,74.06,72.56,68.42,76.69,52.04,38.44,77.73,76.96,79.25,72.01,71.87,67.44,16,15,15,17,12,12,14
104,104,A. Delort,27,181.1,82.7,Algeria,Middle-eastern,78,Right,Good,Good,,LS,77.53,75.9,74.13,76.51,74.22,41.4,70.88,73.16,70.06,74.95,70.97,72.31,75.47,17,16,15,16,14,15,14
105,105,G. Cano,31,175.8,72.1,Argentina,Caucasian,78,Right,Excellent,Good,High/Low,ST,82.95,73.17,69.16,78.35,73.04,66.13,55.84,77.9,62.57,73.07,74.74,75.62,68.48,16,14,14,14,14,16,15
106,106,A. Barnes,29,185.9,83.6,England,Black,78,Right,Excellent,Good,High/High,LS,80.45,78.7,72.12,75.12,72.04,62.17,55.96,78.93,63.74,59.71,66.43,77.92,70.83,16,16,15,16,13,16,15
107,107,T. Deeney,31,182.9,90.0,England,Caucasian,78,Right,Good,Average,,LS,76.76,83.14,73.75,78.1,67.87,67.55,48.79,77.19,54.24,58.89,62.17,78.19,68.5,17,16,14,18,15,16,15
108,108,O. Al Soma,30,190.0,85.7,Syria,Middle-eastern,78,Right,Excellent,Good,High/Low,LS,79.84,76.64,70.06,67.0,73.47,69.34,73.67,75.19,69.67,69.67,69.45,74.99,66.26,17,12,15,17,15,15,14
109,109,G. Laborde,25,180.8,78.0,France,Caucasian,78,Left,Good,Good,High/Medium,RS,78.88,81.42,73.64,76.59,76.4,68.33,73.67,73.58,69.79,74.31,73.38,77.48,64.46,15,17,16,16,13,13,14
110,110,A. Mitrovi?,24,187.0,82.3,Serbia,Caucasian,78,Right,Excellent,Good,Medium/Medium,ST,79.18,85.03,70.41,77.3,66.34,42.03,27.54,76.09,58.02,65.5,67.3,76.63,60.07,16,16,12,18,14,14,15
111,111,S. García,28,185.8,80.2,Uruguay,Caucasian,78,Right,Excellent,Good,High/Low,ST,82.18,74.83,61.29,75.92,70.98,68.48,74.88,73.78,66.61,65.37,68.15,72.41,60.43,16,15,15,17,14,15,15
112,112,G. Hoarau,35,192.5,85.5,France,Caucasian,78,Right,Good,Good,Medium/Low,LS,77.53,85.01,76.15,75.54,69.88,67.55,58.52,72.53,43.1,50.11,66.83,77.9,61.62,15,15,13,18,13,16,15
113,113,L. Pavoletti,30,187.6,85.3,Italy,Caucasian,78,Right,Good,Good,High/Low,RS,82.4,92.77,67.74,80.0,66.37,48.91,27.54,74.16,61.82,58.25,64.48,77.06,59.59,16,17,14,16,11,13,15
