,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
12,A. Griezmann,28,-176,72.7,France,Caucasian,89,Left,Good,Excellent,High/High,CAM,83.4,89.41,84.15,85.34,86.81,88.35,86.36,85.13,82.14,89.53,82.34,80.79,89.81,92.17,83.07,16,17,17,12,16,14,9,18,17,17,17,58.83,54.05,48.81
13,L. Suárez,32,181.5,86.1,Uruguay,Caucasian,89,Right,Excellent,Good,High/Medium,ST,77.83,90.75,83.03,-81.71,89.62,85.43,86.03,81.83,72.13,83.74,75.91,70.08,79.36,91.58,78.94,17,13,16,17,17,17,8,18,16,16,17,56.83,44.57,-38.35
14,R. Lewandowski,30,184.3,-80.3,Poland,Caucasian,89,Right,Excellent,Excellent,High/Medium,ST,62.12,87.52,84.86,81.89,87.57,85.33,76.56,85.35,65.13,88.31,77.36,76.86,77.58,90.25,81.84,17,16,15,16,16,16,7,18,15,17,17,34.22,41.61,18.62
15,H. Kane,25,188.2,89.4,England,Caucasian,89,Right,Excellent,Good,High/High,ST,75.44,93.82,86.38,81.26,85.44,80.24,77.63,68.49,83.47,83.93,68.28,72.05,71.35,91.14,73.07,18,15,17,16,17,15,7,18,16,18,18,56.44,35.92,38.27
16,N. Kanté,28,167.6,71.9,France,Black,89,Right,Good,Average,Medium/High,RDM,68.07,65.1,53.74,86.25,56.18,78.53,48.96,49.27,80.71,79.66,78.54,76.84,81.96,93.44,92.18,14,15,19,14,12,18,18,14,15,10,17,90.21,91.04,85.21
17,Sergio Busquets,30,189,75.6,Spain,Caucasian,89,Right,Good,Good,Medium/Medium,CDM,62.18,67.08,68.12,89.18,43.53,80.16,66.17,68.28,82.3,87.74,40.01,42.51,67.02,86.97,49.35,12,13,17,15,10,17,17,15,17,12,18,90.29,85.83,80.02
18,Sergio Ramos,33,184.1,82.2,Spain,Caucasian,89,Right,Good,Good,High/Medium,LCB,66.05,62.89,-92.11,80.3,68.93,64.85,74.05,71.98,82.86,83.21,73.57,70.97,77.9,86.56,65.73,15,18,16,17,12,18,17,13,14,17,16,-84.94,87.13,89.68
19,K. Koulibaly,28,186.8,88.5,Senegal,Black,89,,Good,Average,Medium/High,LCB,-30.05,22.1,82.67,71.02,14.45,69.32,28.1,27.78,62.74,-70.91,69.28,72.51,51.59,86.33,-40.97,11,16,14,19,3,17,17,7,10,6,16,91.25,90.24,87.26
20,G. Chiellini,34,187,84.9,Italy,Caucasian,89,Left,Good,Average,Medium/High,LCB,54.39,33.3,82.63,65.13,44.78,-59.46,60.11,30.53,64.65,61.2,60.79,72.94,57.49,82.4,57.04,15,17,11,17,9,18,17,5,10,10,16,93.84,91.15,89.37
21,Alisson,26,190.9,90.6,Brazil,Caucasian,89,Right,Good,Poor,Medium/Medium,GK,16.96,13.11,19.31,44.78,20.21,26.77,18.84,17.63,44.47,29.56,56.11,47.38,39.84,-87.83,37.01,12,10,6,15,2,5,2,2,13,4,13,15.13,18.78,15.99
22,De Gea,28,191.8,82,Spain,Caucasian,89,Right,Good,Poor,Medium/Medium,GK,17.37,-13.3,21.37,49.72,12.73,18.46,-21.3,19.45,46.6,37.56,56.96,57.56,63.01,86.87,43.36,12,13,8,12,2,7,6,2,13,5,13,24.73,20.57,12.92
23,S. Mané,27,175.2,68.8,Senegal,Black,88,Right,Excellent,Excellent,High/Medium,LW,74.22,87.21,80.78,81.16,75.15,89.03,76.14,64.11,71.27,86.87,-94.75,92.94,92.24,90.08,86.42,16,17,17,13,15,15,7,18,16,14,16,41.82,42.18,38.03
24,M. Reus,30,179.7,71.4,Germany,Caucasian,88,Right,Excellent,Excellent,High/Medium,CAM,82.01,86.82,48.61,85.89,90.19,87,89.48,86.33,77.19,87.65,84.77,85.37,85.9,86.62,83.58,17,14,15,13,17,10,9,17,17,18,17,49.24,36.7,45.16
25,P. Dybala,25,176.6,74.7,Argentina,Caucasian,88,Left,Good,Excellent,Medium/Medium,CAM,81.97,80.3,63.7,87.06,87.97,89.76,88.49,87.92,75.3,93.23,86.16,80.98,90.59,84.36,84.87,16,15,15,12,17,9,8,16,17,17,16,32.35,47.97,39.79
26,R. Sterling,24,169.8,68.6,England,Black,88,Right,Good,Excellent,High/Medium,LW,78.5,82.63,37.96,84.45,-66.71,89.38,75.07,62.87,68.58,88.42,96.09,90.68,-94.35,89.22,94.19,15,11,15,10,15,7,6,18,15,13,15,46.68,-53.46,46.55
27,C. Eriksen,27,181.3,76,Denmark,Caucasian,88,Right,Masterful,Excellent,High/High,CAM,88.32,77.23,51.96,90.55,80.45,81.3,88.77,86.02,89.16,91.36,74.89,71.39,79.39,88.06,80.44,16,10,18,11,17,9,11,17,18,13,17,59.48,57.34,22
28,E. Cavani,32,184.5,77.5,Uruguay,Caucasian,88,Right,Excellent,Good,,ST,70.21,87.89,89.09,77.87,90.42,79.18,77.03,76.25,51.58,80.93,74.26,75.94,74.12,90.52,58.84,17,17,18,15,15,16,10,18,15,17,16,57.35,47.96,39.23
29,P. Aubameyang,30,186.8,79.5,Gabon,Black,88,Right,Excellent,Excellent,Medium/Low,LW,75.73,89.07,77.54,76.59,85.71,79.39,79.55,74.04,-63.95,82.05,93.5,95.42,76.21,86.86,69.48,16,15,15,14,15,8,9,18,15,15,17,27.19,25.36,35.59
30,P. Pogba,26,191.2,83.7,France,Black,88,Right,Excellent,Masterful,High/Medium,LCM,79.94,74.54,74.87,85.95,83.87,87.16,84.53,-81.79,90.13,90.29,67,79.26,74.72,82.13,65.51,18,16,17,17,16,15,12,16,17,16,17,63.29,66.86,64.56
31,David Silva,33,172.5,66.9,Spain,Caucasian,88,Left,Average,Excellent,High/Medium,LCM,83.88,72.07,53.52,92.24,81.64,86.74,82.5,76.88,84.06,91.56,69.13,-60.94,86.89,89.24,87.93,14,12,14,9,14,11,10,17,18,15,18,58.93,53.18,28.59
32,T. Kroos,29,-182.6,76.1,Germany,Caucasian,88,Right,Masterful,Good,Medium/Medium,LCM,87.82,74.85,58.31,91.2,81.64,79.56,86.39,84.38,92.07,88.61,49.6,41.26,59.6,86.62,70.88,17,6,14,14,17,12,15,15,17,14,17,71.77,69.53,62.47
33,Piqué,32,193.9,84.5,Spain,Caucasian,88,Right,Good,Average,High/Medium,RCB,57.32,65.27,85.47,-83.35,56.8,63.22,57.72,42.97,80.58,81.58,47.61,63.45,56.56,84.53,36.3,12,15,14,17,10,15,17,12,14,13,17,88.72,87.74,-87.43
34,D. Godín,33,187.2,-77.7,Uruguay,Caucasian,88,Right,Good,Average,Medium/High,CB,52.15,42.18,87.56,78.78,46.92,52.88,49.31,49.24,69.77,73.8,60.53,60.14,57.39,81.35,53.1,13,18,13,17,8,17,17,9,10,10,16,90.11,88.94,86.65
35,Ederson,25,188.3,85.9,Brazil,Caucasian,88,Left,Good,Poor,Medium/Medium,GK,20.3,13.76,13.74,56.17,17.81,22.84,15.3,20.02,57.85,39.5,64.02,63.45,59.73,87.34,47.75,14,13,8,13,3,7,5,4,14,3,14,28.63,14.51,7.79
36,T. Courtois,27,198.7,96.5,,,88,Left,Average,Poor,Medium/Medium,GK,13.62,13.92,12.8,32.94,11.73,13.1,18.56,20.43,35.02,22.74,45.64,51.61,60.73,82.79,44.67,10,13,7,14,3,4,3,2,8,5,13,20.38,18.24,15.94
37,S. Handanovi?,34,193.4,91.8,Slovenia,Caucasian,88,Right,Average,Poor,Medium/Medium,GK,11.72,9.71,9.76,35.84,12.11,11.59,12.3,13.86,34.39,16.49,51.06,55.27,47.08,83.29,35.64,10,15,8,14,3,5,4,2,8,4,13,24.89,10.15,12.86
38,M. Neuer,33,193.5,91.7,Germany,Caucasian,88,Right,Excellent,Poor,Medium/Medium,GK,15.35,12.97,-24.78,54.53,10.89,30.31,14.39,10.67,59.46,46.48,54.16,59.85,51.03,84.19,34.89,13,15,8,16,3,5,6,2,14,9,14,-16.85,10.26,10.57
39,H. Lloris,32,188.2,81.5,France,Caucasian,88,,Poor,Poor,Medium/Medium,GK,-13,10.41,10.19,50.45,11.32,10.45,11.14,9.9,50.44,-34.39,64.74,61.96,54.63,85.67,-53.56,10,14,8,8,2,6,5,2,6,8,13,29.49,10.24,17.62
40,H. Son,26,183,78.4,Korea Republic,Asian,87,Right,Masterful,Excellent,High/High,LW,81.12,85.55,64.63,83.14,81.01,-88.3,85.19,70.03,70.04,86.92,85.55,89.39,86.27,89.24,75.77,17,12,17,12,18,12,7,17,16,14,17,47.56,34.48,33.27
41,L. Insigne,28,163.1,59.1,Italy,Caucasian,87,Right,Excellent,Excellent,High/Medium,LS,86.44,77.33,59.29,87.4,73.85,89.59,87.02,77.38,77.57,93.48,94.26,85.31,94.41,-83.85,92.91,15,10,14,8,17,6,5,17,17,13,16,48.56,24.21,21.58
42,D. Mertens,32,168.6,61.1,Belgium,Caucasian,87,Right,Excellent,Excellent,High/Low,ST,78.93,-86.34,40.1,82.21,69.82,90.86,-81.87,79.33,73.74,88.5,92.58,83.04,93.6,88.09,91.83,16,11,14,7,16,11,7,17,16,15,16,24.67,40.18,39.89
43,K. Benzema,31,185,81,France,Black,87,Right,Excellent,Excellent,Medium/Low,CF,74.98,83.86,82.55,84.51,82.74,86.33,81.47,73.42,72.49,90.32,-78.48,74.28,77.7,85.47,69.09,16,15,15,16,15,13,7,17,17,16,17,46.71,24.46,18.13
44,Bernardo Silva,24,172.7,63.8,Portugal,Caucasian,87,Left,Good,Excellent,High/High,RW,84.89,78.09,51.04,85.52,68.55,91.61,84.48,66.98,74.21,91.51,85.16,78.24,93.54,84.58,92.45,14,10,18,10,15,13,9,17,17,13,17,48.73,58.52,39.63
45,,28,174.2,70,Spain,Caucasian,87,Right,Good,Masterful,Medium/Medium,CDM,77.56,68.7,53.81,90.1,85.55,89.87,84.81,76.96,87.37,91.41,76.43,63.56,91.02,86.34,87.86,15,15,15,11,15,11,16,15,17,15,17,67,66.9,71.31
46,Jordi Alba,30,169.5,67.6,Spain,Caucasian,87,Left,Good,Good,High/Medium,LB,86.91,72.92,69.94,84.45,-59.87,80.97,79.67,63.34,79.17,84.66,91.15,89.9,-88.96,85.41,85.24,12,16,18,12,13,15,16,16,15,11,16,73.59,-83.46,84.07
47,Fernandinho,34,178.8,67.4,Brazil,Black,87,Right,Excellent,Good,Medium/High,CDM,68.39,69.01,65.91,86.1,74.48,77.18,70.07,72.04,83.43,82.48,67.63,64.21,69.42,88.83,77.46,16,15,15,15,15,17,17,14,15,12,16,86.91,86.34,80.46
48,Casemiro,27,184.7,84.5,Brazil,Caucasian,87,Right,Good,Average,,CDM,58.19,64.15,76.23,82.61,61.13,69.16,62.75,73.97,82.5,78.49,58.03,66.14,62.41,85.85,66.07,17,17,17,18,16,17,17,13,15,13,16,84.37,86.6,86.06
49,J. Vertonghen,32,188.6,85.6,Belgium,Caucasian,87,Left,Good,Good,High/High,LCB,72.3,56.26,80.49,78.6,52.3,71.23,66.37,70.04,-74.25,76.69,59.58,64.64,60.28,85.49,59.51,16,17,15,15,13,16,17,11,13,13,16,88.51,86.53,88.43
50,M. Hummels,30,191,94.5,Germany,Caucasian,87,Right,Good,Good,High/Medium,LCB,64.06,54.74,86.8,80.71,60.35,67.88,64.83,-52.73,85.02,80.77,46.09,55.44,64.44,87.14,59.05,14,13,13,17,10,14,17,11,15,13,17,90.31,88.51,86.37
51,Thiago Silva,34,183,81.7,Brazil,Caucasian,87,Right,Good,Average,Medium/High,LCB,59.66,39.72,81.39,80.18,61.47,67.01,61.65,60.64,79.71,80.3,60.05,-63.83,67.1,82.37,67.1,14,18,14,16,13,15,18,11,14,12,17,87.67,87.76,85.38
52,T. Alderweireld,30,-186,81,Belgium,Caucasian,87,Right,Good,Average,Medium/Medium,RCB,63.58,45.09,81.7,79.27,37.73,62.44,63.27,69.13,85.02,75.32,60.84,65.98,59.14,86.5,49.8,15,16,15,15,11,16,17,10,12,11,17,89.71,90.13,86.38
53,A. Laporte,25,188.7,84.9,France,Black,87,Left,Good,Average,Medium/Medium,LCB,58.25,44.53,85.71,-81.28,39.61,62.68,61.18,69.18,80.01,76.59,61.41,65.77,59.27,87.23,59.88,13,15,15,17,9,15,17,10,13,8,17,87.52,89.31,-88.29
54,K. Navas,32,185.3,-79.9,Costa Rica,Caucasian,87,Right,Good,Poor,Medium/Medium,,11.33,15.44,10.95,29.98,11.11,15.54,11.24,14.82,37.41,18.51,53.89,53.33,60.48,84.39,61,11,14,7,15,2,6,4,3,13,5,13,27.96,14.38,14.07
55,Roberto Firmino,27,181.4,75.6,Brazil,Caucasian,86,Right,Excellent,Excellent,High/High,CF,72,84.52,77.56,85.68,80.99,88.1,80.14,64.81,75.99,88.34,77.73,77.3,80.35,85.73,80.61,16,16,17,14,15,14,11,17,17,14,17,60.03,63.91,41.6
56,A. Lacazette,28,175.1,73.3,France,Black,86,Right,Excellent,Excellent,High/High,ST,68.02,87.24,74.04,80.89,82.34,86.04,73.8,74.11,69.07,85.95,82.3,81.9,85.11,85.86,85.33,17,15,15,14,15,14,8,17,15,16,17,28.64,42.15,30.2
57,L. Sané,23,183.1,74.7,Germany,Caucasian,86,Left,Good,Excellent,High/Medium,LW,83.05,81.24,71.62,80.01,85.12,88.44,83.08,82.34,64.24,85.48,92.58,95.75,85.73,81.08,79.55,17,12,15,14,15,12,6,16,16,14,16,35.57,32.02,34.63
58,Coutinho,27,171.6,67.8,Brazil,Caucasian,86,Right,Excellent,Masterful,High/Medium,CAM,78.9,77.44,-48.03,84.19,78.06,90.38,89.69,86.25,82.19,91.05,84.37,75.27,92.28,82.16,92.85,16,11,15,12,17,11,9,16,17,14,15,-54.6,54.3,47.25
59,A. Di María,31,180.2,69,Argentina,Caucasian,86,,Average,Masterful,High/Medium,RW,-85.68,76.46,50.78,82.91,77.43,87.18,88.05,88.23,80.48,-85.99,85.22,83.64,93.55,82.41,-76.56,16,14,15,12,16,14,8,16,17,14,16,41.45,55.34,51.83
60,C. Immobile,29,184.5,85.1,Italy,Caucasian,86,Right,Excellent,Good,High/Medium,ST,55.13,86.99,80.82,73.65,85.26,-82.77,70.38,50.82,48.51,82.84,76.27,83.12,75.41,86.74,63.25,17,15,15,14,16,15,8,18,13,15,16,33.73,33.26,32.05
61,T. Müller,29,186.1,75.1,Germany,Caucasian,86,Right,Excellent,Good,High/High,CAM,79.39,86.93,80.78,81.48,84.19,74.8,80.81,58.9,71.92,81.74,69.23,74.96,74.25,-90.74,70.82,15,15,17,13,16,12,11,18,17,12,16,43.64,56.52,46.07
62,Isco,27,176.4,79.4,Spain,Caucasian,86,Right,Good,Excellent,Medium/Low,CAM,78.24,-79.33,55.25,83.88,66.79,92.28,-88.13,76.03,79.79,93.07,73.68,68.34,84.9,75.91,89.57,13,12,12,11,16,11,12,15,17,15,17,58.31,64.38,51.35
63,J. Kimmich,24,175.5,72.9,Germany,Caucasian,86,Right,Excellent,Good,High/Low,RB,91.49,65.94,73.91,86.63,66.56,83.06,84.67,60.88,84.64,85.3,-76.96,67.59,84.25,87.17,83.56,15,15,18,13,14,17,16,16,16,8,17,78.28,80.39,78.6
64,I. Rakiti?,31,184,77.7,Croatia,Caucasian,86,Right,Excellent,Good,Medium/Medium,RCM,84.29,77.56,59.25,86.01,84.4,80.26,88.01,82.3,90.12,87.41,64.37,60.53,73.34,80.16,61.72,16,6,15,14,17,13,15,15,17,16,16,76.29,72.76,72.27
65,,29,177.9,72.2,Bosnia Herzegovina,Caucasian,86,Right,Excellent,Good,Medium/Medium,CDM,79.72,55.53,60.27,91.29,71.85,85.89,86.07,91.55,86.59,89.05,68.99,66.71,74.51,83.62,80.67,15,12,15,12,16,14,15,13,17,15,17,78.43,76.23,69.93
66,M. Verratti,26,164.8,60.2,Italy,Caucasian,86,Right,Excellent,Excellent,Medium/High,RCM,75.11,59.67,54.88,89.86,-63.71,90.07,73.75,63.7,89.05,88.63,68.76,60.54,-90.72,84.53,94.31,11,12,15,10,11,17,16,14,17,12,19,78.15,-81.97,82.57
67,Parejo,30,182.4,73.8,Spain,Caucasian,86,Right,Excellent,Good,Medium/Medium,RCM,84.04,80.36,60.71,91.37,72.01,78.68,88.74,90.14,88.36,84.91,49.3,34.75,64.02,77.83,72.09,15,9,15,14,16,11,16,16,17,16,17,69.4,68.1,64.58
68,S. Umtiti,25,182.2,75.3,France,Black,86,Left,Good,Average,,CB,60.99,51.12,79.23,79.98,65.08,64.47,71.83,61.68,72.53,77.31,65.54,71.63,61.79,82.08,66.26,16,17,14,17,14,16,17,10,11,12,16,86.96,87.98,84.55
69,Marquinhos,25,183.4,75,Brazil,Caucasian,86,Right,Good,Good,Medium/High,RCB,67.59,33.12,83.73,81.87,31,63.64,54.85,32.04,-82.21,79.37,71.61,75.71,68.88,84.65,67.95,12,17,15,15,7,16,17,11,13,9,17,86.25,86.67,87.28
70,L. Bonucci,32,189.6,84.6,Italy,Caucasian,86,Right,Excellent,Average,Low/High,RCB,44.14,48.34,83.8,76.63,58.26,69.3,56.14,-60.7,85.1,75.17,55.31,59.93,61.29,84.18,54.55,14,17,13,16,13,16,18,7,14,14,17,89.56,85.63,79.94
71,M. Škriniar,24,186.6,79.5,Slovakia,Caucasian,86,Right,Excellent,Average,Medium/High,LCB,40.29,42.02,82.05,73.04,39.75,66.77,34.22,30.22,68.82,68.94,69.87,-68.85,48.23,83.37,51.23,10,15,15,17,6,17,17,6,11,11,16,91.95,86.91,83
72,W. Szcz?sny,29,-194.7,90.5,Poland,Caucasian,86,Right,Good,Poor,Medium/Medium,GK,11.88,11.6,15.71,31.78,13.98,10.76,15.58,13.77,35.61,21.93,50.98,46.54,54.73,81.61,51.06,11,14,9,13,2,8,3,2,9,3,13,19.74,12.87,11.59
73,G. Bale,29,184.6,82.4,Wales,Caucasian,85,Left,Good,Excellent,Medium/Medium,RW,86.37,84.23,83.54,-81,85.31,83.3,89.71,86.89,79.62,84.4,90.45,91.08,79.4,80.11,64.64,18,17,14,16,18,13,11,17,15,15,17,54.41,54.93,-52.13
74,Marcelo,31,173.8,-75.2,Brazil,Caucasian,85,Left,Excellent,Masterful,High/Low,LB,88.94,73.16,75.02,84.62,62.68,88.62,84.01,67.27,77.5,92.44,82.47,79.96,85.06,84.6,86.19,16,15,15,15,14,16,16,16,16,11,17,71.41,78.57,81.84
75,Iago Aspas,31,176.4,67.4,Spain,Caucasian,85,Left,Good,Good,High/High,RS,79.87,87.61,78.21,79.36,83.19,86.46,80.02,76.07,68.3,85.13,80.07,75.99,86.52,85.29,71.62,15,13,14,12,16,12,7,17,15,16,17,38.73,21.42,17.59
76,Bruno Fernandes,24,179.2,68.5,Portugal,Caucasian,85,Right,Excellent,Excellent,High/High,RCM,85.87,77,57.53,86.06,86.14,84.79,85.89,87.25,87.16,87.29,78.59,75.99,78.04,83.85,79.43,17,14,18,13,17,14,14,16,17,17,17,65.7,64.34,56.81
77,A. Gómez,31,165,68.4,Argentina,Caucasian,85,Right,Excellent,Excellent,High/Medium,CAM,80.78,78.73,37.8,81.5,72.4,84.96,79.03,79.27,74.42,84.73,93.65,85.08,92.25,81.29,93.88,15,14,14,9,15,11,8,16,17,14,16,50.3,30.06,33.55
78,G. Higuaín,31,185.6,89.2,Argentina,Caucasian,85,Right,Excellent,Good,High/Medium,ST,68.13,88.33,-77.44,74.54,88.38,79.75,73.95,61.73,60.43,83.55,61.72,64.29,71.86,85.88,68.88,17,15,12,16,16,10,4,18,15,14,17,-35.42,22.38,18.05
79,J. Rodríguez,27,180.2,74.6,Colombia,Caucasian,85,,Average,Excellent,Medium/Medium,CAM,-89.9,83.23,62.32,85.58,89.95,85.07,88.68,86.27,83.11,-90.46,57.42,53.6,79.84,83.7,-75.79,17,9,13,12,18,12,11,16,17,16,17,52.47,41.48,44.11
80,H. Ziyech,26,181,65.4,Morocco,Black,85,Left,Average,Excellent,High/Medium,RW,84.49,73.42,53.42,85.63,74.06,-83.3,90.17,78.29,88.67,83.31,82.69,76.81,85.65,84.21,78.04,16,7,16,11,15,14,10,16,17,13,15,44.22,55.64,40.09
81,S. Milinkovi?-Savi?,24,191.3,76.1,Serbia,Caucasian,85,Right,Excellent,Excellent,High/Medium,RDM,63.65,79.72,86.1,84.72,74.22,85.6,77.94,75.32,85.24,87.05,65.64,67.27,65.14,-80.33,59.09,16,17,17,17,16,14,15,15,17,11,16,74.65,76.78,71.65
82,Z. Ibrahimovi?,37,194.6,95.1,Sweden,Caucasian,85,Right,Excellent,Masterful,Medium/Low,ST,69.93,-86.36,82.55,76.75,87.86,76.64,-80.08,78.26,72.58,84.03,57.17,55.22,71.84,81.99,38.98,18,13,11,17,17,16,4,18,16,17,18,28.18,36.87,24.11
83,Saúl,24,183.8,76.8,Spain,Caucasian,85,Left,Excellent,Good,High/High,LCM,68.61,77.68,83.39,84.51,76.22,80.75,71.83,60.34,83.39,84.63,-71.08,70.04,72.58,82.39,69.25,16,15,17,15,16,13,15,16,16,11,16,76.93,78.06,77.49
84,Koke,27,176.3,74.5,Spain,Caucasian,85,Right,Excellent,Good,High/High,RM,85.55,71.98,60.6,89.33,56.37,82.09,84.53,75.96,87.07,85.13,70.44,67.22,70.72,87.09,80.17,16,12,18,15,16,15,15,16,17,11,16,74.06,77.82,63.75
85,,28,174.6,73.8,Brazil,Caucasian,85,Right,Good,Excellent,Medium/High,RCM,69.54,74.31,58.92,85.97,56.16,83.88,64.99,49.17,79.12,83.95,79.17,71.15,81.51,89.48,86.39,14,13,18,15,13,18,17,15,16,10,17,88.43,87.74,85.68
86,M. Icardi,26,180.8,74.5,Argentina,Caucasian,85,Right,Excellent,Good,Medium/Low,CF,46.43,88.82,88.49,73.28,-85.46,75.15,58.23,45.19,54.44,80.11,76.45,74.75,-75.25,85.32,75.55,16,18,13,14,14,11,4,18,12,16,15,44.89,-23.8,19.67
87,F. de Jong,22,180,73.7,Netherlands,Caucasian,85,Right,Good,Excellent,Medium/High,LCM,74.82,64.23,65.64,89.6,69.25,87.82,84.24,64.37,85.81,89.09,80.32,78,83.95,87.45,78.97,13,15,16,14,12,14,16,14,17,9,18,75.27,75.28,77.06
88,R. Lukaku,26,190.3,93.6,Belgium,Black,85,Left,Excellent,Good,,LS,71.79,83.98,85.07,74.75,76.93,78.03,77.52,66.21,70.51,70.43,63.65,84.38,54.51,83.82,45.85,17,14,15,19,14,14,5,17,14,15,16,30.32,30.14,29.56
89,A. Witsel,30,186.2,81.3,Belgium,Caucasian,85,Right,Excellent,Excellent,Medium/High,LDM,69.23,71.49,80.55,89.07,77.12,77.96,68.83,67.67,-83.54,84.26,67.15,76.7,75.59,85.03,66.86,15,15,16,16,14,15,16,15,16,15,18,82.4,84.78,82.67
90,D. Alaba,27,179.6,78.2,Austria,Black,85,Left,Excellent,Good,Medium/Medium,LB,81.51,62.63,73.77,82.48,68.41,79.22,77.81,-85.33,79.08,81.58,78.84,86.24,78.02,84.38,78.11,17,16,17,14,16,13,16,15,15,15,16,79.6,79.64,79.53
91,Rodri,23,190.9,82,Spain,Caucasian,85,Right,Excellent,Good,Medium/High,CDM,63.19,64.06,74.65,85.39,59.07,75.67,64.84,53.73,81.89,82.27,67.55,-65.99,69.16,81.63,71.82,14,13,16,16,15,15,16,15,16,9,17,82.07,83.69,77.96
